Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
YP_009944300,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,110,nsp9,2012-09-11
YP_009944301,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,140,nsp10,2012-09-11
YP_009944302,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,933,nsp12,2012-09-11
YP_009944303,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,598,nsp13,2012-09-11
YP_009944304,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,524,nsp14,2012-09-11
YP_009944305,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,343,nsp15,2012-09-11
YP_009944306,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,303,nsp16,2012-09-11
YP_009047202,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,7078,1AB polyprotein,2012-06-13
YP_009047203,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,4391,1A polyprotein,2012-06-13
YP_009047204,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,1353,spike protein,2012-06-13
YP_009047205,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,103,NS3 protein,2012-06-13
YP_009047206,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,109,NS4A protein,2012-06-13
YP_009047207,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,246,NS4B protein,2012-06-13
YP_009047208,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,224,NS5 protein,2012-06-13
YP_009047209,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,82,envelope protein,2012-06-13
YP_009047210,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,219,membrane protein,2012-06-13
YP_009047211,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,413,nucleocapsid protein,2012-06-13
YP_009047212,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,112,ORF8b protein,2012-06-13
YP_009047213,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,193,nsp1 protein,2012-06-13
YP_009047214,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,660,nsp2 protein,2012-06-13
YP_009047215,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,1887,nsp3 protein,2012-06-13
YP_009047216,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,507,nsp4 protein,2012-06-13
YP_009047217,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,306,nsp5 protein,2012-06-13
YP_009047218,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,292,nsp6 protein,2012-06-13
YP_009047219,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,83,nsp7 protein,2012-06-13
YP_009047220,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,199,nsp8 protein,2012-06-13
YP_009047221,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,110,nsp9 protein,2012-06-13
YP_009047222,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,140,nsp10 protein,2012-06-13
YP_009047223,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,933,nsp12 protein,2012-06-13
YP_009047224,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,598,nsp13 protein,2012-06-13
YP_009047225,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,524,nsp14 protein,2012-06-13
YP_009047226,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,343,nsp15 protein,2012-06-13
YP_009047227,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,303,nsp16 protein,2012-06-13
YP_009047228,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,14,nsp11 protein,2012-06-13
YP_009047229,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,193,nsp1 protein,2012-06-13
YP_009047230,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,660,nsp2 protein,2012-06-13
YP_009047231,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,1887,nsp3 protein,2012-06-13
YP_009047232,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,507,nsp4 protein,2012-06-13
YP_009047233,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,306,nsp5 protein,2012-06-13
YP_009047234,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,292,nsp6 protein,2012-06-13
YP_009047235,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,83,nsp7 protein,2012-06-13
YP_009047236,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,199,nsp8 protein,2012-06-13
YP_009047237,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,110,nsp9 protein,2012-06-13
YP_009047238,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,140,nsp10 protein,2012-06-13
YP_007188577,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab polyprotein,2012-09-11
YP_007188578,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,4391,ORF1a polyprotein,2012-09-11
YP_007188579,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,1353,spike protein,2012-09-11
YP_007188580,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,103,NS3A protein,2012-09-11
YP_007188581,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,109,NS3B protein,2012-09-11
YP_007188582,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,246,NS3C protein,2012-09-11
YP_007188583,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,224,NS3D protein,2012-09-11
YP_007188584,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,82,envelope protein,2012-09-11
YP_007188585,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,219,membrane protein,2012-09-11
YP_007188586,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,411,nucleocapsid protein,2012-09-11
XUM79107,Middle East respiratory syndrome-related coronavirus,GenBank,,PV719792,IRQ-WIHR-22-S1,Betacoronavirus cameli,212,spike glycoprotein,2022-12
XUM79108,Middle East respiratory syndrome-related coronavirus,GenBank,,PV719793,IRQ-WIHR-22-S2,Betacoronavirus cameli,172,spike glycoprotein,2022-12
WWZ68787,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,7078,ORF1b protein,2019
WWZ68788,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,4391,ORF1a protein,2019
WWZ68789,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,1353,S protein,2019
WWZ68790,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,103,NS3A protein,2019
WWZ68791,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,109,NS3B protein,2019
WWZ68792,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,246,NS3C protein,2019
WWZ68793,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,224,NS3D protein,2019
WWZ68794,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,82,E protein,2019
WWZ68795,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,219,M protein,2019
WWZ68796,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Camel/Oman_112_2019,Betacoronavirus cameli,413,N protein,2019
WWV93342,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,7078,ORF1ab,2019-01-23
WWV93343,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,4391,ORF1a,2019-01-23
WWV93344,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,1353,S protein,2019-01-23
WWV93345,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,103,ORF3,2019-01-23
WWV93346,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,109,ORF4a,2019-01-23
WWV93347,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,246,ORF4b,2019-01-23
WWV93348,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,224,ORF5,2019-01-23
WWV93349,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,82,E protein,2019-01-23
WWV93350,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,219,M protein,2019-01-23
WWV93351,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,413,N protein,2019-01-23
WWV93352,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Hu/Sohar-Oman-19508/2019,Betacoronavirus cameli,143,ORF8b,2019-01-23
WWV93353,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,7078,ORF1ab,2019-01-25
WWV93354,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,4391,ORF1a,2019-01-25
WWV93355,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,1353,S protein,2019-01-25
WWV93356,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,103,ORF3,2019-01-25
WWV93357,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,109,ORF4a,2019-01-25
WWV93358,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,246,ORF4b,2019-01-25
WWV93359,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,224,ORF5,2019-01-25
WWV93360,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,82,E protein,2019-01-25
WWV93361,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,219,M protein,2019-01-25
WWV93362,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,413,N protein,2019-01-25
WWV93363,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Hu/Sohar-Oman-19522/2019,Betacoronavirus cameli,143,ORF8b,2019-01-25
WWV93364,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,7078,ORF1ab,2019-01-27
WWV93365,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,4391,ORF1a,2019-01-27
WWV93366,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,1353,S protein,2019-01-27
WWV93367,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,103,ORF3,2019-01-27
WWV93368,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,109,ORF4a,2019-01-27
WWV93369,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,246,ORF4b,2019-01-27
WWV93370,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,224,ORF5,2019-01-27
WWV93371,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,82,E protein,2019-01-27
WWV93372,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,219,M protein,2019-01-27
WWV93373,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,413,N protein,2019-01-27
WWV93374,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Hu/Al Khabourah-Oman-19525/2019,Betacoronavirus cameli,143,ORF8b,2019-01-27
WWV93375,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,7078,ORF1ab,2019-01-28
WWV93376,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,4391,ORF1a,2019-01-28
WWV93377,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,1353,S protein,2019-01-28
WWV93378,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,103,ORF3,2019-01-28
WWV93379,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,109,ORF4a,2019-01-28
WWV93380,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,246,ORF4b,2019-01-28
WWV93381,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,224,ORF5,2019-01-28
WWV93382,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,82,E protein,2019-01-28
WWV93383,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,219,M protein,2019-01-28
WWV93384,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,413,N protein,2019-01-28
WWV93385,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Hu/Sohar-Oman-19690/2019,Betacoronavirus cameli,143,ORF8b,2019-01-28
WWV93386,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,7078,ORF1ab,2019-02-07
WWV93387,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,4391,ORF1a,2019-02-07
WWV93388,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,1353,S protein,2019-02-07
WWV93389,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,103,ORF3,2019-02-07
WWV93390,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,109,ORF4a,2019-02-07
WWV93391,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,246,ORF4b,2019-02-07
WWV93392,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,224,ORF5,2019-02-07
WWV93393,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,82,E protein,2019-02-07
WWV93394,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,219,M protein,2019-02-07
WWV93395,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,413,N protein,2019-02-07
WWV93396,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Hu/Sur-Oman-19947/2019,Betacoronavirus cameli,143,ORF8b,2019-02-07
WWV93397,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,7078,ORF1ab,2019-02-10
WWV93398,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,4391,ORF1a,2019-02-10
WWV93399,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,1353,S protein,2019-02-10
WWV93400,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,103,ORF3,2019-02-10
WWV93401,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,109,ORF4a,2019-02-10
WWV93402,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,246,ORF4b,2019-02-10
WWV93403,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,224,ORF5,2019-02-10
WWV93404,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,82,E protein,2019-02-10
WWV93405,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,219,M protein,2019-02-10
WWV93406,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,413,N protein,2019-02-10
WWV93407,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Hu/Sur-Oman-19992/2019,Betacoronavirus cameli,143,ORF8b,2019-02-10
WWV93408,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,7078,ORF1ab,2019-02-12
WWV93409,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,4391,ORF1a,2019-02-12
WWV93410,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,1353,S protein,2019-02-12
WWV93411,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,103,ORF3,2019-02-12
WWV93412,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,109,ORF4a,2019-02-12
WWV93413,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,246,ORF4b,2019-02-12
WWV93414,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,224,ORF5,2019-02-12
WWV93415,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,82,E protein,2019-02-12
WWV93416,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,219,M protein,2019-02-12
WWV93417,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,413,N protein,2019-02-12
WWV93418,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Hu/Sohar-Oman-191011/2019,Betacoronavirus cameli,143,ORF8b,2019-02-12
