Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Species,Isolate,Length,Collection_Date
URW63891,GenBank,ON227464,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1200,2016-11-10
URW63892,GenBank,ON227465,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1140,2017-03-17
URW63893,GenBank,ON227466,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1140,2018-05-23
URW63894,GenBank,ON227467,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1199,2019-03-15
QRR19170,GenBank,MT367412,,polyprotein 1a,Turkey coronavirus,Gammacoronavirus galli,,3950,2016-06-21
QRR19171,GenBank,MT367412,,polyprotein 1ab,Turkey coronavirus,Gammacoronavirus galli,,6630,2016-06-21
QRR19172,GenBank,MT367412,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1204,2016-06-21
QRR19173,GenBank,MT367412,,3a protein,Turkey coronavirus,Gammacoronavirus galli,,57,2016-06-21
QRR19174,GenBank,MT367412,,3b protein,Turkey coronavirus,Gammacoronavirus galli,,64,2016-06-21
QRR19175,GenBank,MT367412,,envelope protein,Turkey coronavirus,Gammacoronavirus galli,,107,2016-06-21
QRR19176,GenBank,MT367412,,membrane protein,Turkey coronavirus,Gammacoronavirus galli,,223,2016-06-21
QRR19177,GenBank,MT367412,,4b protein,Turkey coronavirus,Gammacoronavirus galli,,94,2016-06-21
QRR19178,GenBank,MT367412,,4c protein,Turkey coronavirus,Gammacoronavirus galli,,56,2016-06-21
QRR19179,GenBank,MT367412,,5a protein,Turkey coronavirus,Gammacoronavirus galli,,65,2016-06-21
QRR19180,GenBank,MT367412,,5b protein,Turkey coronavirus,Gammacoronavirus galli,,82,2016-06-21
QRR19181,GenBank,MT367412,,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,409,2016-06-21
QRR19182,GenBank,MT367412,,6b protein,Turkey coronavirus,Gammacoronavirus galli,,73,2016-06-21
QKE31018,GenBank,MN699606,set:MN699606,spike protein,Turkey coronavirus,Gammacoronavirus galli,18RS1461-9,1209,2014-08-04
QKE31019,GenBank,MN699607,set:MN699607,spike protein,Turkey coronavirus,Gammacoronavirus galli,18RS1461-10,1209,2014-08-04
AIL92592,GenBank,KF652218,set:KF652218,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,IN/421/10,1208,2010
AIL92593,GenBank,KF652219,set:KF652219,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,IN/287/09,1205,2009
AIL92594,GenBank,KF652220,set:KF652220,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,IN/671/04,1209,2004
AIL92595,GenBank,KF652221,set:KF652221,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,IN/834/04,1209,2004
AIL92596,GenBank,KF652222,set:KF652222,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,IN/517-Purdue/94,1205,1994
AIL92597,GenBank,KF652223,set:KF652223,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,NC/20/09,1209,2009
AIL92598,GenBank,KF652224,set:KF652224,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,NC/625/02,1208,2002
AIL92599,GenBank,KF652225,set:KF652225,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TX/1038-Purdue/98,1202,1998
AIL92600,GenBank,KF652226,set:KF652226,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TX/176-2/02,1207,2002
AIL92601,GenBank,KF652227,set:KF652227,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,NC/1020/96,1208,1996
AIL92602,GenBank,KF652228,set:KF652228,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,AK/1425/96,1204,1996
AIL92603,GenBank,KF652229,set:KF652229,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,MO/168/99,1207,1999
AIL92604,GenBank,KF652230,set:KF652230,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,NC/183-1/02,1208,2002
AIL92605,GenBank,KF652231,set:KF652231,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,MO/2216/99,1206,1999
AIL92606,GenBank,KF652232,set:KF652232,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,MO/2580/99,1206,1999
AIL92607,GenBank,KF652233,set:KF652233,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,SC/284/96,1207,1996
AIL92608,GenBank,KF652234,set:KF652234,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,AK/428/96,1203,1996
AIL92609,GenBank,KF652235,set:KF652235,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,PA/640/02,1208,2002
AIL92610,GenBank,KF652236,set:KF652236,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,PA/682/98,1203,1998
AIL92611,GenBank,KF652237,set:KF652237,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,MN/310/96,1203,1996
AIL92612,GenBank,KF652238,set:KF652238,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,NC/1440/99,1207,1999
AIL92613,GenBank,KF652239,set:KF652239,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,MO/333/06,1206,2006
AIL92614,GenBank,KF652240,set:KF652240,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,NC/DK9/97,1209,1997
AHN66162,GenBank,KJ146015,set:KJ146015,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,1741,556,2013
AHN66163,GenBank,KJ146016,set:KJ146016,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,1811,555,2013
AHN66164,GenBank,KJ146017,set:KJ146017,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,1729,556,2013
AHN66165,GenBank,KJ146018,set:KJ146018,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,1728,556,2013
AHN66166,GenBank,KJ146019,set:KJ146019,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,1913,555,2013
AHN66167,GenBank,KJ146020,set:KJ146020,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,1744,558,2013
CCA89750,GenBank,FR856855,set:FR856855,spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,,528,
CBL62865,GenBank,FN811144,set:FN811144,RNA-dependent RNA polymerase,Turkey coronavirus,Gammacoronavirus galli,,205,2007-11
CBL62866,GenBank,FN811145,set:FN811145,RNA-dependent RNA polymerase,Turkey coronavirus,Gammacoronavirus galli,,205,2008-06
CBL62867,GenBank,FN811146,set:FN811146,RNA-dependent RNA polymerase,Turkey coronavirus,Gammacoronavirus galli,,205,2008-06
AEK31974,GenBank,HQ853282,set:HQ853282,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-O/BR/2008,1023,2008
AEK31975,GenBank,HQ853283,set:HQ853283,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-1/BR/2008,1023,2008
AEK31976,GenBank,HQ853284,set:HQ853284,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-2/BR/2008,1023,2008
AEK31977,GenBank,HQ853285,set:HQ853285,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-3/BR/2008,1023,2008
AEK31978,GenBank,HQ853286,set:HQ853286,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-4/BR/2008,1023,2008
AEK31979,GenBank,HQ853287,set:HQ853287,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-5/BR/2008,1023,2008
AEK31980,GenBank,HQ853288,set:HQ853288,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-6/BR/2008,1023,2008
AEK31981,GenBank,HQ853289,set:HQ853289,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-7/BR/2008,1023,2008
AEK31982,GenBank,HQ853290,set:HQ853290,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-8/BR/2008,1023,2008
AEK31983,GenBank,HQ853291,set:HQ853291,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-9/BR/2008,1023,2008
AEK31984,GenBank,HQ853292,set:HQ853292,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,TCoV-1O/BR/2008,1023,2008
CBJ23821,GenBank,FN665664,set:FN665664,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,266,2007-11
CBJ23822,GenBank,FN665665,set:FN665665,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,266,2008-06
CBJ23823,GenBank,FN665666,set:FN665666,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,266,2008-06
CBA13338,GenBank,FN434203,set:FN434203,putative spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,,1198,2008-06
CBB12677,GenBank,FN545819,set:FN545819,putative spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,,1198,2008-06
ADK88938,GenBank,GQ411201,set:GQ411201,putative spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,FR070341j,1198,2007-11
ADD14080,GenBank,GU213199,set:GU213199,spike,Turkey coronavirus,Gammacoronavirus galli,p49,1223,1998
ADD14081,GenBank,GU213200,set:GU213200,spike,Turkey coronavirus,Gammacoronavirus galli,p50,1223,1998
ADD14082,GenBank,GU213201,set:GU213201,spike,Turkey coronavirus,Gammacoronavirus galli,p52,1223,1998
ADD14083,GenBank,GU213202,set:GU213202,spike,Turkey coronavirus,Gammacoronavirus galli,p24,1219,1998
ACX29999,GenBank,GQ469643,set:GQ469643,spike,Turkey coronavirus,Gammacoronavirus galli,,1223,1998
ACX30000,GenBank,GQ469644,set:GQ469644,spike,Turkey coronavirus,Gammacoronavirus galli,,1223,1998
ACX30001,GenBank,GQ469645,set:GQ469645,spike,Turkey coronavirus,Gammacoronavirus galli,,1219,1998
ACX30002,GenBank,GQ469646,set:GQ469646,spike,Turkey coronavirus,Gammacoronavirus galli,,1219,1998
ACW84348,GenBank,FJ957899,set:FJ957899,spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,Brazilian,298,
ACW84349,GenBank,FJ957900,set:FJ957900,spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,Brazilian,298,
ACV87235,GenBank,GQ427173,set:GQ427173,ORF 3b,Turkey coronavirus,Gammacoronavirus galli,,64,2003
ACV87236,GenBank,GQ427173,set:GQ427173,spike,Turkey coronavirus,Gammacoronavirus galli,,1226,2003
ACV87237,GenBank,GQ427173,set:GQ427173,nucleocapsid,Turkey coronavirus,Gammacoronavirus galli,,409,2003
ACV87238,GenBank,GQ427173,set:GQ427173,membrane,Turkey coronavirus,Gammacoronavirus galli,,223,2003
ACV87239,GenBank,GQ427173,set:GQ427173,envelope,Turkey coronavirus,Gammacoronavirus galli,,99,2003
ACV87240,GenBank,GQ427173,set:GQ427173,ORF 5b,Turkey coronavirus,Gammacoronavirus galli,,82,2003
ACV87241,GenBank,GQ427173,set:GQ427173,ORF 5a,Turkey coronavirus,Gammacoronavirus galli,,65,2003
ACV87242,GenBank,GQ427173,set:GQ427173,ORF 3a,Turkey coronavirus,Gammacoronavirus galli,,57,2003
ACV87243,GenBank,GQ427173,set:GQ427173,polyprotein 1a,Turkey coronavirus,Gammacoronavirus galli,,6596,2003
ACV87244,GenBank,GQ427173,set:GQ427173,ORF X,Turkey coronavirus,Gammacoronavirus galli,,94,2003
ACV87245,GenBank,GQ427173,set:GQ427173,polyprotein 1ab,Turkey coronavirus,Gammacoronavirus galli,,3947,2003
ACV87246,GenBank,GQ427174,set:GQ427174,nucleocapsid,Turkey coronavirus,Gammacoronavirus galli,,409,2001
ACV87247,GenBank,GQ427174,set:GQ427174,ORF 5b,Turkey coronavirus,Gammacoronavirus galli,,82,2001
ACV87248,GenBank,GQ427174,set:GQ427174,ORF 5a,Turkey coronavirus,Gammacoronavirus galli,,65,2001
ACV87249,GenBank,GQ427174,set:GQ427174,ORF X,Turkey coronavirus,Gammacoronavirus galli,,94,2001
ACV87250,GenBank,GQ427174,set:GQ427174,membrane,Turkey coronavirus,Gammacoronavirus galli,,225,2001
ACV87251,GenBank,GQ427174,set:GQ427174,envelope,Turkey coronavirus,Gammacoronavirus galli,,99,2001
ACV87252,GenBank,GQ427174,set:GQ427174,ORF 3b,Turkey coronavirus,Gammacoronavirus galli,,64,2001
ACV87253,GenBank,GQ427174,set:GQ427174,ORF 3a,Turkey coronavirus,Gammacoronavirus galli,,57,2001
ACV87254,GenBank,GQ427174,set:GQ427174,spike,Turkey coronavirus,Gammacoronavirus galli,,1225,2001
ACV87255,GenBank,GQ427174,set:GQ427174,polyprotein 1ab,Turkey coronavirus,Gammacoronavirus galli,,6602,2001
ACV87256,GenBank,GQ427174,set:GQ427174,polyprotein 1a,Turkey coronavirus,Gammacoronavirus galli,,3949,2001
ACV87257,GenBank,GQ427175,set:GQ427175,nucleocapsid,Turkey coronavirus,Gammacoronavirus galli,,409,1994
ACV87258,GenBank,GQ427175,set:GQ427175,ORF 5b,Turkey coronavirus,Gammacoronavirus galli,,82,1994
ACV87259,GenBank,GQ427175,set:GQ427175,ORF 5a,Turkey coronavirus,Gammacoronavirus galli,,65,1994
ACV87260,GenBank,GQ427175,set:GQ427175,ORF X,Turkey coronavirus,Gammacoronavirus galli,,94,1994
ACV87261,GenBank,GQ427175,set:GQ427175,membrane,Turkey coronavirus,Gammacoronavirus galli,,223,1994
ACV87262,GenBank,GQ427175,set:GQ427175,envelope,Turkey coronavirus,Gammacoronavirus galli,,99,1994
ACV87263,GenBank,GQ427175,set:GQ427175,ORF 3b,Turkey coronavirus,Gammacoronavirus galli,,64,1994
ACV87264,GenBank,GQ427175,set:GQ427175,ORF 3a,Turkey coronavirus,Gammacoronavirus galli,,57,1994
ACV87265,GenBank,GQ427175,set:GQ427175,spike,Turkey coronavirus,Gammacoronavirus galli,,1226,1994
ACV87266,GenBank,GQ427175,set:GQ427175,polyprotein 1ab,Turkey coronavirus,Gammacoronavirus galli,,6605,1994
ACV87267,GenBank,GQ427175,set:GQ427175,polyprotein 1a,Turkey coronavirus,Gammacoronavirus galli,,3952,1994
ACV87268,GenBank,GQ427176,set:GQ427176,nucleocapsid,Turkey coronavirus,Gammacoronavirus galli,,409,1998
ACV87269,GenBank,GQ427176,set:GQ427176,ORF 5b,Turkey coronavirus,Gammacoronavirus galli,,82,1998
ACV87270,GenBank,GQ427176,set:GQ427176,ORF 5a,Turkey coronavirus,Gammacoronavirus galli,,65,1998
ACV87271,GenBank,GQ427176,set:GQ427176,ORF X,Turkey coronavirus,Gammacoronavirus galli,,94,1998
ACV87272,GenBank,GQ427176,set:GQ427176,membrane,Turkey coronavirus,Gammacoronavirus galli,,223,1998
ACV87273,GenBank,GQ427176,set:GQ427176,envelope,Turkey coronavirus,Gammacoronavirus galli,,99,1998
ACV87274,GenBank,GQ427176,set:GQ427176,ORF 3b,Turkey coronavirus,Gammacoronavirus galli,,64,1998
ACV87275,GenBank,GQ427176,set:GQ427176,ORF 3a,Turkey coronavirus,Gammacoronavirus galli,,57,1998
ACV87276,GenBank,GQ427176,set:GQ427176,spike,Turkey coronavirus,Gammacoronavirus galli,,1223,1998
ACV87277,GenBank,GQ427176,set:GQ427176,polyprotein 1ab,Turkey coronavirus,Gammacoronavirus galli,,6602,1998
ACV87278,GenBank,GQ427176,set:GQ427176,polyprotein 1a,Turkey coronavirus,Gammacoronavirus galli,,3950,1998
ACR82486,GenBank,FJ957898,set:FJ957898,spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,Brazilian,298,
ABW75124,GenBank,EU022525,set:EU022525,polyprotein 1ab,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,6623,
ABW75125,GenBank,EU022525,set:EU022525,spike,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,1203,
ABW75126,GenBank,EU022525,set:EU022525,3a,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,57,
ABW75127,GenBank,EU022525,set:EU022525,3b,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,64,
ABW75128,GenBank,EU022525,set:EU022525,M,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,222,
ABW75129,GenBank,EU022525,set:EU022525,4b,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,94,
ABW75130,GenBank,EU022525,set:EU022525,4c,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,56,
ABW75131,GenBank,EU022525,set:EU022525,5a,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,65,
ABW75132,GenBank,EU022525,set:EU022525,5b,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,80,
ABW75133,GenBank,EU022525,set:EU022525,E,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,99,
ABW75134,GenBank,EU022525,set:EU022525,N,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,409,
ABW75135,GenBank,EU022525,set:EU022525,polyprotein 1a,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,3945,
ABW75136,GenBank,EU022526,set:EU022526,polyprotein 1ab,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,6637,
ABW75137,GenBank,EU022526,set:EU022526,polyprotein 1a,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,3957,
ABW75138,GenBank,EU022526,set:EU022526,spike,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,1203,
ABW75139,GenBank,EU022526,set:EU022526,3a,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,57,
ABW75140,GenBank,EU022526,set:EU022526,3b,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,64,
ABW75141,GenBank,EU022526,set:EU022526,E,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,103,
ABW75142,GenBank,EU022526,set:EU022526,M,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,223,
ABW75143,GenBank,EU022526,set:EU022526,4b,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,94,
ABW75144,GenBank,EU022526,set:EU022526,4c,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,52,
ABW75145,GenBank,EU022526,set:EU022526,5a,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,65,
ABW75146,GenBank,EU022526,set:EU022526,5b,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,82,
ABW75147,GenBank,EU022526,set:EU022526,N,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,409,
ACB87503,GenBank,EU022526,set:EU022526,6b,Turkey coronavirus,Gammacoronavirus galli,TCoV-ATCC,74,
ACB87504,GenBank,EU022525,set:EU022525,6b,Turkey coronavirus,Gammacoronavirus galli,TCoV-540,73,
ABW81426,GenBank,EU095850,set:EU095850,ORF1ab polyprotein,Turkey coronavirus,Gammacoronavirus galli,MG10,6603,
ABW81427,GenBank,EU095850,set:EU095850,spike protein,Turkey coronavirus,Gammacoronavirus galli,MG10,1226,
ABW81428,GenBank,EU095850,set:EU095850,3a protein,Turkey coronavirus,Gammacoronavirus galli,MG10,57,
ABW81429,GenBank,EU095850,set:EU095850,3b protein,Turkey coronavirus,Gammacoronavirus galli,MG10,64,
ABW81430,GenBank,EU095850,set:EU095850,envelope protein,Turkey coronavirus,Gammacoronavirus galli,MG10,99,
ABW81431,GenBank,EU095850,set:EU095850,membrane protein,Turkey coronavirus,Gammacoronavirus galli,MG10,223,
ABW81432,GenBank,EU095850,set:EU095850,hypothetical protein,Turkey coronavirus,Gammacoronavirus galli,MG10,94,
ABW81433,GenBank,EU095850,set:EU095850,5a protein,Turkey coronavirus,Gammacoronavirus galli,MG10,65,
ABW81434,GenBank,EU095850,set:EU095850,5b protein,Turkey coronavirus,Gammacoronavirus galli,MG10,82,
ABW81435,GenBank,EU095850,set:EU095850,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,MG10,409,
ABW81436,GenBank,EU095850,set:EU095850,ORF1a,Turkey coronavirus,Gammacoronavirus galli,MG10,3951,
ACC60257,GenBank,EU570222,set:EU570222,5a,Turkey coronavirus,Gammacoronavirus galli,,19,
ACC60258,GenBank,EU570223,set:EU570223,5a,Turkey coronavirus,Gammacoronavirus galli,,55,
ACC60259,GenBank,EU570224,set:EU570224,5a,Turkey coronavirus,Gammacoronavirus galli,,65,
ACC60260,GenBank,EU570225,set:EU570225,5a,Turkey coronavirus,Gammacoronavirus galli,,65,
ACC60261,GenBank,EU570226,set:EU570226,5a,Turkey coronavirus,Gammacoronavirus galli,,65,
ACC60262,GenBank,EU570227,set:EU570227,5b,Turkey coronavirus,Gammacoronavirus galli,,82,
ACC60263,GenBank,EU570228,set:EU570228,5b,Turkey coronavirus,Gammacoronavirus galli,,80,
ACC60264,GenBank,EU570229,set:EU570229,5b,Turkey coronavirus,Gammacoronavirus galli,,80,
ACC60265,GenBank,EU570230,set:EU570230,5b,Turkey coronavirus,Gammacoronavirus galli,,80,
ACC60266,GenBank,EU570231,set:EU570231,5b,Turkey coronavirus,Gammacoronavirus galli,,80,
ACC60267,GenBank,EU570232,set:EU570232,3a,Turkey coronavirus,Gammacoronavirus galli,,61,
ACC60268,GenBank,EU570233,set:EU570233,3b,Turkey coronavirus,Gammacoronavirus galli,,64,
ACB98725,GenBank,EU622496,set:EU622496,3b protein,Turkey coronavirus,Gammacoronavirus galli,,64,
ACB98726,GenBank,EU622497,set:EU622497,envelope protein,Turkey coronavirus,Gammacoronavirus galli,,65,
Q9WQ76,GenBank,,,Replicase polyprotein 1ab,Turkey coronavirus (strain Minnesota),Avian coronavirus,,306,
AAQ20921,GenBank,AY342356,set:AY342356,spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,,1205,
AAQ20922,GenBank,AY342357,set:AY342357,spike glycoprotein precursor,Turkey coronavirus,Gammacoronavirus galli,,1208,
Q9PZ49,GenBank,,,Nucleoprotein,Turkey coronavirus (strain NC95),Avian coronavirus,,409,
Q9PZ50,GenBank,,,Nucleoprotein,Turkey coronavirus (strain Minnesota),Avian coronavirus,,409,
Q9PZ51,GenBank,,,Nucleoprotein,Turkey coronavirus (strain Indiana),Avian coronavirus,,409,
CAC33179,GenBank,AJ310640,set:AJ310640,spike glycoprotein,Turkey coronavirus,Gammacoronavirus galli,,28,
