Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
XHH54356,Bovine coronavirus,GenBank,,PQ368516,HC231201,Betacoronavirus 1,448,nucleocapsid protein,2023
XHH54357,Bovine coronavirus,GenBank,,PQ368517,HC231202,Betacoronavirus 1,448,nucleocapsid protein,2023
XHH54358,Bovine coronavirus,GenBank,,PQ368518,NN240101,Betacoronavirus 1,448,nucleocapsid protein,2024
XHH54359,Bovine coronavirus,GenBank,,PQ368519,NN240302,Betacoronavirus 1,448,nucleocapsid protein,2024
XHH54360,Bovine coronavirus,GenBank,,PQ368520,NN240304,Betacoronavirus 1,448,nucleocapsid protein,2024
XHH54361,Bovine coronavirus,GenBank,,PQ368521,NN240305,Betacoronavirus 1,448,nucleocapsid protein,2024
XQJ32462,Bovine coronavirus,GenBank,,PV296235,BCoV-B0031W2,Betacoronavirus 1,424,hemagglutinin-esterase,2024-05
XQJ32463,Bovine coronavirus,GenBank,,PV296236,BCoV-B0038W2,Betacoronavirus 1,424,hemagglutinin-esterase,2024-05
XQJ32464,Bovine coronavirus,GenBank,,PV345613,BCoV-B0031W2,Betacoronavirus 1,1363,spike protein,2024-05
XQJ32465,Bovine coronavirus,GenBank,,PV345614,BCoV-B0038W2,Betacoronavirus 1,1363,spike protein,2024-05
XQJ32710,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,7094,ORF1ab protein,2021
XQJ32711,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,4383,ORF1a protein,2021
XQJ32712,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,278,NS2 protein,2021
XQJ32713,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,420,HE protein,2021
XQJ32714,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,1363,S protein,2021
XQJ32715,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,29,N4.9 protein,2021
XQJ32716,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,109,NS12.7 protein,2021
XQJ32717,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,84,E protein,2021
XQJ32718,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,230,M protein,2021
XQJ32719,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,448,N protein,2021
XDO56101,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,7094,ORF1ab polyprotein,2024-04-25
XDO56102,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,278,32 kDa non-structural protein,2024-04-25
XDO56103,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,424,hemmaglutinin-esterase,2024-04-25
XDO56104,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,1363,spike protein,2024-04-25
XDO56105,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,43,4.9 kDa non-structural protein,2024-04-25
XDO56106,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,45,4.8 kDa non-structural protein,2024-04-25
XDO56107,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,109,12.7 kDa non-structural protein,2024-04-25
XDO56108,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,84,small envelope protein,2024-04-25
XDO56109,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,230,matrix protein,2024-04-25
XDO56110,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,445,nucleocapsid protein,2024-04-25
XDO56111,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,204,internal protein,2024-04-25
XQE69133,Bovine coronavirus,GenBank,,PV274533,SS2,Betacoronavirus 1,74,nucleocapsid protein,2025-02
XQE69134,Bovine coronavirus,GenBank,,PV274534,SS4,Betacoronavirus 1,74,nucleocapsid protein,2025-02
XQE69135,Bovine coronavirus,GenBank,,PV274535,SS7,Betacoronavirus 1,74,nucleocapsid protein,2025-02
XQE69136,Bovine coronavirus,GenBank,,PV274536,SS10,Betacoronavirus 1,74,nucleocapsid protein,2025-02
XPR33197,Bovine coronavirus,GenBank,,PV259899,JSSH240914,Betacoronavirus 1,1363,spike protein,2024-09-09
XPR33198,Bovine coronavirus,GenBank,,PV259899,JSSH240914,Betacoronavirus 1,109,12.7 kDa non structural protein,2024-09-09
XPR33199,Bovine coronavirus,GenBank,,PV259900,JSSH240916,Betacoronavirus 1,1363,spike protein,2024-09-09
XPR33200,Bovine coronavirus,GenBank,,PV259900,JSSH240916,Betacoronavirus 1,109,12.7 kDa non structural protein,2024-09-09
XPR33201,Bovine coronavirus,GenBank,,PV259901,JSSH240936,Betacoronavirus 1,1363,spike protein,2024-09-09
XPR33202,Bovine coronavirus,GenBank,,PV259901,JSSH240936,Betacoronavirus 1,109,12.7 kDa non structural protein,2024-09-09
XPL73110,Bovine coronavirus,GenBank,,PV219278,3_Laguna,Betacoronavirus 1,188,nucleoprotein,2023-11-23
XPL73111,Bovine coronavirus,GenBank,,PV219279,4_Laguna,Betacoronavirus 1,130,nucleoprotein,2023-11-23
XPL73112,Bovine coronavirus,GenBank,,PV219280,13_Laguna,Betacoronavirus 1,188,nucleoprotein,2023-11-23
XPL73113,Bovine coronavirus,GenBank,,PV219281,15_Laguna,Betacoronavirus 1,184,nucleoprotein,2023-11-23
XPL73114,Bovine coronavirus,GenBank,,PV219282,17_Laguna,Betacoronavirus 1,189,nucleoprotein,2023-11-23
XPL73115,Bovine coronavirus,GenBank,,PV219283,46_Laguna,Betacoronavirus 1,145,nucleoprotein,2023-11-23
XPL73116,Bovine coronavirus,GenBank,,PV219284,53_Laguna,Betacoronavirus 1,189,nucleoprotein,2023-11-23
XPL73117,Bovine coronavirus,GenBank,,PV219285,54_Laguna,Betacoronavirus 1,189,nucleoprotein,2023-11-23
XPL73118,Bovine coronavirus,GenBank,,PV219286,66_Laguna,Betacoronavirus 1,59,nucleoprotein,2023-11-23
XPL73119,Bovine coronavirus,GenBank,,PV219287,88_Laguna,Betacoronavirus 1,157,nucleoprotein,2023-11-23
WWB00013,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,278,NS2,2023
WWB00014,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,424,HE,2023
WWB00015,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,1363,S,2023
WWB00016,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,29,NS4.9,2023
WWB00017,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,109,NS12.7,2023
WWB00018,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,84,E,2023
WWB00019,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,230,M,2023
WWB00020,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,448,N,2023
WWB00021,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,4383,ORF1a protein,2023
WWB01616,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,7094,orf1ab protein,2019
WWB01617,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,4383,orf1a protein,2019
WWB01618,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,278,NS2,2019
WWB01619,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,424,HE,2019
WWB01620,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,1363,S,2019
WWB01621,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,109,NS12.7,2019
WWB01622,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,84,E,2019
WWB01623,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,230,M,2019
WWB01624,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,448,N,2019
WZD86462,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,7093,orf1ab protein,2022
WZD86463,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,4382,orf1a protein,2022
WZD86464,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,278,NS2,2022
WZD86465,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,424,HE,2022
WZD86466,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,1363,S,2022
WZD86467,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,109,NS12.7,2022
WZD86468,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,84,E,2022
WZD86469,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,230,M,2022
WZD86470,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,448,N,2022
WZD86471,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,7094,orf1ab protein,2023
WZD86472,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,4383,orf1a protein,2023
WZD86473,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,278,NS2,2023
WZD86474,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,424,HE,2023
WZD86475,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,1363,S,2023
WZD86476,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,109,NS12.7,2023
WZD86477,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,84,E,2023
WZD86478,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,230,M,2023
WZD86479,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,448,N,2023
WEQ50572,Bovine coronavirus,GenBank,,MW645079,BCoV/Turkey/Konya/Dollvet/2016,Betacoronavirus 1,243,nucleocapsid protein,2016
WEQ50573,Bovine coronavirus,GenBank,,MW645080,BCoV/Turkey/Karapinar/Dollvet/2016,Betacoronavirus 1,241,nucleocapsid protein,2016
XOD40871,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,4382,ORF1a,2023
XOD40872,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,278,NS2,2023
XOD40873,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,424,hemagglutinin-esterase,2023
XOD40874,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,1363,spike protein,2023
XOD40875,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,109,12.7 kDa non-structural protein,2023
XOD40876,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,84,envelope protein,2023
XOD40877,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,230,membrane protein,2023
XOD40878,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,448,nucleocapsid protein,2023
XOD40879,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,4383,ORF1a,2023
XOD40880,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,278,NS2,2023
XOD40881,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,424,hemagglutinin-esterase,2023
XOD40882,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,1362,spike protein,2023
XOD40883,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,109,12.7 kDa non-structural protein,2023
XOD40884,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,84,envelope protein,2023
XOD40885,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,230,membrane protein,2023
XOD40886,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,448,nucleocapsid protein,2023
XNZ82897,Bovine coronavirus,GenBank,,PV053170,BRA/PR-45A,Betacoronavirus 1,149,nucleocapsid protein,2022
XNZ82898,Bovine coronavirus,GenBank,,PV053171,BRA/PR-8F,Betacoronavirus 1,113,nucleocapsid protein,2022
XNZ82899,Bovine coronavirus,GenBank,,PV053172,BRA/PR-35N,Betacoronavirus 1,149,nucleocapsid protein,2022
XNZ82900,Bovine coronavirus,GenBank,,PV053173,BRA/PR-45A,Betacoronavirus 1,738,spike protein,2022
XNZ82901,Bovine coronavirus,GenBank,,PV053174,BRA/PR-8F,Betacoronavirus 1,536,spike protein,2022
XNZ82902,Bovine coronavirus,GenBank,,PV053175,BRA/PR-35N,Betacoronavirus 1,887,spike protein,2022
XDF38048,Bovine coronavirus,GenBank,,PQ058146,NN240301,Betacoronavirus 1,448,nucleocapsid protein,2024-03-01
XKI32087,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,4383,ORF1a polyprotein,2024-03
XKI32088,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,7094,ORF1ab polyprotein,2024-03
XKI32089,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,424,hemagglutinin-esterase,2024-03
XKI32090,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,1361,spike protein,2024-03
XKI32091,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,84,envelope protein,2024-03
XKI32092,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,230,membrane protein,2024-03
XKI32093,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,448,nucleocapsid protein,2024-03
XGI00678,Bovine coronavirus,GenBank,,PQ249423,ETB_14,Betacoronavirus 1,153,spike glycoprotein,2023-12
XGI00679,Bovine coronavirus,GenBank,,PQ268636,ETB_47,Betacoronavirus 1,400,hemagglutinin-esterase,2023-12
XGI00680,Bovine coronavirus,GenBank,,PQ268637,ETB_14,Betacoronavirus 1,404,hemagglutinin-esterase,2023-12
XGI00681,Bovine coronavirus,GenBank,,PQ268638,ETB_94,Betacoronavirus 1,420,hemagglutinin-esterase,2023-12
XHB18310,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,7094,orf1ab protein,2023-10-08
XHB18311,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,4383,orf1a protein,2023-10-08
XHB18312,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,278,32 kDa protein product,2023-10-08
XHB18313,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,424,hemagglutinin esterase,2023-10-08
XHB18314,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,1363,spike protein,2023-10-08
XHB18315,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,109,12.7 kDa non structural protein,2023-10-08
XHB18316,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,84,envelope protein,2023-10-08
XHB18317,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,230,membrane protein,2023-10-08
XHB18318,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,445,nucleocapsid protein,2023-10-08
XFF06471,Bovine coronavirus,GenBank,,PQ243293,SDWF1-2403,Betacoronavirus 1,1363,spike protein,2024-03-11
XFF06472,Bovine coronavirus,GenBank,,PQ243294,SDJN1-2427,Betacoronavirus 1,1363,spike protein,2024-02-27
XFF06473,Bovine coronavirus,GenBank,,PQ243295,SDJN2-2402,Betacoronavirus 1,1363,spike protein,2024-02-28
WWE42887,Bovine coronavirus,GenBank,,PP357888,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,141,spike protein,2023
WWE42888,Bovine coronavirus,GenBank,,PP357889,BCoV/Cow/ETH/2023/26,Betacoronavirus 1,153,spike protein,2023
WWE42889,Bovine coronavirus,GenBank,,PP357890,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,152,spike protein,2023
WWE42890,Bovine coronavirus,GenBank,,PP357891,BCoV/Cow/ETH/2023/42,Betacoronavirus 1,154,spike protein,2023
XDO56488,Bovine coronavirus,GenBank,,PQ130135,SH2_Assiut_2024,Betacoronavirus 1,231,spike protein,2024
XDO56581,Bovine coronavirus,GenBank,,PQ110069,SDDY2310,Betacoronavirus 1,1363,spike protein,2023-10
BFO23344,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,4382,polyprotein 1a,2022-03
BFO23345,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,2642,polyprotein 1b,2022-03
BFO23346,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,278,32.3kDa protein,2022-03
BFO23347,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,424,hemagglutinin-esterase glycoprotein,2022-03
BFO23348,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,1363,spike glycoprotein,2022-03
BFO23349,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,109,12.8kDa protein,2022-03
BFO23350,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,84,small envelope protein,2022-03
BFO23351,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,230,membrane protein,2022-03
BFO23352,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,448,nucleocapsid protein,2022-03
BFO23353,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,4382,polyprotein 1a,2022-05
BFO23354,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,2642,polyprotein 1b,2022-05
BFO23355,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,278,32.3kDa protein,2022-05
BFO23356,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,424,hemagglutinin-esterase glycoprotein,2022-05
BFO23357,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,1363,spike glycoprotein,2022-05
BFO23358,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,109,12.8kDa protein,2022-05
BFO23359,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,84,small envelope protein,2022-05
BFO23360,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,230,membrane protein,2022-05
