Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
XUM36561,GenBank,PV685438,,ORF1a polyprotein,Human coronavirus 229E,229E/063343/USA/2024,4090,2024-02-05
XUM36562,GenBank,PV685438,,spike protein,Human coronavirus 229E,229E/063343/USA/2024,1171,2024-02-05
XUM36563,GenBank,PV685438,,accessory protein 4,Human coronavirus 229E,229E/063343/USA/2024,219,2024-02-05
XUM36564,GenBank,PV685438,,envelope protein,Human coronavirus 229E,229E/063343/USA/2024,77,2024-02-05
XUM36565,GenBank,PV685438,,membrane glycoprotein,Human coronavirus 229E,229E/063343/USA/2024,225,2024-02-05
XUM36566,GenBank,PV685438,,nucleocapsid protein,Human coronavirus 229E,229E/063343/USA/2024,389,2024-02-05
XUM36567,GenBank,PV685439,,ORF1ab polyprotein,Human coronavirus 229E,229E/101993/USA/2024,6763,2024-03-06
XUM36568,GenBank,PV685439,,ORF1a polyprotein,Human coronavirus 229E,229E/101993/USA/2024,4090,2024-03-06
XUM36569,GenBank,PV685439,,spike protein,Human coronavirus 229E,229E/101993/USA/2024,1171,2024-03-06
XUM36570,GenBank,PV685439,,accessory protein 4,Human coronavirus 229E,229E/101993/USA/2024,219,2024-03-06
XUM36571,GenBank,PV685439,,envelope protein,Human coronavirus 229E,229E/101993/USA/2024,77,2024-03-06
XUM36572,GenBank,PV685439,,membrane glycoprotein,Human coronavirus 229E,229E/101993/USA/2024,225,2024-03-06
XUM36573,GenBank,PV685439,,nucleocapsid protein,Human coronavirus 229E,229E/101993/USA/2024,389,2024-03-06
XUM36574,GenBank,PV685440,,ORF1ab polyprotein,Human coronavirus 229E,229E/122994/USA/2024,6763,2024-04-08
XUM36575,GenBank,PV685440,,ORF1a polyprotein,Human coronavirus 229E,229E/122994/USA/2024,4090,2024-04-08
XUM36576,GenBank,PV685440,,spike protein,Human coronavirus 229E,229E/122994/USA/2024,1171,2024-04-08
XUM36577,GenBank,PV685440,,accessory protein 4,Human coronavirus 229E,229E/122994/USA/2024,219,2024-04-08
XUM36578,GenBank,PV685440,,envelope protein,Human coronavirus 229E,229E/122994/USA/2024,77,2024-04-08
XUM36579,GenBank,PV685440,,membrane glycoprotein,Human coronavirus 229E,229E/122994/USA/2024,225,2024-04-08
XUM36580,GenBank,PV685440,,nucleocapsid protein,Human coronavirus 229E,229E/122994/USA/2024,389,2024-04-08
XUM36581,GenBank,PV685441,,ORF1ab polyprotein,Human coronavirus 229E,229E/203060/USA/2024,6763,2024-02-14
XUM36582,GenBank,PV685441,,ORF1a polyprotein,Human coronavirus 229E,229E/203060/USA/2024,4090,2024-02-14
XUM36583,GenBank,PV685441,,spike protein,Human coronavirus 229E,229E/203060/USA/2024,1171,2024-02-14
XUM36584,GenBank,PV685441,,accessory protein 4,Human coronavirus 229E,229E/203060/USA/2024,219,2024-02-14
XUM36585,GenBank,PV685441,,envelope protein,Human coronavirus 229E,229E/203060/USA/2024,77,2024-02-14
XUM36586,GenBank,PV685441,,membrane glycoprotein,Human coronavirus 229E,229E/203060/USA/2024,225,2024-02-14
XUM36587,GenBank,PV685441,,nucleocapsid protein,Human coronavirus 229E,229E/203060/USA/2024,389,2024-02-14
XUM36588,GenBank,PV685442,,ORF1ab polyprotein,Human coronavirus 229E,229E/242073/USA/2023,6763,2023-07-18
XUM36589,GenBank,PV685442,,ORF1a polyprotein,Human coronavirus 229E,229E/242073/USA/2023,4090,2023-07-18
XUM36590,GenBank,PV685442,,spike protein,Human coronavirus 229E,229E/242073/USA/2023,1171,2023-07-18
XUM36591,GenBank,PV685442,,accessory protein 4,Human coronavirus 229E,229E/242073/USA/2023,219,2023-07-18
XUM36592,GenBank,PV685442,,envelope protein,Human coronavirus 229E,229E/242073/USA/2023,77,2023-07-18
XUM36593,GenBank,PV685442,,membrane glycoprotein,Human coronavirus 229E,229E/242073/USA/2023,225,2023-07-18
XUM36594,GenBank,PV685442,,nucleocapsid protein,Human coronavirus 229E,229E/242073/USA/2023,387,2023-07-18
XUM36595,GenBank,PV685443,,ORF1ab polyprotein,Human coronavirus 229E,229E/266552/USA/2024,6763,2024-04-17
XUM36596,GenBank,PV685443,,ORF1a polyprotein,Human coronavirus 229E,229E/266552/USA/2024,4090,2024-04-17
XUM36597,GenBank,PV685443,,spike protein,Human coronavirus 229E,229E/266552/USA/2024,1171,2024-04-17
XUM36598,GenBank,PV685443,,accessory protein 4,Human coronavirus 229E,229E/266552/USA/2024,219,2024-04-17
XUM36599,GenBank,PV685443,,envelope protein,Human coronavirus 229E,229E/266552/USA/2024,77,2024-04-17
XUM36600,GenBank,PV685443,,membrane glycoprotein,Human coronavirus 229E,229E/266552/USA/2024,225,2024-04-17
XUM36601,GenBank,PV685443,,nucleocapsid protein,Human coronavirus 229E,229E/266552/USA/2024,389,2024-04-17
XUM36602,GenBank,PV685444,,ORF1ab polyprotein,Human coronavirus 229E,229E/269642/USA/2024,6763,2024-02-18
XUM36603,GenBank,PV685444,,ORF1a polyprotein,Human coronavirus 229E,229E/269642/USA/2024,4090,2024-02-18
XUM36604,GenBank,PV685444,,spike protein,Human coronavirus 229E,229E/269642/USA/2024,1171,2024-02-18
XUM36605,GenBank,PV685444,,accessory protein 4,Human coronavirus 229E,229E/269642/USA/2024,219,2024-02-18
XUM36606,GenBank,PV685444,,envelope protein,Human coronavirus 229E,229E/269642/USA/2024,77,2024-02-18
XUM36607,GenBank,PV685444,,membrane glycoprotein,Human coronavirus 229E,229E/269642/USA/2024,225,2024-02-18
XUM36608,GenBank,PV685444,,nucleocapsid protein,Human coronavirus 229E,229E/269642/USA/2024,389,2024-02-18
XUM36609,GenBank,PV685445,,ORF1ab polyprotein,Human coronavirus 229E,229E/306995/USA/2024,6763,2024-05-21
XUM36610,GenBank,PV685445,,ORF1a polyprotein,Human coronavirus 229E,229E/306995/USA/2024,4090,2024-05-21
XUM36611,GenBank,PV685445,,spike protein,Human coronavirus 229E,229E/306995/USA/2024,1171,2024-05-21
XUM36612,GenBank,PV685445,,accessory protein 4,Human coronavirus 229E,229E/306995/USA/2024,219,2024-05-21
XUM36613,GenBank,PV685445,,envelope protein,Human coronavirus 229E,229E/306995/USA/2024,77,2024-05-21
XUM36614,GenBank,PV685445,,membrane glycoprotein,Human coronavirus 229E,229E/306995/USA/2024,225,2024-05-21
XUM36615,GenBank,PV685445,,nucleocapsid protein,Human coronavirus 229E,229E/306995/USA/2024,389,2024-05-21
XUM36616,GenBank,PV685446,,ORF1ab polyprotein,Human coronavirus 229E,229E/376078/USA/2024,6763,2024-03-24
XUM36617,GenBank,PV685446,,ORF1a polyprotein,Human coronavirus 229E,229E/376078/USA/2024,4090,2024-03-24
XUM36618,GenBank,PV685446,,spike protein,Human coronavirus 229E,229E/376078/USA/2024,1171,2024-03-24
XUM36619,GenBank,PV685446,,accessory protein 4,Human coronavirus 229E,229E/376078/USA/2024,219,2024-03-24
XUM36620,GenBank,PV685446,,envelope protein,Human coronavirus 229E,229E/376078/USA/2024,77,2024-03-24
XUM36621,GenBank,PV685446,,membrane glycoprotein,Human coronavirus 229E,229E/376078/USA/2024,225,2024-03-24
XUM36622,GenBank,PV685446,,nucleocapsid protein,Human coronavirus 229E,229E/376078/USA/2024,389,2024-03-24
XUM36623,GenBank,PV685447,,ORF1ab polyprotein,Human coronavirus 229E,229E/411124/USA/2024,6763,2024-02-27
XUM36624,GenBank,PV685447,,ORF1a polyprotein,Human coronavirus 229E,229E/411124/USA/2024,4090,2024-02-27
XUM36625,GenBank,PV685447,,spike protein,Human coronavirus 229E,229E/411124/USA/2024,1171,2024-02-27
XUM36626,GenBank,PV685447,,accessory protein 4,Human coronavirus 229E,229E/411124/USA/2024,219,2024-02-27
XUM36627,GenBank,PV685447,,envelope protein,Human coronavirus 229E,229E/411124/USA/2024,77,2024-02-27
XUM36628,GenBank,PV685447,,membrane glycoprotein,Human coronavirus 229E,229E/411124/USA/2024,225,2024-02-27
XUM36629,GenBank,PV685447,,nucleocapsid protein,Human coronavirus 229E,229E/411124/USA/2024,389,2024-02-27
XUM36630,GenBank,PV685448,,ORF1ab polyprotein,Human coronavirus 229E,229E/435192/USA/2024,6763,2024-02-29
XUM36631,GenBank,PV685448,,ORF1a polyprotein,Human coronavirus 229E,229E/435192/USA/2024,4090,2024-02-29
XUM36632,GenBank,PV685448,,spike protein,Human coronavirus 229E,229E/435192/USA/2024,1171,2024-02-29
XUM36633,GenBank,PV685448,,accessory protein 4,Human coronavirus 229E,229E/435192/USA/2024,219,2024-02-29
XUM36634,GenBank,PV685448,,envelope protein,Human coronavirus 229E,229E/435192/USA/2024,77,2024-02-29
XUM36635,GenBank,PV685448,,membrane glycoprotein,Human coronavirus 229E,229E/435192/USA/2024,225,2024-02-29
XUM36636,GenBank,PV685448,,nucleocapsid protein,Human coronavirus 229E,229E/435192/USA/2024,389,2024-02-29
XUM36637,GenBank,PV685449,,ORF1ab polyprotein,Human coronavirus 229E,229E/467854/USA/2024,6763,2024-04-30
XUM36638,GenBank,PV685449,,ORF1a polyprotein,Human coronavirus 229E,229E/467854/USA/2024,4090,2024-04-30
XUM36639,GenBank,PV685449,,spike protein,Human coronavirus 229E,229E/467854/USA/2024,1171,2024-04-30
XUM36640,GenBank,PV685449,,accessory protein 4,Human coronavirus 229E,229E/467854/USA/2024,219,2024-04-30
XUM36641,GenBank,PV685449,,envelope protein,Human coronavirus 229E,229E/467854/USA/2024,77,2024-04-30
XUM36642,GenBank,PV685449,,membrane glycoprotein,Human coronavirus 229E,229E/467854/USA/2024,225,2024-04-30
XUM36643,GenBank,PV685449,,nucleocapsid protein,Human coronavirus 229E,229E/467854/USA/2024,389,2024-04-30
XUM37172,GenBank,PV717794,,ORF1ab polyprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23888/2025,6763,2025-02-23
XUM37173,GenBank,PV717794,,ORF1a polyprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23888/2025,4090,2025-02-23
XUM37174,GenBank,PV717794,,spike protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23888/2025,1171,2025-02-23
XUM37175,GenBank,PV717794,,accessory protein 4,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23888/2025,219,2025-02-23
XUM37176,GenBank,PV717794,,envelope protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23888/2025,77,2025-02-23
XUM37177,GenBank,PV717794,,membrane glycoprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23888/2025,225,2025-02-23
XUM37178,GenBank,PV717794,,nucleocapsid protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23888/2025,389,2025-02-23
XUM37281,GenBank,PV717809,,ORF1ab polyprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23855/2025,6763,2025-02-17
XUM37282,GenBank,PV717809,,ORF1a polyprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23855/2025,4090,2025-02-17
XUM37283,GenBank,PV717809,,spike protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23855/2025,1171,2025-02-17
XUM37284,GenBank,PV717809,,accessory protein 4,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23855/2025,219,2025-02-17
XUM37285,GenBank,PV717809,,envelope protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23855/2025,77,2025-02-17
XUM37286,GenBank,PV717809,,membrane glycoprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23855/2025,225,2025-02-17
XUM37287,GenBank,PV717809,,nucleocapsid protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23855/2025,389,2025-02-17
XUM37321,GenBank,PV717816,,ORF1ab polyprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23856/2025,6763,2025-02-18
XUM37322,GenBank,PV717816,,ORF1a polyprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23856/2025,4090,2025-02-18
XUM37323,GenBank,PV717816,,spike protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23856/2025,1171,2025-02-18
XUM37324,GenBank,PV717816,,accessory protein 4,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23856/2025,219,2025-02-18
XUM37325,GenBank,PV717816,,envelope protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23856/2025,77,2025-02-18
XUM37326,GenBank,PV717816,,membrane glycoprotein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23856/2025,225,2025-02-18
XUM37327,GenBank,PV717816,,nucleocapsid protein,Human coronavirus 229E,HCoV-229E/human/USA/MA-Broad_MGH-23856/2025,389,2025-02-18
XOD40831,GenBank,PQ963848,,replicase polyprotein 1ab,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-MH183861S/2024,6763,2024-04-15
XOD40832,GenBank,PQ963848,,surface glycoprotein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-MH183861S/2024,1171,2024-04-15
XOD40833,GenBank,PQ963848,,accessory protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-MH183861S/2024,219,2024-04-15
XOD40834,GenBank,PQ963848,,envelope protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-MH183861S/2024,77,2024-04-15
XOD40835,GenBank,PQ963848,,membrane protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-MH183861S/2024,225,2024-04-15
XOD40836,GenBank,PQ963848,,nucleocapsid protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-MH183861S/2024,389,2024-04-15
XOD40837,GenBank,PQ963849,,replicase polyprotein 1ab,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH186668S/2024,6763,2024-04-17
XOD40838,GenBank,PQ963849,,surface glycoprotein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH186668S/2024,1171,2024-04-17
XOD40839,GenBank,PQ963849,,accessory protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH186668S/2024,219,2024-04-17
XOD40840,GenBank,PQ963849,,envelope protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH186668S/2024,77,2024-04-17
XOD40841,GenBank,PQ963849,,membrane protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH186668S/2024,225,2024-04-17
XOD40842,GenBank,PQ963849,,nucleocapsid protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH186668S/2024,389,2024-04-17
XOD40843,GenBank,PQ963850,,replicase polyprotein 1ab,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH194316S/2024,6538,2024-05-22
XOD40844,GenBank,PQ963850,,surface glycoprotein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH194316S/2024,1171,2024-05-22
XOD40845,GenBank,PQ963850,,accessory protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH194316S/2024,219,2024-05-22
XOD40846,GenBank,PQ963850,,envelope protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH194316S/2024,77,2024-05-22
XOD40847,GenBank,PQ963850,,membrane protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH194316S/2024,225,2024-05-22
XOD40848,GenBank,PQ963850,,nucleocapsid protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH194316S/2024,389,2024-05-22
XOD40849,GenBank,PQ963852,,replicase polyprotein 1ab,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH204625S/2024,6627,2024-07-17
XOD40850,GenBank,PQ963852,,surface glycoprotein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH204625S/2024,1171,2024-07-17
XOD40851,GenBank,PQ963852,,accessory protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH204625S/2024,219,2024-07-17
XOD40852,GenBank,PQ963852,,envelope protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH204625S/2024,77,2024-07-17
XOD40853,GenBank,PQ963852,,membrane protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH204625S/2024,225,2024-07-17
XOD40854,GenBank,PQ963852,,nucleocapsid protein,Human coronavirus 229E,hCoV-229E/Russia/KDA-RII-MH204625S/2024,389,2024-07-17
XCG98558,GenBank,PP952203,,ORF1ab,Camel alphacoronavirus,C1-P1_KSA_2023,6763,2023-12-23
XCG98559,GenBank,PP952203,,ORF1a,Camel alphacoronavirus,C1-P1_KSA_2023,4090,2023-12-23
XCG98560,GenBank,PP952203,,S protein,Camel alphacoronavirus,C1-P1_KSA_2023,1169,2023-12-23
XCG98561,GenBank,PP952203,,4 protein,Camel alphacoronavirus,C1-P1_KSA_2023,226,2023-12-23
XCG98562,GenBank,PP952203,,E protein,Camel alphacoronavirus,C1-P1_KSA_2023,77,2023-12-23
XCG98563,GenBank,PP952203,,M protein,Camel alphacoronavirus,C1-P1_KSA_2023,226,2023-12-23
XCG98564,GenBank,PP952203,,N protein,Camel alphacoronavirus,C1-P1_KSA_2023,382,2023-12-23
XCG98565,GenBank,PP952204,,ORF1ab,Camel alphacoronavirus,H5-P1_KSA_2023,6763,2023-12-23
XCG98566,GenBank,PP952204,,ORF1a,Camel alphacoronavirus,H5-P1_KSA_2023,4090,2023-12-23
XCG98567,GenBank,PP952204,,S protein,Camel alphacoronavirus,H5-P1_KSA_2023,1169,2023-12-23
XCG98568,GenBank,PP952204,,4 protein,Camel alphacoronavirus,H5-P1_KSA_2023,226,2023-12-23
XCG98569,GenBank,PP952204,,E protein,Camel alphacoronavirus,H5-P1_KSA_2023,77,2023-12-23
XCG98570,GenBank,PP952204,,M protein,Camel alphacoronavirus,H5-P1_KSA_2023,226,2023-12-23
XCG98571,GenBank,PP952204,,N protein,Camel alphacoronavirus,H5-P1_KSA_2023,382,2023-12-23
XCG98572,GenBank,PP952205,,ORF1ab,Camel alphacoronavirus,G5-P4_KSA_2023,6763,2023-12-07
XCG98573,GenBank,PP952205,,ORF1a,Camel alphacoronavirus,G5-P4_KSA_2023,4090,2023-12-07
XCG98574,GenBank,PP952205,,S protein,Camel alphacoronavirus,G5-P4_KSA_2023,1169,2023-12-07
XCG98575,GenBank,PP952205,,4 protein,Camel alphacoronavirus,G5-P4_KSA_2023,226,2023-12-07
XCG98576,GenBank,PP952205,,E protein,Camel alphacoronavirus,G5-P4_KSA_2023,77,2023-12-07
XCG98577,GenBank,PP952205,,M protein,Camel alphacoronavirus,G5-P4_KSA_2023,226,2023-12-07
XCG98578,GenBank,PP952205,,N protein,Camel alphacoronavirus,G5-P4_KSA_2023,382,2023-12-07
XCG98579,GenBank,PP952206,,ORF1ab,Camel alphacoronavirus,D5-P4_KSA_2023,6763,2023-12-07
XCG98580,GenBank,PP952206,,ORF1a,Camel alphacoronavirus,D5-P4_KSA_2023,4090,2023-12-07
XCG98581,GenBank,PP952206,,S protein,Camel alphacoronavirus,D5-P4_KSA_2023,1169,2023-12-07
XCG98582,GenBank,PP952206,,4 protein,Camel alphacoronavirus,D5-P4_KSA_2023,226,2023-12-07
XCG98583,GenBank,PP952206,,E protein,Camel alphacoronavirus,D5-P4_KSA_2023,77,2023-12-07
XCG98584,GenBank,PP952206,,M protein,Camel alphacoronavirus,D5-P4_KSA_2023,226,2023-12-07
XCG98585,GenBank,PP952206,,N protein,Camel alphacoronavirus,D5-P4_KSA_2023,382,2023-12-07
XCG98586,GenBank,PP952207,,ORF1ab,Camel alphacoronavirus,D6-P1_KSA_2023,6763,2023-12-23
XCG98587,GenBank,PP952207,,ORF1a,Camel alphacoronavirus,D6-P1_KSA_2023,4090,2023-12-23
XCG98588,GenBank,PP952207,,S protein,Camel alphacoronavirus,D6-P1_KSA_2023,1169,2023-12-23
XCG98589,GenBank,PP952207,,4 protein,Camel alphacoronavirus,D6-P1_KSA_2023,226,2023-12-23
XCG98590,GenBank,PP952207,,E protein,Camel alphacoronavirus,D6-P1_KSA_2023,77,2023-12-23
XCG98591,GenBank,PP952207,,M protein,Camel alphacoronavirus,D6-P1_KSA_2023,226,2023-12-23
XCG98592,GenBank,PP952207,,N protein,Camel alphacoronavirus,D6-P1_KSA_2023,382,2023-12-23
XCG98593,GenBank,PP952208,,ORF1ab,Camel alphacoronavirus,G3-P1_KSA_2023,6742,2023-12-23
XCG98594,GenBank,PP952208,,ORF1a,Camel alphacoronavirus,G3-P1_KSA_2023,4090,2023-12-23
XCG98595,GenBank,PP952208,,S protein,Camel alphacoronavirus,G3-P1_KSA_2023,1169,2023-12-23
XCG98596,GenBank,PP952208,,4 protein,Camel alphacoronavirus,G3-P1_KSA_2023,226,2023-12-23
XCG98597,GenBank,PP952208,,E protein,Camel alphacoronavirus,G3-P1_KSA_2023,77,2023-12-23
XCG98598,GenBank,PP952208,,M protein,Camel alphacoronavirus,G3-P1_KSA_2023,226,2023-12-23
XCG98599,GenBank,PP952208,,N protein,Camel alphacoronavirus,G3-P1_KSA_2023,382,2023-12-23
XCG98600,GenBank,PP952209,,ORF1ab,Camel alphacoronavirus,D1-P1_KSA_2023,6763,2023-12-23
XCG98601,GenBank,PP952209,,ORF1a,Camel alphacoronavirus,D1-P1_KSA_2023,4090,2023-12-23
XCG98602,GenBank,PP952209,,S protein,Camel alphacoronavirus,D1-P1_KSA_2023,1169,2023-12-23
XCG98603,GenBank,PP952209,,4 protein,Camel alphacoronavirus,D1-P1_KSA_2023,226,2023-12-23
XCG98604,GenBank,PP952209,,E protein,Camel alphacoronavirus,D1-P1_KSA_2023,77,2023-12-23
XCG98605,GenBank,PP952209,,M protein,Camel alphacoronavirus,D1-P1_KSA_2023,226,2023-12-23
XCG98606,GenBank,PP952209,,N protein,Camel alphacoronavirus,D1-P1_KSA_2023,382,2023-12-23
XLL09926,GenBank,PQ699976,,replicase polyprotein 1ab,Human coronavirus 229E,Guangzhou/2021/S086-BY-1608-1,302,2017
XLE37668,GenBank,PQ616070,,replicase polyprotein 1ab,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-8885S/2023,6763,2023-01-12
XLE37669,GenBank,PQ616070,,spike protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-8885S/2023,1172,2023-01-12
XLE37670,GenBank,PQ616070,,accessory protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-8885S/2023,219,2023-01-12
XLE37671,GenBank,PQ616070,,envelope protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-8885S/2023,77,2023-01-12
XLE37672,GenBank,PQ616070,,membrane protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-8885S/2023,225,2023-01-12
XLE37673,GenBank,PQ616070,,nucleocapsid protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-8885S/2023,389,2023-01-12
XLE37674,GenBank,PQ616071,,replicase polyprotein 1ab,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-10326S/2023,6761,2023-01-13
XLE37675,GenBank,PQ616071,,spike protein,Human coronavirus 229E,hCoV-229E/Russia/SPE-RII-10326S/2023,1172,2023-01-13
