Accession,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
AHN66162,KJ146015,set:KJ146015,spike glycoprotein,Turkey coronavirus,1741,556,2013
AHN66163,KJ146016,set:KJ146016,spike glycoprotein,Turkey coronavirus,1811,555,2013
AHN66164,KJ146017,set:KJ146017,spike glycoprotein,Turkey coronavirus,1729,556,2013
AHN66165,KJ146018,set:KJ146018,spike glycoprotein,Turkey coronavirus,1728,556,2013
AHN66166,KJ146019,set:KJ146019,spike glycoprotein,Turkey coronavirus,1913,555,2013
AHN66167,KJ146020,set:KJ146020,spike glycoprotein,Turkey coronavirus,1744,558,2013
CCA89750,FR856855,set:FR856855,spike glycoprotein precursor,Turkey coronavirus,,528,
CBL62865,FN811144,set:FN811144,RNA-dependent RNA polymerase,Turkey coronavirus,,205,2007-11
CBL62866,FN811145,set:FN811145,RNA-dependent RNA polymerase,Turkey coronavirus,,205,2008-06
CBL62867,FN811146,set:FN811146,RNA-dependent RNA polymerase,Turkey coronavirus,,205,2008-06
AEK31974,HQ853282,set:HQ853282,spike glycoprotein,Turkey coronavirus,TCoV-O/BR/2008,1023,2008
AEK31975,HQ853283,set:HQ853283,spike glycoprotein,Turkey coronavirus,TCoV-1/BR/2008,1023,2008
AEK31976,HQ853284,set:HQ853284,spike glycoprotein,Turkey coronavirus,TCoV-2/BR/2008,1023,2008
AEK31977,HQ853285,set:HQ853285,spike glycoprotein,Turkey coronavirus,TCoV-3/BR/2008,1023,2008
AEK31978,HQ853286,set:HQ853286,spike glycoprotein,Turkey coronavirus,TCoV-4/BR/2008,1023,2008
AEK31979,HQ853287,set:HQ853287,spike glycoprotein,Turkey coronavirus,TCoV-5/BR/2008,1023,2008
AEK31980,HQ853288,set:HQ853288,spike glycoprotein,Turkey coronavirus,TCoV-6/BR/2008,1023,2008
AEK31981,HQ853289,set:HQ853289,spike glycoprotein,Turkey coronavirus,TCoV-7/BR/2008,1023,2008
AEK31982,HQ853290,set:HQ853290,spike glycoprotein,Turkey coronavirus,TCoV-8/BR/2008,1023,2008
AEK31983,HQ853291,set:HQ853291,spike glycoprotein,Turkey coronavirus,TCoV-9/BR/2008,1023,2008
AEK31984,HQ853292,set:HQ853292,spike glycoprotein,Turkey coronavirus,TCoV-1O/BR/2008,1023,2008
CBJ23821,FN665664,set:FN665664,nucleocapsid protein,Turkey coronavirus,,266,2007-11
CBJ23822,FN665665,set:FN665665,nucleocapsid protein,Turkey coronavirus,,266,2008-06
CBJ23823,FN665666,set:FN665666,nucleocapsid protein,Turkey coronavirus,,266,2008-06
CBA13338,FN434203,set:FN434203,putative spike glycoprotein precursor,Turkey coronavirus,,1198,2008-06
CBB12677,FN545819,set:FN545819,putative spike glycoprotein precursor,Turkey coronavirus,,1198,2008-06
ADK88938,GQ411201,set:GQ411201,putative spike glycoprotein precursor,Turkey coronavirus,FR070341j,1198,2007-11
ADD14080,GU213199,set:GU213199,spike,Turkey coronavirus,p49,1223,1998
ADD14081,GU213200,set:GU213200,spike,Turkey coronavirus,p50,1223,1998
ADD14082,GU213201,set:GU213201,spike,Turkey coronavirus,p52,1223,1998
ADD14083,GU213202,set:GU213202,spike,Turkey coronavirus,p24,1219,1998
ACX29999,GQ469643,set:GQ469643,spike,Turkey coronavirus,,1223,1998
ACX30000,GQ469644,set:GQ469644,spike,Turkey coronavirus,,1223,1998
ACX30001,GQ469645,set:GQ469645,spike,Turkey coronavirus,,1219,1998
ACX30002,GQ469646,set:GQ469646,spike,Turkey coronavirus,,1219,1998
ACW84348,FJ957899,set:FJ957899,spike glycoprotein precursor,Turkey coronavirus,Brazilian,298,
ACW84349,FJ957900,set:FJ957900,spike glycoprotein precursor,Turkey coronavirus,Brazilian,298,
ACV87235,GQ427173,set:GQ427173,ORF 3b,Turkey coronavirus,,64,2003
ACV87236,GQ427173,set:GQ427173,spike,Turkey coronavirus,,1226,2003
ACV87237,GQ427173,set:GQ427173,nucleocapsid,Turkey coronavirus,,409,2003
ACV87238,GQ427173,set:GQ427173,membrane,Turkey coronavirus,,223,2003
ACV87239,GQ427173,set:GQ427173,envelope,Turkey coronavirus,,99,2003
ACV87240,GQ427173,set:GQ427173,ORF 5b,Turkey coronavirus,,82,2003
ACV87241,GQ427173,set:GQ427173,ORF 5a,Turkey coronavirus,,65,2003
ACV87242,GQ427173,set:GQ427173,ORF 3a,Turkey coronavirus,,57,2003
ACV87243,GQ427173,set:GQ427173,polyprotein 1a,Turkey coronavirus,,6596,2003
ACV87244,GQ427173,set:GQ427173,ORF X,Turkey coronavirus,,94,2003
ACV87245,GQ427173,set:GQ427173,polyprotein 1ab,Turkey coronavirus,,3947,2003
ACV87246,GQ427174,set:GQ427174,nucleocapsid,Turkey coronavirus,,409,2001
ACV87247,GQ427174,set:GQ427174,ORF 5b,Turkey coronavirus,,82,2001
ACV87248,GQ427174,set:GQ427174,ORF 5a,Turkey coronavirus,,65,2001
ACV87249,GQ427174,set:GQ427174,ORF X,Turkey coronavirus,,94,2001
ACV87250,GQ427174,set:GQ427174,membrane,Turkey coronavirus,,225,2001
ACV87251,GQ427174,set:GQ427174,envelope,Turkey coronavirus,,99,2001
ACV87252,GQ427174,set:GQ427174,ORF 3b,Turkey coronavirus,,64,2001
ACV87253,GQ427174,set:GQ427174,ORF 3a,Turkey coronavirus,,57,2001
ACV87254,GQ427174,set:GQ427174,spike,Turkey coronavirus,,1225,2001
ACV87255,GQ427174,set:GQ427174,polyprotein 1ab,Turkey coronavirus,,6602,2001
ACV87256,GQ427174,set:GQ427174,polyprotein 1a,Turkey coronavirus,,3949,2001
ACV87257,GQ427175,set:GQ427175,nucleocapsid,Turkey coronavirus,,409,1994
ACV87258,GQ427175,set:GQ427175,ORF 5b,Turkey coronavirus,,82,1994
ACV87259,GQ427175,set:GQ427175,ORF 5a,Turkey coronavirus,,65,1994
ACV87260,GQ427175,set:GQ427175,ORF X,Turkey coronavirus,,94,1994
ACV87261,GQ427175,set:GQ427175,membrane,Turkey coronavirus,,223,1994
ACV87262,GQ427175,set:GQ427175,envelope,Turkey coronavirus,,99,1994
ACV87263,GQ427175,set:GQ427175,ORF 3b,Turkey coronavirus,,64,1994
ACV87264,GQ427175,set:GQ427175,ORF 3a,Turkey coronavirus,,57,1994
ACV87265,GQ427175,set:GQ427175,spike,Turkey coronavirus,,1226,1994
ACV87266,GQ427175,set:GQ427175,polyprotein 1ab,Turkey coronavirus,,6605,1994
ACV87267,GQ427175,set:GQ427175,polyprotein 1a,Turkey coronavirus,,3952,1994
ACV87268,GQ427176,set:GQ427176,nucleocapsid,Turkey coronavirus,,409,1998
ACV87269,GQ427176,set:GQ427176,ORF 5b,Turkey coronavirus,,82,1998
ACV87270,GQ427176,set:GQ427176,ORF 5a,Turkey coronavirus,,65,1998
ACV87271,GQ427176,set:GQ427176,ORF X,Turkey coronavirus,,94,1998
ACV87272,GQ427176,set:GQ427176,membrane,Turkey coronavirus,,223,1998
ACV87273,GQ427176,set:GQ427176,envelope,Turkey coronavirus,,99,1998
ACV87274,GQ427176,set:GQ427176,ORF 3b,Turkey coronavirus,,64,1998
ACV87275,GQ427176,set:GQ427176,ORF 3a,Turkey coronavirus,,57,1998
ACV87276,GQ427176,set:GQ427176,spike,Turkey coronavirus,,1223,1998
ACV87277,GQ427176,set:GQ427176,polyprotein 1ab,Turkey coronavirus,,6602,1998
ACV87278,GQ427176,set:GQ427176,polyprotein 1a,Turkey coronavirus,,3950,1998
ACR82486,FJ957898,set:FJ957898,spike glycoprotein precursor,Turkey coronavirus,Brazilian,298,
ABW75124,EU022525,set:EU022525,polyprotein 1ab,Turkey coronavirus,TCoV-540,6623,
ABW75125,EU022525,set:EU022525,spike,Turkey coronavirus,TCoV-540,1203,
ABW75126,EU022525,set:EU022525,3a,Turkey coronavirus,TCoV-540,57,
ABW75127,EU022525,set:EU022525,3b,Turkey coronavirus,TCoV-540,64,
ABW75128,EU022525,set:EU022525,M,Turkey coronavirus,TCoV-540,222,
ABW75129,EU022525,set:EU022525,4b,Turkey coronavirus,TCoV-540,94,
ABW75130,EU022525,set:EU022525,4c,Turkey coronavirus,TCoV-540,56,
ABW75131,EU022525,set:EU022525,5a,Turkey coronavirus,TCoV-540,65,
ABW75132,EU022525,set:EU022525,5b,Turkey coronavirus,TCoV-540,80,
ABW75133,EU022525,set:EU022525,E,Turkey coronavirus,TCoV-540,99,
ABW75134,EU022525,set:EU022525,N,Turkey coronavirus,TCoV-540,409,
ABW75135,EU022525,set:EU022525,polyprotein 1a,Turkey coronavirus,TCoV-540,3945,
ABW75136,EU022526,set:EU022526,polyprotein 1ab,Turkey coronavirus,TCoV-ATCC,6637,
ABW75137,EU022526,set:EU022526,polyprotein 1a,Turkey coronavirus,TCoV-ATCC,3957,
ABW75138,EU022526,set:EU022526,spike,Turkey coronavirus,TCoV-ATCC,1203,
ABW75139,EU022526,set:EU022526,3a,Turkey coronavirus,TCoV-ATCC,57,
ABW75140,EU022526,set:EU022526,3b,Turkey coronavirus,TCoV-ATCC,64,
ABW75141,EU022526,set:EU022526,E,Turkey coronavirus,TCoV-ATCC,103,
ABW75142,EU022526,set:EU022526,M,Turkey coronavirus,TCoV-ATCC,223,
ABW75143,EU022526,set:EU022526,4b,Turkey coronavirus,TCoV-ATCC,94,
ABW75144,EU022526,set:EU022526,4c,Turkey coronavirus,TCoV-ATCC,52,
ABW75145,EU022526,set:EU022526,5a,Turkey coronavirus,TCoV-ATCC,65,
ABW75146,EU022526,set:EU022526,5b,Turkey coronavirus,TCoV-ATCC,82,
ABW75147,EU022526,set:EU022526,N,Turkey coronavirus,TCoV-ATCC,409,
ACB87503,EU022526,set:EU022526,6b,Turkey coronavirus,TCoV-ATCC,74,
ACB87504,EU022525,set:EU022525,6b,Turkey coronavirus,TCoV-540,73,
ABW81426,EU095850,set:EU095850,ORF1ab polyprotein,Turkey coronavirus,MG10,6603,
ABW81427,EU095850,set:EU095850,spike protein,Turkey coronavirus,MG10,1226,
ABW81428,EU095850,set:EU095850,3a protein,Turkey coronavirus,MG10,57,
ABW81429,EU095850,set:EU095850,3b protein,Turkey coronavirus,MG10,64,
ABW81430,EU095850,set:EU095850,envelope protein,Turkey coronavirus,MG10,99,
ABW81431,EU095850,set:EU095850,membrane protein,Turkey coronavirus,MG10,223,
ABW81432,EU095850,set:EU095850,hypothetical protein,Turkey coronavirus,MG10,94,
ABW81433,EU095850,set:EU095850,5a protein,Turkey coronavirus,MG10,65,
ABW81434,EU095850,set:EU095850,5b protein,Turkey coronavirus,MG10,82,
ABW81435,EU095850,set:EU095850,nucleocapsid protein,Turkey coronavirus,MG10,409,
ABW81436,EU095850,set:EU095850,ORF1a,Turkey coronavirus,MG10,3951,
ACC60257,EU570222,set:EU570222,5a,Turkey coronavirus,,19,
ACC60258,EU570223,set:EU570223,5a,Turkey coronavirus,,55,
ACC60259,EU570224,set:EU570224,5a,Turkey coronavirus,,65,
ACC60260,EU570225,set:EU570225,5a,Turkey coronavirus,,65,
ACC60261,EU570226,set:EU570226,5a,Turkey coronavirus,,65,
ACC60262,EU570227,set:EU570227,5b,Turkey coronavirus,,82,
ACC60263,EU570228,set:EU570228,5b,Turkey coronavirus,,80,
ACC60264,EU570229,set:EU570229,5b,Turkey coronavirus,,80,
ACC60265,EU570230,set:EU570230,5b,Turkey coronavirus,,80,
ACC60266,EU570231,set:EU570231,5b,Turkey coronavirus,,80,
ACC60267,EU570232,set:EU570232,3a,Turkey coronavirus,,61,
ACC60268,EU570233,set:EU570233,3b,Turkey coronavirus,,64,
ACB98725,EU622496,set:EU622496,3b protein,Turkey coronavirus,,64,
ACB98726,EU622497,set:EU622497,envelope protein,Turkey coronavirus,,65,
Q9WQ76,,,Replicase polyprotein 1ab,Turkey coronavirus (strain Minnesota),,306,
AAQ20921,AY342356,set:AY342356,spike glycoprotein precursor,Turkey coronavirus,,1205,
AAQ20922,AY342357,set:AY342357,spike glycoprotein precursor,Turkey coronavirus,,1208,
Q9PZ49,,,Nucleoprotein,Turkey coronavirus (strain NC95),,409,
Q9PZ50,,,Nucleoprotein,Turkey coronavirus (strain Minnesota),,409,
Q9PZ51,,,Nucleoprotein,Turkey coronavirus (strain Indiana),,409,
CAC33179,AJ310640,set:AJ310640,spike glycoprotein,Turkey coronavirus,,28,
CAC33180,AJ310640,set:AJ310640,3a protein,Turkey coronavirus,,57,
CAC33181,AJ310640,set:AJ310640,3a protein,Turkey coronavirus,,64,
CAC33182,AJ310640,set:AJ310640,E protein,Turkey coronavirus,,95,
CAC33183,AJ310640,set:AJ310640,M protein,Turkey coronavirus,,44,
CAC33184,AJ310641,set:AJ310641,5a protein,Turkey coronavirus,,65,
CAC33185,AJ310641,set:AJ310641,5a protein,Turkey coronavirus,,82,
CAC33186,AJ310641,set:AJ310641,N protein,Turkey coronavirus,,41,
AAF23871,AF111995,set:AF111995,nucleocapsid protein,Turkey coronavirus,,409,
AAF23872,AF111996,set:AF111996,nucleocapsid protein,Turkey coronavirus,,409,
AAF23873,AF111997,set:AF111997,nucleocapsid protein,Turkey coronavirus,,409,
AAD39039,AF072911,set:AF072911,matrix protein,Turkey coronavirus,,70,
AAD39040,AF072911,set:AF072911,nucleocapsid protein,Turkey coronavirus,,55,
AAD39041,AF072912,set:AF072912,matrix protein,Turkey coronavirus,,70,
AAD39042,AF072912,set:AF072912,nucleocapsid protein,Turkey coronavirus,,55,
AAD39043,AF072913,set:AF072913,matrix protein,Turkey coronavirus,,70,
AAD39044,AF072913,set:AF072913,nucleocapsid protein,Turkey coronavirus,,55,
AAD32995,AF124991,set:AF124991,RNA-directed RNA polymerase,Turkey coronavirus,,306,
P26626,,,Protein I,Turkey coronavirus,,207,
P26021,,,Membrane protein,Turkey coronavirus,,230,
