Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Species,Isolate,Length,Collection_Date
BAV31355,GenBank,LC119077,set:LC119077,non-structural protein 7b,Ferret coronavirus,Alphacoronavirus neovisontis,,204,2013-05-22
AKG92638,GenBank,KM347965,set:KM347965,ORF1ab,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,6622,2010
AKG92639,GenBank,KM347965,set:KM347965,ORF1a,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,3958,2010
AKG92640,GenBank,KM347965,set:KM347965,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,1438,2010
AKG92641,GenBank,KM347965,set:KM347965,non-structural protein 3c,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,247,2010
AKG92642,GenBank,KM347965,set:KM347965,envelope protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,82,2010
AKG92643,GenBank,KM347965,set:KM347965,membrane protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,265,2010
AKG92644,GenBank,KM347965,set:KM347965,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,375,2010
AKG92645,GenBank,KM347965,set:KM347965,hypothetical protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,90,2010
AKG92646,GenBank,KM347965,set:KM347965,nsp 7b protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,202,2010
ALT04752,GenBank,KR758767,set:KR758767,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2014
ALT04753,GenBank,KR758768,set:KR758768,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2014
BAS25710,GenBank,LC029419,set:LC029419,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,1435,2012
BAS25711,GenBank,LC029419,set:LC029419,3c-like protein,Ferret coronavirus,Alphacoronavirus neovisontis,,247,2012
BAS25712,GenBank,LC029419,set:LC029419,envelope protein,Ferret coronavirus,Alphacoronavirus neovisontis,,82,2012
BAS25713,GenBank,LC029419,set:LC029419,membrane protein,Ferret coronavirus,Alphacoronavirus neovisontis,,265,2012
BAS25714,GenBank,LC029419,set:LC029419,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,,375,2012
BAS25715,GenBank,LC029419,set:LC029419,3x-like protein,Ferret coronavirus,Alphacoronavirus neovisontis,,74,2012
BAS25716,GenBank,LC029419,set:LC029419,7b,Ferret coronavirus,Alphacoronavirus neovisontis,,202,2012
BAS25717,GenBank,LC029420,set:LC029420,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAS25718,GenBank,LC029421,set:LC029421,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2014
BAS25719,GenBank,LC029422,set:LC029422,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,,375,2014
BAS25720,GenBank,LC029423,set:LC029423,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,,374,2013
AKG62088,GenBank,KP288502,set:KP288502,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,CU001,236,2014-02-26
AKG62089,GenBank,KP288503,set:KP288503,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,CU001,236,2014-02-26
BAO00867,GenBank,AB812840,set:AB812840,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAO00868,GenBank,AB812841,set:AB812841,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2012
BAO00869,GenBank,AB812842,set:AB812842,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAO00870,GenBank,AB812843,set:AB812843,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2012
BAO00871,GenBank,AB812844,set:AB812844,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAO00872,GenBank,AB812845,set:AB812845,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2012
BAO00873,GenBank,AB812846,set:AB812846,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAO00874,GenBank,AB812847,set:AB812847,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2012
BAO00875,GenBank,AB812848,set:AB812848,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAO00876,GenBank,AB812849,set:AB812849,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAO00877,GenBank,AB812850,set:AB812850,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAO00878,GenBank,AB812851,set:AB812851,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2012
BAO00879,GenBank,AB812852,set:AB812852,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2013
BAO00880,GenBank,AB812853,set:AB812853,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,,131,2012
BAO00881,GenBank,AB812854,set:AB812854,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00882,GenBank,AB812855,set:AB812855,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00883,GenBank,AB812856,set:AB812856,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2013
BAO00884,GenBank,AB812857,set:AB812857,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2013
BAO00885,GenBank,AB812858,set:AB812858,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2013
BAO00886,GenBank,AB812859,set:AB812859,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00887,GenBank,AB812860,set:AB812860,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00888,GenBank,AB812861,set:AB812861,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00889,GenBank,AB812862,set:AB812862,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00890,GenBank,AB812863,set:AB812863,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00891,GenBank,AB812864,set:AB812864,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00892,GenBank,AB812865,set:AB812865,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00893,GenBank,AB812866,set:AB812866,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2013
BAO00894,GenBank,AB812867,set:AB812867,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2013
BAO00895,GenBank,AB812868,set:AB812868,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00896,GenBank,AB812869,set:AB812869,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00897,GenBank,AB812870,set:AB812870,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2013
BAO00898,GenBank,AB812871,set:AB812871,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00899,GenBank,AB812872,set:AB812872,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2013
BAO00900,GenBank,AB812873,set:AB812873,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00901,GenBank,AB812874,set:AB812874,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2013
BAO00902,GenBank,AB812875,set:AB812875,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
BAO00903,GenBank,AB812876,set:AB812876,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,32,2012
AFY22734,GenBank,JX878434,set:JX878434,matrix protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV551s/12SLO,107,2012
AFY22735,GenBank,JX878435,set:JX878435,matrix protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV551t/12SLO,107,2012
AFY22736,GenBank,JX878436,set:JX878436,matrix protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV526/12SLO,107,2012
AFY22737,GenBank,JX878437,set:JX878437,matrix protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV705/12SLO,107,2012
AFY22738,GenBank,JX878438,set:JX878438,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV551s/12SLO,104,2012
AFY22739,GenBank,JX878439,set:JX878439,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV551t/12SLO,104,2012
AFY22740,GenBank,JX878440,set:JX878440,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV526/12SLO,104,2012
AFY22741,GenBank,JX878441,set:JX878441,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV705/12SLO,104,2012
AFY22742,GenBank,JX878442,set:JX878442,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV526/12SLO,178,2012
AFY22743,GenBank,JX878443,set:JX878443,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV551s/12SLO,178,2012
AFY22744,GenBank,JX878444,set:JX878444,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV551t/12SLO,178,2012
AFY22745,GenBank,JX878445,set:JX878445,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV600/12SLO,177,2012
AFY22746,GenBank,JX878446,set:JX878446,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRECV705/12SLO,178,2012
ADD49349,GenBank,GU338456,set:GU338456,polymerase 1b,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,104,2007
ADD49350,GenBank,GU338456,set:GU338456,spike glycoprotein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,1457,2007
ADD49351,GenBank,GU338456,set:GU338456,envelope glycoprotein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,82,2007
ADD49352,GenBank,GU338456,set:GU338456,membrane glycoprotein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,263,2007
ADD49353,GenBank,GU338456,set:GU338456,nucleocapsid,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,374,2007
ADD49354,GenBank,GU338456,set:GU338456,truncated hypothetical protein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,14,2007
ADD49355,GenBank,GU338456,set:GU338456,nsp 7b glycoprotein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,204,2007
ADD49356,GenBank,GU338456,set:GU338456,3c-like non-structural protein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,83,2007
ADD49357,GenBank,GU338457,set:GU338457,polymerase 1b,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,104,2001
ADD49358,GenBank,GU338457,set:GU338457,spike glycoprotein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,1449,2001
ADD49359,GenBank,GU338457,set:GU338457,3c-like non-structural protein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,247,2001
ADD49360,GenBank,GU338457,set:GU338457,envelope glycoprotein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,82,2001
ADD49361,GenBank,GU338457,set:GU338457,membrane glycoprotein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,263,2001
ADD49362,GenBank,GU338457,set:GU338457,nucleocapsid,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,374,2001
ADD49363,GenBank,GU338457,set:GU338457,hypothetical protein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,74,2001
ADD49364,GenBank,GU338457,set:GU338457,nsp 7b glycoprotein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,204,2001
