Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein
XHH54358,Bovine coronavirus,GenBank,,PQ368518,NN240101,Betacoronavirus 1,448,nucleocapsid protein
XHH54359,Bovine coronavirus,GenBank,,PQ368519,NN240302,Betacoronavirus 1,448,nucleocapsid protein
XHH54360,Bovine coronavirus,GenBank,,PQ368520,NN240304,Betacoronavirus 1,448,nucleocapsid protein
XHH54361,Bovine coronavirus,GenBank,,PQ368521,NN240305,Betacoronavirus 1,448,nucleocapsid protein
XQJ32462,Bovine coronavirus,GenBank,,PV296235,BCoV-B0031W2,Betacoronavirus 1,424,hemagglutinin-esterase
XQJ32463,Bovine coronavirus,GenBank,,PV296236,BCoV-B0038W2,Betacoronavirus 1,424,hemagglutinin-esterase
XQJ32464,Bovine coronavirus,GenBank,,PV345613,BCoV-B0031W2,Betacoronavirus 1,1363,spike protein
XQJ32465,Bovine coronavirus,GenBank,,PV345614,BCoV-B0038W2,Betacoronavirus 1,1363,spike protein
XQJ32710,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,7094,ORF1ab protein
XQJ32711,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,4383,ORF1a protein
XQJ32712,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,278,NS2 protein
XQJ32713,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,420,HE protein
XQJ32714,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,1363,S protein
XQJ32715,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,29,N4.9 protein
XQJ32716,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,109,NS12.7 protein
XQJ32717,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,84,E protein
XQJ32718,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,230,M protein
XQJ32719,Bovine coronavirus,GenBank,,PV335251,NX21,Betacoronavirus 1,448,N protein
XDO56101,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,7094,ORF1ab polyprotein
XDO56102,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,278,32 kDa non-structural protein
XDO56103,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,424,hemmaglutinin-esterase
XDO56104,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,1363,spike protein
XDO56105,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,43,4.9 kDa non-structural protein
XDO56106,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,45,4.8 kDa non-structural protein
XDO56107,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,109,12.7 kDa non-structural protein
XDO56108,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,84,small envelope protein
XDO56109,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,230,matrix protein
XDO56110,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,445,nucleocapsid protein
XDO56111,Bovine coronavirus,GenBank,,PQ118397,BCoV-13/Iowa/2024,Betacoronavirus 1,204,internal protein
XQE69133,Bovine coronavirus,GenBank,,PV274533,SS2,Betacoronavirus 1,74,nucleocapsid protein
XQE69134,Bovine coronavirus,GenBank,,PV274534,SS4,Betacoronavirus 1,74,nucleocapsid protein
XQE69135,Bovine coronavirus,GenBank,,PV274535,SS7,Betacoronavirus 1,74,nucleocapsid protein
XQE69136,Bovine coronavirus,GenBank,,PV274536,SS10,Betacoronavirus 1,74,nucleocapsid protein
XPR33197,Bovine coronavirus,GenBank,,PV259899,JSSH240914,Betacoronavirus 1,1363,spike protein
XPR33198,Bovine coronavirus,GenBank,,PV259899,JSSH240914,Betacoronavirus 1,109,12.7 kDa non structural protein
XPR33199,Bovine coronavirus,GenBank,,PV259900,JSSH240916,Betacoronavirus 1,1363,spike protein
XPR33200,Bovine coronavirus,GenBank,,PV259900,JSSH240916,Betacoronavirus 1,109,12.7 kDa non structural protein
XPR33201,Bovine coronavirus,GenBank,,PV259901,JSSH240936,Betacoronavirus 1,1363,spike protein
XPR33202,Bovine coronavirus,GenBank,,PV259901,JSSH240936,Betacoronavirus 1,109,12.7 kDa non structural protein
XPL73110,Bovine coronavirus,GenBank,,PV219278,3_Laguna,Betacoronavirus 1,188,nucleoprotein
XPL73111,Bovine coronavirus,GenBank,,PV219279,4_Laguna,Betacoronavirus 1,130,nucleoprotein
XPL73112,Bovine coronavirus,GenBank,,PV219280,13_Laguna,Betacoronavirus 1,188,nucleoprotein
XPL73113,Bovine coronavirus,GenBank,,PV219281,15_Laguna,Betacoronavirus 1,184,nucleoprotein
XPL73114,Bovine coronavirus,GenBank,,PV219282,17_Laguna,Betacoronavirus 1,189,nucleoprotein
XPL73115,Bovine coronavirus,GenBank,,PV219283,46_Laguna,Betacoronavirus 1,145,nucleoprotein
XPL73116,Bovine coronavirus,GenBank,,PV219284,53_Laguna,Betacoronavirus 1,189,nucleoprotein
XPL73117,Bovine coronavirus,GenBank,,PV219285,54_Laguna,Betacoronavirus 1,189,nucleoprotein
XPL73118,Bovine coronavirus,GenBank,,PV219286,66_Laguna,Betacoronavirus 1,59,nucleoprotein
XPL73119,Bovine coronavirus,GenBank,,PV219287,88_Laguna,Betacoronavirus 1,157,nucleoprotein
WWB00013,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,278,NS2
WWB00014,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,424,HE
WWB00015,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,1363,S
WWB00016,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,29,NS4.9
WWB00017,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,109,NS12.7
WWB00018,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,84,E
WWB00019,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,230,M
WWB00020,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,448,N
WWB00021,Bovine coronavirus,GenBank,,PP235951,BCoV/JLNA01/2023,Betacoronavirus 1,4383,ORF1a protein
WWB01616,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,7094,orf1ab protein
WWB01617,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,4383,orf1a protein
WWB01618,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,278,NS2
WWB01619,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,424,HE
WWB01620,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,1363,S
WWB01621,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,109,NS12.7
WWB01622,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,84,E
WWB01623,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,230,M
WWB01624,Bovine coronavirus,GenBank,,PP273504,BCoV-GX-NN190313,Betacoronavirus 1,448,N
WZD86462,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,7093,orf1ab protein
WZD86463,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,4382,orf1a protein
WZD86464,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,278,NS2
WZD86465,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,424,HE
WZD86466,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,1363,S
WZD86467,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,109,NS12.7
WZD86468,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,84,E
WZD86469,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,230,M
WZD86470,Bovine coronavirus,GenBank,,PP599027,GX-NN221214,Betacoronavirus 1,448,N
WZD86471,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,7094,orf1ab protein
WZD86472,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,4383,orf1a protein
WZD86473,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,278,NS2
WZD86474,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,424,HE
WZD86475,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,1363,S
WZD86476,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,109,NS12.7
WZD86477,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,84,E
WZD86478,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,230,M
WZD86479,Bovine coronavirus,GenBank,,PP599028,GX-NN230328,Betacoronavirus 1,448,N
WEQ50572,Bovine coronavirus,GenBank,,MW645079,BCoV/Turkey/Konya/Dollvet/2016,Betacoronavirus 1,243,nucleocapsid protein
WEQ50573,Bovine coronavirus,GenBank,,MW645080,BCoV/Turkey/Karapinar/Dollvet/2016,Betacoronavirus 1,241,nucleocapsid protein
XOD40871,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,4382,ORF1a
XOD40872,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,278,NS2
XOD40873,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,424,hemagglutinin-esterase
XOD40874,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,1363,spike protein
XOD40875,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,109,12.7 kDa non-structural protein
XOD40876,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,84,envelope protein
XOD40877,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,230,membrane protein
XOD40878,Bovine coronavirus,GenBank,,PV061390,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,448,nucleocapsid protein
XOD40879,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,4383,ORF1a
XOD40880,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,278,NS2
XOD40881,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,424,hemagglutinin-esterase
XOD40882,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,1362,spike protein
XOD40883,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,109,12.7 kDa non-structural protein
XOD40884,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,84,envelope protein
XOD40885,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,230,membrane protein
XOD40886,Bovine coronavirus,GenBank,,PV061391,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,448,nucleocapsid protein
XNZ82897,Bovine coronavirus,GenBank,,PV053170,BRA/PR-45A,Betacoronavirus 1,149,nucleocapsid protein
XNZ82898,Bovine coronavirus,GenBank,,PV053171,BRA/PR-8F,Betacoronavirus 1,113,nucleocapsid protein
XNZ82899,Bovine coronavirus,GenBank,,PV053172,BRA/PR-35N,Betacoronavirus 1,149,nucleocapsid protein
XNZ82900,Bovine coronavirus,GenBank,,PV053173,BRA/PR-45A,Betacoronavirus 1,738,spike protein
XNZ82901,Bovine coronavirus,GenBank,,PV053174,BRA/PR-8F,Betacoronavirus 1,536,spike protein
XNZ82902,Bovine coronavirus,GenBank,,PV053175,BRA/PR-35N,Betacoronavirus 1,887,spike protein
XDF38048,Bovine coronavirus,GenBank,,PQ058146,NN240301,Betacoronavirus 1,448,nucleocapsid protein
XKI32087,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,4383,ORF1a polyprotein
XKI32088,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,7094,ORF1ab polyprotein
XKI32089,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,424,hemagglutinin-esterase
XKI32090,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,1361,spike protein
XKI32091,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,84,envelope protein
XKI32092,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,230,membrane protein
XKI32093,Bovine coronavirus,GenBank,,PQ588962,SX-2403,Betacoronavirus 1,448,nucleocapsid protein
XGI00678,Bovine coronavirus,GenBank,,PQ249423,ETB_14,Betacoronavirus 1,153,spike glycoprotein
XGI00679,Bovine coronavirus,GenBank,,PQ268636,ETB_47,Betacoronavirus 1,400,hemagglutinin-esterase
XGI00680,Bovine coronavirus,GenBank,,PQ268637,ETB_14,Betacoronavirus 1,404,hemagglutinin-esterase
XGI00681,Bovine coronavirus,GenBank,,PQ268638,ETB_94,Betacoronavirus 1,420,hemagglutinin-esterase
XHB18310,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,7094,orf1ab protein
XHB18311,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,4383,orf1a protein
XHB18312,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,278,32 kDa protein product
XHB18313,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,424,hemagglutinin esterase
XHB18314,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,1363,spike protein
XHB18315,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,109,12.7 kDa non structural protein
XHB18316,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,84,envelope protein
XHB18317,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,230,membrane protein
XHB18318,Bovine coronavirus,GenBank,,PQ313104,NXWZ2310,Betacoronavirus 1,445,nucleocapsid protein
XFF06471,Bovine coronavirus,GenBank,,PQ243293,SDWF1-2403,Betacoronavirus 1,1363,spike protein
XFF06472,Bovine coronavirus,GenBank,,PQ243294,SDJN1-2427,Betacoronavirus 1,1363,spike protein
XFF06473,Bovine coronavirus,GenBank,,PQ243295,SDJN2-2402,Betacoronavirus 1,1363,spike protein
WWE42887,Bovine coronavirus,GenBank,,PP357888,BCoV/Cow/ETH/2023/25,Betacoronavirus 1,141,spike protein
WWE42888,Bovine coronavirus,GenBank,,PP357889,BCoV/Cow/ETH/2023/26,Betacoronavirus 1,153,spike protein
WWE42889,Bovine coronavirus,GenBank,,PP357890,BCoV/Cow/ETH/2023/40,Betacoronavirus 1,152,spike protein
WWE42890,Bovine coronavirus,GenBank,,PP357891,BCoV/Cow/ETH/2023/42,Betacoronavirus 1,154,spike protein
XDO56488,Bovine coronavirus,GenBank,,PQ130135,SH2_Assiut_2024,Betacoronavirus 1,231,spike protein
XDO56581,Bovine coronavirus,GenBank,,PQ110069,SDDY2310,Betacoronavirus 1,1363,spike protein
BFO23344,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,4382,polyprotein 1a
BFO23345,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,2642,polyprotein 1b
BFO23346,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,278,32.3kDa protein
BFO23347,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,424,hemagglutinin-esterase glycoprotein
BFO23348,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,1363,spike glycoprotein
BFO23349,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,109,12.8kDa protein
BFO23350,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,84,small envelope protein
BFO23351,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,230,membrane protein
BFO23352,Bovine coronavirus,GenBank,,LC830476,BCoV/bovine/Chiba/25-1/2022,Betacoronavirus 1,448,nucleocapsid protein
BFO23353,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,4382,polyprotein 1a
BFO23354,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,2642,polyprotein 1b
BFO23355,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,278,32.3kDa protein
BFO23356,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,424,hemagglutinin-esterase glycoprotein
BFO23357,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,1363,spike glycoprotein
BFO23358,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,109,12.8kDa protein
BFO23359,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,84,small envelope protein
BFO23360,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,230,membrane protein
BFO23361,Bovine coronavirus,GenBank,,LC830477,BCoV/bovine/Chiba/27-1/2022,Betacoronavirus 1,448,nucleocapsid protein
XCG98682,Bovine coronavirus,GenBank,,PP948673,BCoV/SH1/Assiut/2024,Betacoronavirus 1,329,spike glycoprotein
BFO12818,Bovine coronavirus,GenBank,,LC829603,BCoV/bovine/Chiba/6/2020,Betacoronavirus 1,137,spike glycoprotein
BFO12819,Bovine coronavirus,GenBank,,LC829604,BCoV/bovine/Chiba/7-1/2021,Betacoronavirus 1,137,spike glycoprotein
BFO12820,Bovine coronavirus,GenBank,,LC829605,BCoV/bovine/Chiba/7-2/2021,Betacoronavirus 1,137,spike glycoprotein
BFO12821,Bovine coronavirus,GenBank,,LC829606,BCoV/bovine/Chiba/7-3/2021,Betacoronavirus 1,137,spike glycoprotein
BFO12822,Bovine coronavirus,GenBank,,LC829607,BCoV/bovine/Chiba/7-4/2021,Betacoronavirus 1,137,spike glycoprotein
BFO12823,Bovine coronavirus,GenBank,,LC829608,BCoV/bovine/Chiba/7-5/2021,Betacoronavirus 1,137,spike glycoprotein
BFO12824,Bovine coronavirus,GenBank,,LC829609,BCoV/bovine/Chiba/17-1/2021,Betacoronavirus 1,137,spike glycoprotein
BFO12825,Bovine coronavirus,GenBank,,LC829610,BCoV/bovine/Chiba/17-2/2021,Betacoronavirus 1,137,spike glycoprotein
BFO12826,Bovine coronavirus,GenBank,,LC829611,BCoV/bovine/Chiba/17-3/2021,Betacoronavirus 1,137,spike glycoprotein
BFO12827,Bovine coronavirus,GenBank,,LC829612,BCoV/bovine/Chiba/17-7/2021,Betacoronavirus 1,137,spike glycoprotein
