Accession,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
QOE77289,MT820627,,envelope protein,Lucheng Rn rat coronavirus,Lijiang-71,78,2014
QOE77290,MT820627,,membrane glycoprotein,Lucheng Rn rat coronavirus,Lijiang-71,249,2014
QOE77291,MT820627,,ORF7 protein,Lucheng Rn rat coronavirus,Lijiang-71,165,2014
QOE77292,MT820627,,nucleocapsid phosphoprotein,Lucheng Rn rat coronavirus,Lijiang-71,400,2014
QOE77293,MT820627,,ORF9 protein,Lucheng Rn rat coronavirus,Lijiang-71,105,2014
QOE77340,MW011442,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-10,106,2014
QOE77341,MW011443,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-125,106,2015
QOE77342,MW011444,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-132,106,2015
QOE77343,MW011445,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-136,106,2015
QOE77344,MW011446,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-27,106,2014
QOE77345,MW011447,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-36,106,2014
QOE77346,MW011448,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-52,106,2014
QOE77347,MW011449,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-64,106,2014
QOE77348,MW011450,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-73,106,2014
QOE77349,MW011451,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-75,106,2014
QOE77350,MW011452,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-81,106,2015
QOE77351,MW011453,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-96,106,2014
QOE77352,MW011454,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Lijiang-97,106,2014
QOE77353,MW011455,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,Ruian-42,106,2014
QDL88263,MK894847,set:MK894847,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,SJJ01,914,2013
QDL88264,MK894848,set:MK894848,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,SJJ126,914,2015
QDL88265,MK894849,set:MK894849,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,SJJ55,928,2013
QDL88266,MK894850,set:MK894850,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,SJJ6867,928,2014
APU57645,KF294380,set:KF294380,spike glycoprotein,Lucheng Rn rat coronavirus,Lucheng-19,1134,2013
APU57646,KF294380,set:KF294380,envelope protein,Lucheng Rn rat coronavirus,Lucheng-19,78,2013
APU57647,KF294380,set:KF294380,membrane protein,Lucheng Rn rat coronavirus,Lucheng-19,248,2013
APU57648,KF294380,set:KF294380,nucleocapsid protein,Lucheng Rn rat coronavirus,Lucheng-19,391,2013
AID16671,KF294379,set:KF294379,orf1ab polyprotein,Lucheng Rn rat coronavirus,Longquan-311,2856,2011
AID16672,KF294380,set:KF294380,orf1ab polyprotein,Lucheng Rn rat coronavirus,Lucheng-19,6749,2013
