Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein
XTP86169,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,101,ORF7a
XTP86170,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,213,ORF7b
XTP86171,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,3940,ORF1a
XTP86172,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,6607,ORF1ab
XTP86173,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,1454,spike
XTP86174,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,78,ORF3a
XTP86175,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,71,ORF3b
XTP86176,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,250,ORF3c
XTP86177,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,82,envelope
XTP86178,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,289,matrix
XTP86179,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,381,nucleocapsid
XTP86180,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,101,ORF7a
XTP86181,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,213,ORF7b
XRL83727,Canine coronavirus,GenBank,,PV454546,Mosul/2025/1,Alphacoronavirus 1,158,spike protein
XRL83728,Canine coronavirus,GenBank,,PV454547,Mosul/2025/2,Alphacoronavirus 1,166,spike protein
XRL83729,Canine coronavirus,GenBank,,PV454548,Mosul/2025/3,Alphacoronavirus 1,169,spike protein
XRL83730,Canine coronavirus,GenBank,,PV454549,Mosul/2025/4,Alphacoronavirus 1,178,spike protein
XRL83731,Canine coronavirus,GenBank,,PV454550,Mosul/2025/5,Alphacoronavirus 1,137,spike protein
XQZ12418,Canine coronavirus,GenBank,,PV460604,CC,Alphacoronavirus 1,382,nucleocapsid protein
XQJ32591,Canine coronavirus,GenBank,,PV296105,CC,Alphacoronavirus 1,2611,ORF1ab polyprotein
XQE70512,Canine coronavirus,GenBank,,PV246284,CCoV-6-20,Alphacoronavirus 1,1453,spike protein
XQE70513,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,1453,spike protein
XQE70514,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,78,non-structural protein 3a
XQE70515,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,71,non-structural protein 3b
XQE70516,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,244,non-structural protein 3c
XQE70517,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,82,envelope protein
XQE70518,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,290,membrane protein
XQE70519,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,382,nucleocapsid protein
XQE70520,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,101,non-structural protein 7a
XQE70521,Canine coronavirus,GenBank,,PV246298,CCoV-4-4,Alphacoronavirus 1,213,non-structural protein 7b
XQE70522,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,1453,spike protein
XQE70523,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,78,non-structural protein 3a
XQE70524,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,71,non-structural protein 3b
XQE70525,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,244,non-structural protein 3c
XQE70526,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,82,envelope protein
XQE70527,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,290,membrane protein
XQE70528,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,382,nucleocapsid protein
XQE70529,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,101,non-structural protein 7a
XQE70530,Canine coronavirus,GenBank,,PV246299,CCoV-6-39,Alphacoronavirus 1,213,non-structural protein 7b
XQE70531,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,1453,spike protein
XQE70532,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,78,non-structural protein 3a
XQE70533,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,71,non-structural protein 3b
XQE70534,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,244,non-structural protein 3c
XQE70535,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,82,envelope protein
XQE70536,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,290,membrane protein
XQE70537,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,382,nucleocapsid protein
XQE70538,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,101,non-structural protein 7a
XQE70539,Canine coronavirus,GenBank,,PV246300,CCoV-8-7,Alphacoronavirus 1,213,non-structural protein 7b
XQE70540,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,1453,spike protein
XQE70541,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,78,non-structural protein 3a
XQE70542,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,71,non-structural protein 3b
XQE70543,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,244,non-structural protein 3c
XQE70544,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,82,envelope protein
XQE70545,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,290,membrane protein
XQE70546,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,382,nucleocapsid protein
XQE70547,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,101,non-structural protein 7a
XQE70548,Canine coronavirus,GenBank,,PV246301,CCoV-8-23,Alphacoronavirus 1,213,non-structural protein 7b
XQE70549,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,1453,spike protein
XQE70550,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,78,non-structural protein 3a
XQE70551,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,71,non-structural protein 3b
XQE70552,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,244,non-structural protein 3c
XQE70553,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,82,envelope protein
XQE70554,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,290,membrane protein
XQE70555,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,382,nucleocapsid protein
XQE70556,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,101,non-structural protein 7a
XQE70557,Canine coronavirus,GenBank,,PV246302,CCoV-1-8,Alphacoronavirus 1,211,non-structural protein 7b
XQE70558,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,1453,spike protein
XQE70559,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,78,non-structural protein 3a
XQE70560,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,71,non-structural protein 3b
XQE70561,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,244,non-structural protein 3c
XQE70562,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,82,envelope protein
XQE70563,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,290,membrane protein
XQE70564,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,382,nucleocapsid protein
XQE70565,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,101,non-structural protein 7a
XQE70566,Canine coronavirus,GenBank,,PV246303,CCoV-1-13,Alphacoronavirus 1,213,non-structural protein 7b
XQE70567,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,1453,spike protein
XQE70568,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,78,non-structural protein 3a
XQE70569,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,71,non-structural protein 3b
XQE70570,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,244,non-structural protein 3c
XQE70571,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,82,envelope protein
XQE70572,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,290,membrane protein
XQE70573,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,382,nucleocapsid protein
XQE70574,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,101,non-structural protein 7a
XQE70575,Canine coronavirus,GenBank,,PV246304,CCoV-1-15,Alphacoronavirus 1,213,non-structural protein 7b
XQE70576,Canine coronavirus,GenBank,,PV246308,CCoV-6-20,Alphacoronavirus 1,101,non-structural protein 7a
XQE70577,Canine coronavirus,GenBank,,PV246308,CCoV-6-20,Alphacoronavirus 1,213,non-structural protein 7b
XQE70578,Canine coronavirus,GenBank,,PV246311,CCoV-4-20,Alphacoronavirus 1,1453,spike protein
XQE70579,Canine coronavirus,GenBank,,PV246311,CCoV-4-20,Alphacoronavirus 1,78,non-structural protein 3a
XQE70580,Canine coronavirus,GenBank,,PV246311,CCoV-4-20,Alphacoronavirus 1,71,non-structural protein 3b
XQE70581,Canine coronavirus,GenBank,,PV246311,CCoV-4-20,Alphacoronavirus 1,244,non-structural protein 3c
XQE70582,Canine coronavirus,GenBank,,PV246312,CCoV-8-17,Alphacoronavirus 1,1453,spike protein
XQE70583,Canine coronavirus,GenBank,,PV246312,CCoV-8-17,Alphacoronavirus 1,78,non-structural protein 3a
XQE70584,Canine coronavirus,GenBank,,PV246312,CCoV-8-17,Alphacoronavirus 1,71,non-structural protein 3b
XQE70585,Canine coronavirus,GenBank,,PV246312,CCoV-8-17,Alphacoronavirus 1,244,non-structural protein 3c
XQE70586,Canine coronavirus,GenBank,,PV246322,CCoV-8-13,Alphacoronavirus 1,207,non-structural protein 3
XQE70587,Canine coronavirus,GenBank,,PV246322,CCoV-8-13,Alphacoronavirus 1,78,non-structural protein 3a
XQE70588,Canine coronavirus,GenBank,,PV246322,CCoV-8-13,Alphacoronavirus 1,71,non-structural protein 3b
XQE70589,Canine coronavirus,GenBank,,PV246322,CCoV-8-13,Alphacoronavirus 1,251,non-structural protein 3c
XQE70590,Canine coronavirus,GenBank,,PV246328,CCoV-4-20,Alphacoronavirus 1,382,nucleocapsid protein
XQE70591,Canine coronavirus,GenBank,,PV246328,CCoV-4-20,Alphacoronavirus 1,101,non-structural protein 7a
XQE70592,Canine coronavirus,GenBank,,PV246328,CCoV-4-20,Alphacoronavirus 1,213,non-structural protein 7b
XEQ83921,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,4017,1a
XEQ83922,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,6684,1ab
XEQ83923,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,1452,S spike protein
XEQ83924,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,78,NS3a
XEQ83925,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,67,NS3b
XEQ83926,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,251,NS3c
XEQ83927,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,82,E envelope protein
XEQ83928,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,290,M membrane protein
XEQ83929,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,381,N nucleocapsid protein
XEQ83930,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,101,NS7a
XEQ83931,Canine coronavirus,GenBank,,PQ177896,fox13CCoV,Alphacoronavirus 1,92,NS7b
XEQ83932,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,4016,1a
XEQ83933,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,6683,1ab
XEQ83934,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,1453,S spike protein
XEQ83935,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,78,NS3a
XEQ83936,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,71,NS3b
XEQ83937,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,251,NS3c
XEQ83938,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,82,E envelope protein
XEQ83939,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,289,M membrane protein
XEQ83940,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,381,N nucleocapsid protein
XEQ83941,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,101,NS7a
XEQ83942,Canine coronavirus,GenBank,,PQ177897,fox113CCoV,Alphacoronavirus 1,60,NS7b
XNJ64964,Canine coronavirus,GenBank,,PQ868897,CC,Alphacoronavirus 1,4015,ORF1a polyprotein
XNJ64965,Canine coronavirus,GenBank,,PQ868897,CC,Alphacoronavirus 1,4016,ORF1ab polyprotein
XLM39110,Canine coronavirus,GenBank,,PQ731884,64C,Alphacoronavirus 1,85,ORF1ab polyprotein
XAP72407,Canine coronavirus,GenBank,,PP780836,CCoV-IIa/raccoon dog/China/LN-1/23,Alphacoronavirus 1,118,spike protein
WYM66977,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,6682,ORF1ab polyprotein
WYM66978,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,1453,spike protein
WYM66979,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,78,ORF3a protein
WYM66980,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,71,ORF3b protein
WYM66981,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,244,ORF3c protein
WYM66982,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,82,envelope protein
WYM66983,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,262,membrane protein
WYM66984,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,382,nucleocapsid protein
WYM66985,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,101,ORF7a protein
WYM66986,Canine coronavirus,GenBank,,PP526170,,Alphacoronavirus 1,213,ORF7b protein
WYM66997,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,6684,ORF1ab polyprotein
WYM66998,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,1448,spike protein
WYM66999,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,78,ORF3a protein
WYM67000,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,71,ORF3b protein
WYM67001,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,244,ORF3c protein
WYM67002,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,81,envelope protein
WYM67003,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,261,membrane protein
WYM67004,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,370,nucleocapsid protein
WYM67005,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,101,ORF7a protein
WYM67006,Canine coronavirus,GenBank,,PP526172,,Alphacoronavirus 1,34,ORF7b protein
WPN08464,Canine coronavirus,GenBank,,OR862747,TR/Bal/H4,Alphacoronavirus 1,128,polyprotein
WPN08465,Canine coronavirus,GenBank,,OR862748,TR/Bal/B10,Alphacoronavirus 1,128,polyprotein
WPN08466,Canine coronavirus,GenBank,,OR862749,TR/Bal/CCV10/1,Alphacoronavirus 1,122,polyprotein
WPN08467,Canine coronavirus,GenBank,,OR862750,TR/Bal/CCV10/2,Alphacoronavirus 1,118,polyprotein
WPN08468,Canine coronavirus,GenBank,,OR862751,TR/Bal/B5,Alphacoronavirus 1,128,polyprotein
WEG19588,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,6684,ORF1ab polyprotein
WEG19589,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,1454,spike protein
WEG19590,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,207,nonstructural protein 3
WEG19591,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,78,nonstructural protein 3a
WEG19592,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,244,nonstructural protein 3c
WEG19593,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,82,envelope protein
WEG19594,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,290,membrane protein
WEG19595,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,382,nucleocapsid protein
WEG19596,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,101,nonstructural protein 7a
WEG19597,Canine coronavirus,GenBank,,OQ540908,VuCCoV_191134SY,Alphacoronavirus 1,213,nonstructural protein 7b
WEG19598,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,6684,ORF1ab polyprotein
WEG19599,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,1454,spike protein
WEG19600,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,78,nonstructural protein 3a
WEG19601,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,244,nonstructural protein 3c
WEG19602,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,82,envelope protein
WEG19603,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,290,membrane protein
WEG19604,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,382,nucleocapsid protein
WEG19605,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,101,nonstructural protein 7a
WEG19606,Canine coronavirus,GenBank,,OQ540909,VuCCoV_191128SY,Alphacoronavirus 1,213,nonstructural protein 7b
WEG19607,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,6684,ORF1ab polyprotein
WEG19608,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,1454,spike protein
WEG19609,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,207,nonstructural protein 3
WEG19610,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,78,nonstructural protein 3a
WEG19611,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,244,nonstructural protein 3c
WEG19612,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,82,envelope protein
WEG19613,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,290,membrane protein
WEG19614,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,382,nucleocapsid protein
WEG19615,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,101,nonstructural protein 7a
WEG19616,Canine coronavirus,GenBank,,OQ540910,VuCCoV_191101SY,Alphacoronavirus 1,213,nonstructural protein 7b
WEG19617,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,6684,ORF1ab polyprotein
WEG19618,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,1454,spike protein
WEG19619,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,207,nonstructural protein 3
WEG19620,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,78,nonstructural protein 3a
WEG19621,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,244,nonstructural protein 3c
WEG19622,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,82,envelope protein
WEG19623,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,290,membrane protein
WEG19624,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,382,nucleocapsid protein
WEG19625,Canine coronavirus,GenBank,,OQ540911,VuCCoV_191102SY,Alphacoronavirus 1,101,nonstructural protein 7a
WEG19626,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,6684,ORF1ab polyprotein
WEG19627,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,1457,spike protein
WEG19628,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,78,ORF3a protein
WEG19629,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,71,ORF3b protein
WEG19630,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,253,ORF3c protein
WEG19631,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,82,envelope protein
WEG19632,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,261,membrane protein
WEG19633,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,382,nucleocapsid protein
WEG19634,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,101,nonstructural protein 7a
WEG19635,Canine coronavirus,GenBank,,OQ540912,VuCCoV_191106SY,Alphacoronavirus 1,213,nonstructural protein 7b
WEG19636,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,6684,ORF1ab polyprotein
WEG19637,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,1460,spike protein
WEG19638,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,78,nonstructural protein 3a
WEG19639,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,71,nonstructural protein 3b
WEG19640,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,253,nonstructural protein 3c
WEG19641,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,82,envelope protein
WEG19642,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,261,membrane protein
WEG19643,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,381,nucleocapsid protein
WEG19644,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,101,nonstructural protein 7a
WEG19645,Canine coronavirus,GenBank,,OQ540913,VuCCoV_191118SY,Alphacoronavirus 1,213,nonstructural protein 7b
WEG19646,Canine coronavirus,GenBank,,OQ540914,VuCCoV_191133SY,Alphacoronavirus 1,6683,ORF1ab polyprotein
WEG19647,Canine coronavirus,GenBank,,OQ540914,VuCCoV_191133SY,Alphacoronavirus 1,1458,spike protein
WEG19648,Canine coronavirus,GenBank,,OQ540914,VuCCoV_191133SY,Alphacoronavirus 1,78,nonstructural protein 3a
WEG19649,Canine coronavirus,GenBank,,OQ540914,VuCCoV_191133SY,Alphacoronavirus 1,71,nonstructural protein 3b
WEG19650,Canine coronavirus,GenBank,,OQ540914,VuCCoV_191133SY,Alphacoronavirus 1,244,nonstructural protein 3c
