Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
WCS91542,Porcine deltacoronavirus,GenBank,,MW627232,CH/SCBC/2017,Coronavirus HKU15,200,NS7 protein,2017-09-10
WCS91543,Porcine deltacoronavirus,GenBank,,MW627232,CH/SCBC/2017,Coronavirus HKU15,6267,replicase polyprotein,2017-09-10
WCS91544,Porcine deltacoronavirus,GenBank,,MW627233,CH/SCQL/2017,Coronavirus HKU15,1159,spike glycoprotein,2017-09-10
WCS91545,Porcine deltacoronavirus,GenBank,,MW627233,CH/SCQL/2017,Coronavirus HKU15,83,envelope protein,2017-09-10
WCS91546,Porcine deltacoronavirus,GenBank,,MW627233,CH/SCQL/2017,Coronavirus HKU15,217,membrane protein,2017-09-10
WCS91547,Porcine deltacoronavirus,GenBank,,MW627233,CH/SCQL/2017,Coronavirus HKU15,94,NS6 protein,2017-09-10
WCS91548,Porcine deltacoronavirus,GenBank,,MW627233,CH/SCQL/2017,Coronavirus HKU15,342,nucleocapsid protein,2017-09-10
WCS91549,Porcine deltacoronavirus,GenBank,,MW627233,CH/SCQL/2017,Coronavirus HKU15,200,NS7 protein,2017-09-10
WCS91550,Porcine deltacoronavirus,GenBank,,MW627233,CH/SCQL/2017,Coronavirus HKU15,6260,replicase polyprotein,2017-09-10
WCS91551,Porcine deltacoronavirus,GenBank,,MW627234,CH/SCMS/2017,Coronavirus HKU15,83,envelope protein,2017-11-10
WCS91552,Porcine deltacoronavirus,GenBank,,MW627234,CH/SCMS/2017,Coronavirus HKU15,217,membrane protein,2017-11-10
WCS91553,Porcine deltacoronavirus,GenBank,,MW627234,CH/SCMS/2017,Coronavirus HKU15,94,NS6 protein,2017-11-10
WCS91554,Porcine deltacoronavirus,GenBank,,MW627234,CH/SCMS/2017,Coronavirus HKU15,342,nucleocapsid protein,2017-11-10
WCS91555,Porcine deltacoronavirus,GenBank,,MW627234,CH/SCMS/2017,Coronavirus HKU15,200,NS7 protein,2017-11-10
WCS91556,Porcine deltacoronavirus,GenBank,,MW627234,CH/SCMS/2017,Coronavirus HKU15,6265,replicase polyprotein,2017-11-10
WCS91557,Porcine deltacoronavirus,GenBank,,MW627234,CH/SCMS/2017,Coronavirus HKU15,1159,spike glycoprotein,2017-11-10
WCS91558,Porcine deltacoronavirus,GenBank,,MW627235,CH/SCSH/2017,Coronavirus HKU15,1159,spike glycoprotein,2017-11-09
WCS91559,Porcine deltacoronavirus,GenBank,,MW627236,CH/SCBC/2018,Coronavirus HKU15,1159,spike glycoprotein,2018-10-24
WCS91560,Porcine deltacoronavirus,GenBank,,MW627237,SCCZ18-P180,Coronavirus HKU15,1159,spike glycoprotein,2020-10-25
WCS91561,Porcine deltacoronavirus,GenBank,,MW627237,SCCZ18-P180,Coronavirus HKU15,83,envelope protein,2020-10-25
WCS91562,Porcine deltacoronavirus,GenBank,,MW627237,SCCZ18-P180,Coronavirus HKU15,217,membrane protein,2020-10-25
WCS91563,Porcine deltacoronavirus,GenBank,,MW627237,SCCZ18-P180,Coronavirus HKU15,94,NS6 protein,2020-10-25
WCS91564,Porcine deltacoronavirus,GenBank,,MW627237,SCCZ18-P180,Coronavirus HKU15,342,nucleocapsid protein,2020-10-25
WCS91565,Porcine deltacoronavirus,GenBank,,MW627237,SCCZ18-P180,Coronavirus HKU15,200,NS7 protein,2020-10-25
WCS91566,Porcine deltacoronavirus,GenBank,,MW627237,SCCZ18-P180,Coronavirus HKU15,6265,replicase polyprotein,2020-10-25
WCS91567,Porcine deltacoronavirus,GenBank,,MW627238,SCCZ18-P200,Coronavirus HKU15,1159,spike glycoprotein,2020-12-13
WCS91568,Porcine deltacoronavirus,GenBank,,MW627238,SCCZ18-P200,Coronavirus HKU15,83,envelope protein,2020-12-13
WCS91569,Porcine deltacoronavirus,GenBank,,MW627238,SCCZ18-P200,Coronavirus HKU15,217,membrane protein,2020-12-13
WCS91570,Porcine deltacoronavirus,GenBank,,MW627238,SCCZ18-P200,Coronavirus HKU15,94,NS6 protein,2020-12-13
WCS91571,Porcine deltacoronavirus,GenBank,,MW627238,SCCZ18-P200,Coronavirus HKU15,342,nucleocapsid protein,2020-12-13
WCS91572,Porcine deltacoronavirus,GenBank,,MW627238,SCCZ18-P200,Coronavirus HKU15,200,NS7 protein,2020-12-13
WCS91573,Porcine deltacoronavirus,GenBank,,MW627238,SCCZ18-P200,Coronavirus HKU15,6265,replicase polyprotein,2020-12-13
XOE93052,Porcine deltacoronavirus,GenBank,,PV077816,CHN/GX/2024,Coronavirus HKU15,217,membrane protein,2024-12-02
XOE93053,Porcine deltacoronavirus,GenBank,,PV077816,CHN/GX/2024,Coronavirus HKU15,6265,replicase polyprotein,2024-12-02
XOE93054,Porcine deltacoronavirus,GenBank,,PV077816,CHN/GX/2024,Coronavirus HKU15,1159,spike glycoprotein,2024-12-02
XOE93055,Porcine deltacoronavirus,GenBank,,PV077816,CHN/GX/2024,Coronavirus HKU15,83,envelope protein,2024-12-02
XOE93056,Porcine deltacoronavirus,GenBank,,PV077816,CHN/GX/2024,Coronavirus HKU15,94,NS6 protein,2024-12-02
XOE93057,Porcine deltacoronavirus,GenBank,,PV077816,CHN/GX/2024,Coronavirus HKU15,342,nucleocapsid protein,2024-12-02
XOE93058,Porcine deltacoronavirus,GenBank,,PV077816,CHN/GX/2024,Coronavirus HKU15,200,NS7 protein,2024-12-02
XLM45460,Porcine deltacoronavirus,GenBank,,PQ753145,PDCoV/HuN/2023,Coronavirus HKU15,6265,polyprotein 1ab,2023-11
XLM45461,Porcine deltacoronavirus,GenBank,,PQ753145,PDCoV/HuN/2023,Coronavirus HKU15,3624,polyprotein 1a,2023-11
XLM45462,Porcine deltacoronavirus,GenBank,,PQ753145,PDCoV/HuN/2023,Coronavirus HKU15,1159,spike protein,2023-11
XLM45463,Porcine deltacoronavirus,GenBank,,PQ753145,PDCoV/HuN/2023,Coronavirus HKU15,83,envelope protein,2023-11
XLM45464,Porcine deltacoronavirus,GenBank,,PQ753145,PDCoV/HuN/2023,Coronavirus HKU15,217,Membrane protein,2023-11
XLM45465,Porcine deltacoronavirus,GenBank,,PQ753145,PDCoV/HuN/2023,Coronavirus HKU15,94,NS6 protein,2023-11
XLM45466,Porcine deltacoronavirus,GenBank,,PQ753145,PDCoV/HuN/2023,Coronavirus HKU15,342,nucleocapsid protein,2023-11
XLM45467,Porcine deltacoronavirus,GenBank,,PQ753145,PDCoV/HuN/2023,Coronavirus HKU15,200,NS7 protein,2023-11
XLE37611,Porcine deltacoronavirus,GenBank,,PQ645844,HZYH-2019,Coronavirus HKU15,6265,polyprotein 1ab,2019
XLE37612,Porcine deltacoronavirus,GenBank,,PQ645844,HZYH-2019,Coronavirus HKU15,3624,polyprotein 1a,2019
XLE37613,Porcine deltacoronavirus,GenBank,,PQ645844,HZYH-2019,Coronavirus HKU15,1159,spike protein,2019
XLE37614,Porcine deltacoronavirus,GenBank,,PQ645844,HZYH-2019,Coronavirus HKU15,83,envelope protein,2019
XLE37615,Porcine deltacoronavirus,GenBank,,PQ645844,HZYH-2019,Coronavirus HKU15,217,Membrane protein,2019
XLE37616,Porcine deltacoronavirus,GenBank,,PQ645844,HZYH-2019,Coronavirus HKU15,94,NS6 protein,2019
XLE37617,Porcine deltacoronavirus,GenBank,,PQ645844,HZYH-2019,Coronavirus HKU15,342,nucleocapsid protein,2019
XLE37618,Porcine deltacoronavirus,GenBank,,PQ645844,HZYH-2019,Coronavirus HKU15,200,NS7 protein,2019
XLE37901,Porcine deltacoronavirus,GenBank,,PQ594371,CHN-AHBZ-2023,Coronavirus HKU15,6265,replicase polyprotein,2023-01-10
XLE37902,Porcine deltacoronavirus,GenBank,,PQ594371,CHN-AHBZ-2023,Coronavirus HKU15,1159,spike glycoprotein,2023-01-10
XLE37903,Porcine deltacoronavirus,GenBank,,PQ594371,CHN-AHBZ-2023,Coronavirus HKU15,83,envelope protein,2023-01-10
XLE37904,Porcine deltacoronavirus,GenBank,,PQ594371,CHN-AHBZ-2023,Coronavirus HKU15,217,membrane protein,2023-01-10
XLE37905,Porcine deltacoronavirus,GenBank,,PQ594371,CHN-AHBZ-2023,Coronavirus HKU15,94,NS6 protein,2023-01-10
XLE37906,Porcine deltacoronavirus,GenBank,,PQ594371,CHN-AHBZ-2023,Coronavirus HKU15,342,nucleocapsid protein,2023-01-10
XLE37907,Porcine deltacoronavirus,GenBank,,PQ594371,CHN-AHBZ-2023,Coronavirus HKU15,200,NS7 protein,2023-01-10
XLE37908,Porcine deltacoronavirus,GenBank,,PQ594372,CHN-HuBJZ-2023,Coronavirus HKU15,6265,replicase polyprotein,2023-01-15
XLE37909,Porcine deltacoronavirus,GenBank,,PQ594372,CHN-HuBJZ-2023,Coronavirus HKU15,1159,spike glycoprotein,2023-01-15
XLE37910,Porcine deltacoronavirus,GenBank,,PQ594372,CHN-HuBJZ-2023,Coronavirus HKU15,83,envelope protein,2023-01-15
XLE37911,Porcine deltacoronavirus,GenBank,,PQ594372,CHN-HuBJZ-2023,Coronavirus HKU15,217,membrane protein,2023-01-15
XLE37912,Porcine deltacoronavirus,GenBank,,PQ594372,CHN-HuBJZ-2023,Coronavirus HKU15,94,NS6 protein,2023-01-15
XLE37913,Porcine deltacoronavirus,GenBank,,PQ594372,CHN-HuBJZ-2023,Coronavirus HKU15,342,nucleocapsid protein,2023-01-15
XLE37914,Porcine deltacoronavirus,GenBank,,PQ594372,CHN-HuBJZ-2023,Coronavirus HKU15,200,NS7 protein,2023-01-15
XLE37915,Porcine deltacoronavirus,GenBank,,PQ594373,CHN-HuNYY-2022,Coronavirus HKU15,6265,replicase polyprotein,2022-03-13
XLE37916,Porcine deltacoronavirus,GenBank,,PQ594373,CHN-HuNYY-2022,Coronavirus HKU15,1159,spike glycoprotein,2022-03-13
XLE37917,Porcine deltacoronavirus,GenBank,,PQ594373,CHN-HuNYY-2022,Coronavirus HKU15,83,envelope protein,2022-03-13
XLE37918,Porcine deltacoronavirus,GenBank,,PQ594373,CHN-HuNYY-2022,Coronavirus HKU15,217,membrane protein,2022-03-13
XLE37919,Porcine deltacoronavirus,GenBank,,PQ594373,CHN-HuNYY-2022,Coronavirus HKU15,94,NS6 protein,2022-03-13
XLE37920,Porcine deltacoronavirus,GenBank,,PQ594373,CHN-HuNYY-2022,Coronavirus HKU15,342,nucleocapsid protein,2022-03-13
XLE37921,Porcine deltacoronavirus,GenBank,,PQ594373,CHN-HuNYY-2022,Coronavirus HKU15,200,NS7 protein,2022-03-13
XLE37922,Porcine deltacoronavirus,GenBank,,PQ594374,CHN-HuNYZ-2022,Coronavirus HKU15,6265,replicase polyprotein,2022-03-10
XLE37923,Porcine deltacoronavirus,GenBank,,PQ594374,CHN-HuNYZ-2022,Coronavirus HKU15,1159,spike glycoprotein,2022-03-10
XLE37924,Porcine deltacoronavirus,GenBank,,PQ594374,CHN-HuNYZ-2022,Coronavirus HKU15,83,envelope protein,2022-03-10
XLE37925,Porcine deltacoronavirus,GenBank,,PQ594374,CHN-HuNYZ-2022,Coronavirus HKU15,217,membrane protein,2022-03-10
XLE37926,Porcine deltacoronavirus,GenBank,,PQ594374,CHN-HuNYZ-2022,Coronavirus HKU15,94,NS6 protein,2022-03-10
XLE37927,Porcine deltacoronavirus,GenBank,,PQ594374,CHN-HuNYZ-2022,Coronavirus HKU15,342,nucleocapsid protein,2022-03-10
XLE37928,Porcine deltacoronavirus,GenBank,,PQ594374,CHN-HuNYZ-2022,Coronavirus HKU15,200,NS7 protein,2022-03-10
XLE37929,Porcine deltacoronavirus,GenBank,,PQ594375,CHN-SCNC-2023,Coronavirus HKU15,6265,replicase polyprotein,2023-03-10
XLE37930,Porcine deltacoronavirus,GenBank,,PQ594375,CHN-SCNC-2023,Coronavirus HKU15,1159,spike glycoprotein,2023-03-10
XLE37931,Porcine deltacoronavirus,GenBank,,PQ594375,CHN-SCNC-2023,Coronavirus HKU15,83,envelope protein,2023-03-10
XLE37932,Porcine deltacoronavirus,GenBank,,PQ594375,CHN-SCNC-2023,Coronavirus HKU15,217,membrane protein,2023-03-10
XLE37933,Porcine deltacoronavirus,GenBank,,PQ594375,CHN-SCNC-2023,Coronavirus HKU15,94,NS6 protein,2023-03-10
XLE37934,Porcine deltacoronavirus,GenBank,,PQ594375,CHN-SCNC-2023,Coronavirus HKU15,342,nucleocapsid protein,2023-03-10
XLE37935,Porcine deltacoronavirus,GenBank,,PQ594375,CHN-SCNC-2023,Coronavirus HKU15,200,NS7 protein,2023-03-10
XLE37936,Porcine deltacoronavirus,GenBank,,PQ594376,CHN-SDZB-2023,Coronavirus HKU15,6265,replicase polyprotein,2023-03-10
XLE37937,Porcine deltacoronavirus,GenBank,,PQ594376,CHN-SDZB-2023,Coronavirus HKU15,1159,spike glycoprotein,2023-03-10
XLE37938,Porcine deltacoronavirus,GenBank,,PQ594376,CHN-SDZB-2023,Coronavirus HKU15,83,envelope protein,2023-03-10
XLE37939,Porcine deltacoronavirus,GenBank,,PQ594376,CHN-SDZB-2023,Coronavirus HKU15,217,membrane protein,2023-03-10
XLE37940,Porcine deltacoronavirus,GenBank,,PQ594376,CHN-SDZB-2023,Coronavirus HKU15,94,NS6 protein,2023-03-10
XLE37941,Porcine deltacoronavirus,GenBank,,PQ594376,CHN-SDZB-2023,Coronavirus HKU15,342,nucleocapsid protein,2023-03-10
XLE37942,Porcine deltacoronavirus,GenBank,,PQ594376,CHN-SDZB-2023,Coronavirus HKU15,200,NS7 protein,2023-03-10
XLE37943,Porcine deltacoronavirus,GenBank,,PQ594377,CHN-ShXWN-2024,Coronavirus HKU15,6265,replicase polyprotein,2024-03-10
XLE37944,Porcine deltacoronavirus,GenBank,,PQ594377,CHN-ShXWN-2024,Coronavirus HKU15,1159,spike glycoprotein,2024-03-10
XLE37945,Porcine deltacoronavirus,GenBank,,PQ594377,CHN-ShXWN-2024,Coronavirus HKU15,83,envelope protein,2024-03-10
XLE37946,Porcine deltacoronavirus,GenBank,,PQ594377,CHN-ShXWN-2024,Coronavirus HKU15,217,membrane protein,2024-03-10
XLE37947,Porcine deltacoronavirus,GenBank,,PQ594377,CHN-ShXWN-2024,Coronavirus HKU15,94,NS6 protein,2024-03-10
XLE37948,Porcine deltacoronavirus,GenBank,,PQ594377,CHN-ShXWN-2024,Coronavirus HKU15,342,nucleocapsid protein,2024-03-10
XLE37949,Porcine deltacoronavirus,GenBank,,PQ594377,CHN-ShXWN-2024,Coronavirus HKU15,200,NS7 protein,2024-03-10
XLE37950,Porcine deltacoronavirus,GenBank,,PQ594378,CHN-AHHN-2024,Coronavirus HKU15,6265,replicase polyprotein,2024-02-20
XLE37951,Porcine deltacoronavirus,GenBank,,PQ594378,CHN-AHHN-2024,Coronavirus HKU15,1159,spike glycoprotein,2024-02-20
XLE37952,Porcine deltacoronavirus,GenBank,,PQ594378,CHN-AHHN-2024,Coronavirus HKU15,83,envelope protein,2024-02-20
XLE37953,Porcine deltacoronavirus,GenBank,,PQ594378,CHN-AHHN-2024,Coronavirus HKU15,217,membrane protein,2024-02-20
XLE37954,Porcine deltacoronavirus,GenBank,,PQ594378,CHN-AHHN-2024,Coronavirus HKU15,94,NS6 protein,2024-02-20
XLE37955,Porcine deltacoronavirus,GenBank,,PQ594378,CHN-AHHN-2024,Coronavirus HKU15,342,nucleocapsid protein,2024-02-20
XLE37956,Porcine deltacoronavirus,GenBank,,PQ594378,CHN-AHHN-2024,Coronavirus HKU15,200,NS7 protein,2024-02-20
XLE37957,Porcine deltacoronavirus,GenBank,,PQ594379,CHN-JSSQ-2024,Coronavirus HKU15,6265,replicase polyprotein,2024-03-21
XLE37958,Porcine deltacoronavirus,GenBank,,PQ594379,CHN-JSSQ-2024,Coronavirus HKU15,1159,spike glycoprotein,2024-03-21
XLE37959,Porcine deltacoronavirus,GenBank,,PQ594379,CHN-JSSQ-2024,Coronavirus HKU15,83,envelope protein,2024-03-21
XLE37960,Porcine deltacoronavirus,GenBank,,PQ594379,CHN-JSSQ-2024,Coronavirus HKU15,217,membrane protein,2024-03-21
XLE37961,Porcine deltacoronavirus,GenBank,,PQ594379,CHN-JSSQ-2024,Coronavirus HKU15,94,NS6 protein,2024-03-21
XLE37962,Porcine deltacoronavirus,GenBank,,PQ594379,CHN-JSSQ-2024,Coronavirus HKU15,342,nucleocapsid protein,2024-03-21
XLE37963,Porcine deltacoronavirus,GenBank,,PQ594379,CHN-JSSQ-2024,Coronavirus HKU15,200,NS7 protein,2024-03-21
XKB87171,Porcine deltacoronavirus,GenBank,,PQ539659,CC23,Coronavirus HKU15,6265,polyprotein 1ab,2023
XKB87172,Porcine deltacoronavirus,GenBank,,PQ539659,CC23,Coronavirus HKU15,3624,polyprotein 1a,2023
XKB87173,Porcine deltacoronavirus,GenBank,,PQ539659,CC23,Coronavirus HKU15,1159,spike glyprotein,2023
XKB87174,Porcine deltacoronavirus,GenBank,,PQ539659,CC23,Coronavirus HKU15,83,envelope protein,2023
XKB87175,Porcine deltacoronavirus,GenBank,,PQ539659,CC23,Coronavirus HKU15,217,membrane protein,2023
XKB87176,Porcine deltacoronavirus,GenBank,,PQ539659,CC23,Coronavirus HKU15,342,nucleocapsid protein,2023
XKB87177,Porcine deltacoronavirus,GenBank,,PQ539659,CC23,Coronavirus HKU15,94,NS6 protein,2023
XKB87178,Porcine deltacoronavirus,GenBank,,PQ539659,CC23,Coronavirus HKU15,200,NS7 protein,2023
XII38892,Porcine deltacoronavirus,GenBank,,PQ373831,CHN/SX-Y/2023,Coronavirus HKU15,6265,ORF1ab,2023
XHS96286,Porcine deltacoronavirus,GenBank,,PQ373831,CHN/SX-Y/2023,Coronavirus HKU15,1159,spike protein,2023
XHS96287,Porcine deltacoronavirus,GenBank,,PQ373831,CHN/SX-Y/2023,Coronavirus HKU15,83,envelope protein,2023
XHS96288,Porcine deltacoronavirus,GenBank,,PQ373831,CHN/SX-Y/2023,Coronavirus HKU15,217,membrane protein,2023
XHS96289,Porcine deltacoronavirus,GenBank,,PQ373831,CHN/SX-Y/2023,Coronavirus HKU15,94,NS6 protein,2023
XHS96290,Porcine deltacoronavirus,GenBank,,PQ373831,CHN/SX-Y/2023,Coronavirus HKU15,342,nucleocapsid protein,2023
XDT87824,Porcine deltacoronavirus,GenBank,,PQ118992,HNNY/2023,Coronavirus HKU15,342,N,2023-06-28
USN25112,Porcine deltacoronavirus,GenBank,,MT985156,SCCZ18,Coronavirus HKU15,1159,spike glycoprotein,2018-06-01
USN25113,Porcine deltacoronavirus,GenBank,,MT985156,SCCZ18,Coronavirus HKU15,83,envelope protein,2018-06-01
USN25114,Porcine deltacoronavirus,GenBank,,MT985156,SCCZ18,Coronavirus HKU15,217,membrane protein,2018-06-01
USN25115,Porcine deltacoronavirus,GenBank,,MT985156,SCCZ18,Coronavirus HKU15,94,NS6 protein,2018-06-01
USN25116,Porcine deltacoronavirus,GenBank,,MT985156,SCCZ18,Coronavirus HKU15,342,nucleocapsid protein,2018-06-01
USN25117,Porcine deltacoronavirus,GenBank,,MT985156,SCCZ18,Coronavirus HKU15,200,NS7 protein,2018-06-01
USN25118,Porcine deltacoronavirus,GenBank,,MT985156,SCCZ18,Coronavirus HKU15,6265,replicase polyprotein,2018-06-01
USN25119,Porcine deltacoronavirus,GenBank,,MT985157,SCCZ18-10,Coronavirus HKU15,1159,spike glycoprotein,2018-09-13
USN25120,Porcine deltacoronavirus,GenBank,,MT985157,SCCZ18-10,Coronavirus HKU15,83,envelope protein,2018-09-13
USN25121,Porcine deltacoronavirus,GenBank,,MT985157,SCCZ18-10,Coronavirus HKU15,217,membrane protein,2018-09-13
USN25122,Porcine deltacoronavirus,GenBank,,MT985157,SCCZ18-10,Coronavirus HKU15,94,NS6 protein,2018-09-13
USN25123,Porcine deltacoronavirus,GenBank,,MT985157,SCCZ18-10,Coronavirus HKU15,342,nucleocapsid protein,2018-09-13
USN25124,Porcine deltacoronavirus,GenBank,,MT985157,SCCZ18-10,Coronavirus HKU15,200,NS7 protein,2018-09-13
USN25125,Porcine deltacoronavirus,GenBank,,MT985157,SCCZ18-10,Coronavirus HKU15,6265,replicase polyprotein,2018-09-13
USN25126,Porcine deltacoronavirus,GenBank,,MT985158,SCCZ18-73,Coronavirus HKU15,1159,spike glycoprotein,2019-03-23
USN25127,Porcine deltacoronavirus,GenBank,,MT985158,SCCZ18-73,Coronavirus HKU15,83,envelope protein,2019-03-23
USN25128,Porcine deltacoronavirus,GenBank,,MT985158,SCCZ18-73,Coronavirus HKU15,217,membrane protein,2019-03-23
USN25129,Porcine deltacoronavirus,GenBank,,MT985158,SCCZ18-73,Coronavirus HKU15,94,NS6 protein,2019-03-23
