Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
QII89046,GenBank,MN690610,set:MN690610,replicase polyprotein,Bottlenose dolphin coronavirus,,6663,
QII89047,GenBank,MN690610,set:MN690610,spike protein,Bottlenose dolphin coronavirus,,1482,
QII89048,GenBank,MN690610,set:MN690610,envelope glycoprotein,Bottlenose dolphin coronavirus,,95,
QII89049,GenBank,MN690610,set:MN690610,membrane protein,Bottlenose dolphin coronavirus,,275,
QII89050,GenBank,MN690610,set:MN690610,NS5a protein,Bottlenose dolphin coronavirus,,138,
QII89051,GenBank,MN690610,set:MN690610,NS5b protein,Bottlenose dolphin coronavirus,,172,
QII89052,GenBank,MN690610,set:MN690610,NS5c protein,Bottlenose dolphin coronavirus,,175,
QII89053,GenBank,MN690610,set:MN690610,NS6 protein,Bottlenose dolphin coronavirus,,228,
QII89054,GenBank,MN690610,set:MN690610,NS7a protein,Bottlenose dolphin coronavirus,,42,
QII89055,GenBank,MN690610,set:MN690610,NS7b protein,Bottlenose dolphin coronavirus,,117,
QII89056,GenBank,MN690610,set:MN690610,NS8 protein,Bottlenose dolphin coronavirus,,59,
QII89057,GenBank,MN690610,set:MN690610,NS9 protein,Bottlenose dolphin coronavirus,,152,
QII89058,GenBank,MN690610,set:MN690610,NS10 protein,Bottlenose dolphin coronavirus,,210,
QII89059,GenBank,MN690610,set:MN690610,N protein,Bottlenose dolphin coronavirus,,379,
QII89060,GenBank,MN690611,set:MN690611,replicase polyprotein,Bottlenose dolphin coronavirus,,6663,
QII89061,GenBank,MN690611,set:MN690611,spike protein,Bottlenose dolphin coronavirus,,1482,
QII89062,GenBank,MN690611,set:MN690611,envelope glycoprotein,Bottlenose dolphin coronavirus,,95,
QII89063,GenBank,MN690611,set:MN690611,membrane protein,Bottlenose dolphin coronavirus,,275,
QII89064,GenBank,MN690611,set:MN690611,NS5a protein,Bottlenose dolphin coronavirus,,138,
QII89065,GenBank,MN690611,set:MN690611,NS5b protein,Bottlenose dolphin coronavirus,,172,
QII89066,GenBank,MN690611,set:MN690611,NS5c protein,Bottlenose dolphin coronavirus,,175,
QII89067,GenBank,MN690611,set:MN690611,NS6 protein,Bottlenose dolphin coronavirus,,228,
QII89068,GenBank,MN690611,set:MN690611,NS7a protein,Bottlenose dolphin coronavirus,,42,
QII89069,GenBank,MN690611,set:MN690611,NS7b protein,Bottlenose dolphin coronavirus,,117,
QII89070,GenBank,MN690611,set:MN690611,NS8 protein,Bottlenose dolphin coronavirus,,59,
QII89071,GenBank,MN690611,set:MN690611,NS9 protein,Bottlenose dolphin coronavirus,,152,
QII89072,GenBank,MN690611,set:MN690611,NS10 protein,Bottlenose dolphin coronavirus,,210,
QII89073,GenBank,MN690611,set:MN690611,N protein,Bottlenose dolphin coronavirus,,379,
