Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
NP_828851,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,1255,E2 glycoprotein precursor,
NP_828852,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,274,hypothetical protein sars3a,
NP_828853,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,154,hypothetical protein sars3b,
NP_828854,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,76,protein E,
NP_828855,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,221,matrix protein,
NP_828856,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,63,hypothetical protein sars6,
NP_828857,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,122,hypothetical protein sars7a,
NP_828858,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,422,nucleocapsid protein,
NP_828859,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,98,hypothetical protein sars9b,
AFR58670,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,4382,polyprotein orf1a,2010-02-10
AFR58671,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,7073,polyprotein orf1ab,2010-02-10
AFR58672,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,1255,spike glycoprotein precursor,2010-02-10
AFR58673,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,274,hypothetical protein sars3a,2010-02-10
AFR58674,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,154,hypothetical protein sars3b,2010-02-10
AFR58675,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,76,envelope protein,2010-02-10
AFR58676,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,221,membrane protein,2010-02-10
AFR58677,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,63,hypothetical protein sars6,2010-02-10
AFR58678,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,122,hypothetical protein sars7a,2010-02-10
AFR58679,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,44,non-structural protein NS7b,2010-02-10
AFR58680,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,84,hypothetical protein sars8b,2010-02-10
AFR58681,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,422,nucleocapsid protein,2010-02-10
AFR58682,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,98,hypothetical protein Orf9b,2010-02-10
AFR58683,SARS coronavirus Tor2,GenBank,set:JX163923,JX163923,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,70,hypothetical protein,2010-02-10
AFR58684,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,4382,polyprotein orf1a,2010-02-05
AFR58685,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,7073,polyprotein orf1ab,2010-02-05
AFR58686,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,1255,spike glycoprotein precursor,2010-02-05
AFR58687,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,274,hypothetical protein sars3a,2010-02-05
AFR58688,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,154,hypothetical protein sars3b,2010-02-05
AFR58689,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,76,envelope protein,2010-02-05
AFR58690,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,221,membrane protein,2010-02-05
AFR58691,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,63,hypothetical protein sars6,2010-02-05
AFR58692,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,122,hypothetical protein sars7a,2010-02-05
AFR58693,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,44,non-structural protein NS7b,2010-02-05
AFR58694,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,84,hypothetical protein sars8b,2010-02-05
AFR58695,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,422,nucleocapsid protein,2010-02-05
AFR58696,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,98,hypothetical protein Orf9b,2010-02-05
AFR58697,SARS coronavirus Tor2,GenBank,set:JX163924,JX163924,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,70,hypothetical protein,2010-02-05
AFR58698,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,4382,polyprotein orf1a,2010-02-05
AFR58699,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,7073,polyprotein orf1ab,2010-02-05
AFR58700,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,1255,spike glycoprotein precursor,2010-02-05
AFR58701,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,274,hypothetical protein sars3a,2010-02-05
AFR58702,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,154,hypothetical protein sars3b,2010-02-05
AFR58703,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,76,envelope protein,2010-02-05
AFR58704,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,221,membrane protein,2010-02-05
AFR58705,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,63,hypothetical protein sars6,2010-02-05
AFR58706,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,122,hypothetical protein sars7a,2010-02-05
AFR58707,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,44,non-structural protein NS7b,2010-02-05
AFR58708,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,84,hypothetical protein sars8b,2010-02-05
AFR58709,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,422,nucleocapsid protein,2010-02-05
AFR58710,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,98,hypothetical protein Orf9b,2010-02-05
AFR58711,SARS coronavirus Tor2,GenBank,set:JX163925,JX163925,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,70,hypothetical protein,2010-02-05
AFR58712,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,4382,polyprotein orf1a,2010-02-10
AFR58713,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,7073,polyprotein orf1ab,2010-02-10
AFR58714,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,1255,spike glycoprotein precursor,2010-02-10
AFR58715,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,274,hypothetical protein sars3a,2010-02-10
AFR58716,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,154,hypothetical protein sars3b,2010-02-10
AFR58717,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,76,envelope protein,2010-02-10
AFR58718,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,221,membrane protein,2010-02-10
AFR58719,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,63,hypothetical protein sars6,2010-02-10
AFR58720,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,122,hypothetical protein sars7a,2010-02-10
AFR58721,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,44,non-structural protein NS7b,2010-02-10
AFR58722,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,84,hypothetical protein sars8b,2010-02-10
AFR58723,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,422,nucleocapsid protein,2010-02-10
AFR58724,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,98,hypothetical protein Orf9b,2010-02-10
AFR58725,SARS coronavirus Tor2,GenBank,set:JX163926,JX163926,Tor2/FP1-10912,Severe acute respiratory syndrome-related coronavirus,70,hypothetical protein,2010-02-10
AFR58726,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,4382,polyprotein orf1a,2010-02-05
AFR58727,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,7073,polyprotein orf1ab,2010-02-05
AFR58728,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,1255,spike glycoprotein precursor,2010-02-05
AFR58729,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,274,hypothetical protein sars3a,2010-02-05
AFR58730,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,154,hypothetical protein sars3b,2010-02-05
AFR58731,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,76,envelope protein,2010-02-05
AFR58732,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,221,membrane protein,2010-02-05
AFR58733,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,63,hypothetical protein sars6,2010-02-05
AFR58734,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,122,hypothetical protein sars7a,2010-02-05
AFR58735,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,44,non-structural protein NS7b,2010-02-05
AFR58736,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,84,hypothetical protein sars8b,2010-02-05
AFR58737,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,422,nucleocapsid protein,2010-02-05
AFR58738,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,98,hypothetical protein Orf9b,2010-02-05
AFR58739,SARS coronavirus Tor2,GenBank,set:JX163927,JX163927,Tor2/FP1-10851,Severe acute respiratory syndrome-related coronavirus,70,hypothetical protein,2010-02-05
AFR58740,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,4382,polyprotein orf1a,2010-02-05
AFR58741,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,7073,polyprotein orf1ab,2010-02-05
AFR58742,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,1255,spike glycoprotein precursor,2010-02-05
AFR58743,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,274,hypothetical protein sars3a,2010-02-05
AFR58744,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,154,hypothetical protein sars3b,2010-02-05
AFR58745,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,76,envelope protein,2010-02-05
AFR58746,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,221,membrane protein,2010-02-05
AFR58747,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,63,hypothetical protein sars6,2010-02-05
AFR58748,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,122,hypothetical protein sars7a,2010-02-05
AFR58749,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,44,non-structural protein NS7b,2010-02-05
AFR58750,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,84,hypothetical protein sars8b,2010-02-05
AFR58751,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,422,nucleocapsid protein,2010-02-05
AFR58752,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,98,hypothetical protein Orf9b,2010-02-05
AFR58753,SARS coronavirus Tor2,GenBank,set:JX163928,JX163928,Tor2/FP1-10895,Severe acute respiratory syndrome-related coronavirus,70,hypothetical protein,2010-02-05
AAP41036,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,7073,replicase 1AB,
AAP41037,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,1255,spike glycoprotein,
AAP41038,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,274,Orf3,
AAP41039,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,154,Orf4,
AAP41040,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,76,small envelope E protein,
AAP41041,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,221,membrane glycoprotein M,
AAP41042,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,63,Orf7,
AAP41043,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,122,Orf8,
AAP41044,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,44,Orf9,
AAP41045,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,39,Orf10,
AAP41046,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,84,Orf11,
AAP41047,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,422,nucleocapsid protein,
AAP41048,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,98,Orf13,
AAP41049,SARS coronavirus Tor2,GenBank,set:AY274119,AY274119,Tor2,Severe acute respiratory syndrome-related coronavirus,70,Orf14,
AAP31512,SARS coronavirus Tor2,GenBank,set:AY271716,AY271716,,Severe acute respiratory syndrome-related coronavirus,52,RNA polymerase 1b,
