Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
XWV29690,GenBank,ON461772,,envelope protein,Human coronavirus HKU1,HKU1B_16_2,82,2019-12-30
XWV29691,GenBank,ON461772,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_16_2,223,2019-12-30
XWV29692,GenBank,ON461772,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_16_2,441,2019-12-30
XWV29693,GenBank,ON461776,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_18,7151,2019-12-31
XWV29694,GenBank,ON461776,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_18,4440,2019-12-31
XWV29695,GenBank,ON461776,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1B_18,385,2019-12-31
XWV29696,GenBank,ON461776,,spike protein,Human coronavirus HKU1,HKU1B_18,1351,2019-12-31
XWV29697,GenBank,ON461776,,non-structural protein,Human coronavirus HKU1,HKU1B_18,109,2019-12-31
XWV29698,GenBank,ON461776,,envelope protein,Human coronavirus HKU1,HKU1B_18,82,2019-12-31
XWV29699,GenBank,ON461777,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_19,7181,2020-01-04
XWV29700,GenBank,ON461777,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_19,4470,2020-01-04
XWV29701,GenBank,ON461777,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1B_19,385,2020-01-04
XWV29702,GenBank,ON461777,,spike protein,Human coronavirus HKU1,HKU1B_19,1351,2020-01-04
XWV29703,GenBank,ON461777,,non-structural protein,Human coronavirus HKU1,HKU1B_19,109,2020-01-04
XWV29704,GenBank,ON461777,,envelope protein,Human coronavirus HKU1,HKU1B_19,82,2020-01-04
XWV29705,GenBank,ON461778,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_20,7175,2020-01-06
XWV29706,GenBank,ON461778,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_20,4464,2020-01-06
XWV29707,GenBank,ON461778,,non-structural protein,Human coronavirus HKU1,HKU1B_20,109,2020-01-06
XWV29708,GenBank,ON461778,,envelope protein,Human coronavirus HKU1,HKU1B_20,82,2020-01-06
XWV29709,GenBank,ON461778,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_20,223,2020-01-06
XWV29710,GenBank,ON461778,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_20,441,2020-01-06
XWV29711,GenBank,ON461778,,internal protein,Human coronavirus HKU1,HKU1B_20,205,2020-01-06
XWV29712,GenBank,ON461780,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_22,7181,2020-01-16
XWV29713,GenBank,ON461780,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_22,4470,2020-01-16
XWV29714,GenBank,ON461780,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1B_22,385,2020-01-16
XWV29715,GenBank,ON461780,,spike protein,Human coronavirus HKU1,HKU1B_22,1351,2020-01-16
XWV29716,GenBank,ON461780,,non-structural protein,Human coronavirus HKU1,HKU1B_22,109,2020-01-16
XWV29717,GenBank,ON461780,,envelope protein,Human coronavirus HKU1,HKU1B_22,82,2020-01-16
XWV29718,GenBank,ON461780,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_22,223,2020-01-16
XWV29719,GenBank,ON461781,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_23,7181,2020-01-16
XWV29720,GenBank,ON461781,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_23,4470,2020-01-16
XWV29721,GenBank,ON461781,,non-structural protein,Human coronavirus HKU1,HKU1B_23,109,2020-01-16
XWV29722,GenBank,ON461781,,envelope protein,Human coronavirus HKU1,HKU1B_23,82,2020-01-16
XWV29723,GenBank,ON461781,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_23,223,2020-01-16
XWV29724,GenBank,ON461781,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_23,441,2020-01-16
XWV29725,GenBank,ON461781,,internal protein,Human coronavirus HKU1,HKU1B_23,205,2020-01-16
XUM36644,GenBank,PV685450,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/033250/USA/2024,7181,2024-04-03
XUM36645,GenBank,PV685450,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/033250/USA/2024,4470,2024-04-03
XUM36646,GenBank,PV685450,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/033250/USA/2024,385,2024-04-03
XUM36647,GenBank,PV685450,,spike protein,Human coronavirus HKU1,HKU1/033250/USA/2024,1351,2024-04-03
XUM36648,GenBank,PV685450,,nonstructural protein,Human coronavirus HKU1,HKU1/033250/USA/2024,109,2024-04-03
XUM36649,GenBank,PV685450,,envelope protein,Human coronavirus HKU1,HKU1/033250/USA/2024,82,2024-04-03
XUM36650,GenBank,PV685450,,membrane glycoprotein,Human coronavirus HKU1,HKU1/033250/USA/2024,223,2024-04-03
XUM36651,GenBank,PV685450,,nucleocapsid protein,Human coronavirus HKU1,HKU1/033250/USA/2024,441,2024-04-03
XUM36652,GenBank,PV685450,,internal protein,Human coronavirus HKU1,HKU1/033250/USA/2024,205,2024-04-03
XUM36653,GenBank,PV685451,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/035549/USA/2024,7181,2024-02-03
XUM36654,GenBank,PV685451,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/035549/USA/2024,4470,2024-02-03
XUM36655,GenBank,PV685451,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/035549/USA/2024,386,2024-02-03
XUM36656,GenBank,PV685451,,spike protein,Human coronavirus HKU1,HKU1/035549/USA/2024,1356,2024-02-03
XUM36657,GenBank,PV685451,,nonstructural protein,Human coronavirus HKU1,HKU1/035549/USA/2024,109,2024-02-03
XUM36658,GenBank,PV685451,,envelope protein,Human coronavirus HKU1,HKU1/035549/USA/2024,82,2024-02-03
XUM36659,GenBank,PV685451,,membrane glycoprotein,Human coronavirus HKU1,HKU1/035549/USA/2024,223,2024-02-03
XUM36660,GenBank,PV685451,,nucleocapsid protein,Human coronavirus HKU1,HKU1/035549/USA/2024,441,2024-02-03
XUM36661,GenBank,PV685451,,internal protein,Human coronavirus HKU1,HKU1/035549/USA/2024,205,2024-02-03
XUM36662,GenBank,PV685452,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/073169/USA/2024,7176,2024-04-05
XUM36663,GenBank,PV685452,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/073169/USA/2024,4465,2024-04-05
XUM36664,GenBank,PV685452,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/073169/USA/2024,386,2024-04-05
XUM36665,GenBank,PV685452,,spike protein,Human coronavirus HKU1,HKU1/073169/USA/2024,1356,2024-04-05
XUM36666,GenBank,PV685452,,nonstructural protein,Human coronavirus HKU1,HKU1/073169/USA/2024,109,2024-04-05
XUM36667,GenBank,PV685452,,envelope protein,Human coronavirus HKU1,HKU1/073169/USA/2024,82,2024-04-05
XUM36668,GenBank,PV685452,,membrane glycoprotein,Human coronavirus HKU1,HKU1/073169/USA/2024,223,2024-04-05
XUM36669,GenBank,PV685452,,nucleocapsid protein,Human coronavirus HKU1,HKU1/073169/USA/2024,441,2024-04-05
XUM36670,GenBank,PV685452,,internal protein,Human coronavirus HKU1,HKU1/073169/USA/2024,205,2024-04-05
XUM36671,GenBank,PV685453,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/073328/USA/2024,7176,2024-04-05
XUM36672,GenBank,PV685453,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/073328/USA/2024,4465,2024-04-05
XUM36673,GenBank,PV685453,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/073328/USA/2024,386,2024-04-05
XUM36674,GenBank,PV685453,,spike protein,Human coronavirus HKU1,HKU1/073328/USA/2024,1356,2024-04-05
XUM36675,GenBank,PV685453,,nonstructural protein,Human coronavirus HKU1,HKU1/073328/USA/2024,109,2024-04-05
XUM36676,GenBank,PV685453,,envelope protein,Human coronavirus HKU1,HKU1/073328/USA/2024,82,2024-04-05
XUM36677,GenBank,PV685453,,membrane glycoprotein,Human coronavirus HKU1,HKU1/073328/USA/2024,223,2024-04-05
XUM36678,GenBank,PV685453,,nucleocapsid protein,Human coronavirus HKU1,HKU1/073328/USA/2024,441,2024-04-05
XUM36679,GenBank,PV685453,,internal protein,Human coronavirus HKU1,HKU1/073328/USA/2024,205,2024-04-05
XUM36680,GenBank,PV685454,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/084716/USA/2024,7181,2024-04-05
XUM36681,GenBank,PV685454,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/084716/USA/2024,4470,2024-04-05
XUM36682,GenBank,PV685454,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/084716/USA/2024,385,2024-04-05
XUM36683,GenBank,PV685454,,spike protein,Human coronavirus HKU1,HKU1/084716/USA/2024,1351,2024-04-05
XUM36684,GenBank,PV685454,,nonstructural protein,Human coronavirus HKU1,HKU1/084716/USA/2024,109,2024-04-05
XUM36685,GenBank,PV685454,,envelope protein,Human coronavirus HKU1,HKU1/084716/USA/2024,82,2024-04-05
XUM36686,GenBank,PV685454,,membrane glycoprotein,Human coronavirus HKU1,HKU1/084716/USA/2024,223,2024-04-05
XUM36687,GenBank,PV685454,,nucleocapsid protein,Human coronavirus HKU1,HKU1/084716/USA/2024,441,2024-04-05
XUM36688,GenBank,PV685454,,internal protein,Human coronavirus HKU1,HKU1/084716/USA/2024,205,2024-04-05
XUM36689,GenBank,PV685455,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/108096/USA/2024,7151,2024-04-08
XUM36690,GenBank,PV685455,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/108096/USA/2024,4440,2024-04-08
XUM36691,GenBank,PV685455,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/108096/USA/2024,385,2024-04-08
XUM36692,GenBank,PV685455,,spike protein,Human coronavirus HKU1,HKU1/108096/USA/2024,1351,2024-04-08
XUM36693,GenBank,PV685455,,nonstructural protein,Human coronavirus HKU1,HKU1/108096/USA/2024,109,2024-04-08
XUM36694,GenBank,PV685455,,envelope protein,Human coronavirus HKU1,HKU1/108096/USA/2024,82,2024-04-08
XUM36695,GenBank,PV685455,,membrane glycoprotein,Human coronavirus HKU1,HKU1/108096/USA/2024,223,2024-04-08
XUM36696,GenBank,PV685455,,nucleocapsid protein,Human coronavirus HKU1,HKU1/108096/USA/2024,441,2024-04-08
XUM36697,GenBank,PV685455,,internal protein,Human coronavirus HKU1,HKU1/108096/USA/2024,205,2024-04-08
XUM36698,GenBank,PV685456,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/142140/USA/2024,7135,2024-04-10
XUM36699,GenBank,PV685456,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/142140/USA/2024,4465,2024-04-10
XUM36700,GenBank,PV685456,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/142140/USA/2024,344,2024-04-10
XUM36701,GenBank,PV685456,,spike protein,Human coronavirus HKU1,HKU1/142140/USA/2024,1342,2024-04-10
XUM36702,GenBank,PV685456,,nonstructural protein,Human coronavirus HKU1,HKU1/142140/USA/2024,29,2024-04-10
XUM36703,GenBank,PV685456,,envelope protein,Human coronavirus HKU1,HKU1/142140/USA/2024,72,2024-04-10
XUM36704,GenBank,PV685456,,membrane glycoprotein,Human coronavirus HKU1,HKU1/142140/USA/2024,191,2024-04-10
XUM36705,GenBank,PV685456,,nucleocapsid protein,Human coronavirus HKU1,HKU1/142140/USA/2024,441,2024-04-10
XUM36706,GenBank,PV685456,,internal protein,Human coronavirus HKU1,HKU1/142140/USA/2024,205,2024-04-10
XUM36707,GenBank,PV685457,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/164722/USA/2024,7151,2024-02-11
XUM36708,GenBank,PV685457,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/164722/USA/2024,4440,2024-02-11
XUM36709,GenBank,PV685457,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/164722/USA/2024,385,2024-02-11
XUM36710,GenBank,PV685457,,spike protein,Human coronavirus HKU1,HKU1/164722/USA/2024,1351,2024-02-11
XUM36711,GenBank,PV685457,,nonstructural protein,Human coronavirus HKU1,HKU1/164722/USA/2024,109,2024-02-11
XUM36712,GenBank,PV685457,,envelope protein,Human coronavirus HKU1,HKU1/164722/USA/2024,82,2024-02-11
XUM36713,GenBank,PV685457,,membrane glycoprotein,Human coronavirus HKU1,HKU1/164722/USA/2024,223,2024-02-11
XUM36714,GenBank,PV685457,,nucleocapsid protein,Human coronavirus HKU1,HKU1/164722/USA/2024,441,2024-02-11
XUM36715,GenBank,PV685457,,internal protein,Human coronavirus HKU1,HKU1/164722/USA/2024,205,2024-02-11
XUM36716,GenBank,PV685458,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/181583/USA/2024,7181,2024-03-12
XUM36717,GenBank,PV685458,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/181583/USA/2024,4470,2024-03-12
XUM36718,GenBank,PV685458,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/181583/USA/2024,386,2024-03-12
XUM36719,GenBank,PV685458,,spike protein,Human coronavirus HKU1,HKU1/181583/USA/2024,1356,2024-03-12
XUM36720,GenBank,PV685458,,nonstructural protein,Human coronavirus HKU1,HKU1/181583/USA/2024,109,2024-03-12
XUM36721,GenBank,PV685458,,envelope protein,Human coronavirus HKU1,HKU1/181583/USA/2024,82,2024-03-12
XUM36722,GenBank,PV685458,,membrane glycoprotein,Human coronavirus HKU1,HKU1/181583/USA/2024,223,2024-03-12
XUM36723,GenBank,PV685458,,nucleocapsid protein,Human coronavirus HKU1,HKU1/181583/USA/2024,441,2024-03-12
XUM36724,GenBank,PV685458,,internal protein,Human coronavirus HKU1,HKU1/181583/USA/2024,205,2024-03-12
XUM36725,GenBank,PV685459,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/192689/USA/2024,7175,2024-04-12
XUM36726,GenBank,PV685459,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/192689/USA/2024,4465,2024-04-12
XUM36727,GenBank,PV685459,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/192689/USA/2024,386,2024-04-12
XUM36728,GenBank,PV685459,,spike protein,Human coronavirus HKU1,HKU1/192689/USA/2024,1356,2024-04-12
XUM36729,GenBank,PV685459,,nonstructural protein,Human coronavirus HKU1,HKU1/192689/USA/2024,109,2024-04-12
XUM36730,GenBank,PV685459,,envelope protein,Human coronavirus HKU1,HKU1/192689/USA/2024,82,2024-04-12
XUM36731,GenBank,PV685459,,membrane glycoprotein,Human coronavirus HKU1,HKU1/192689/USA/2024,223,2024-04-12
XUM36732,GenBank,PV685459,,nucleocapsid protein,Human coronavirus HKU1,HKU1/192689/USA/2024,441,2024-04-12
XUM36733,GenBank,PV685459,,internal protein,Human coronavirus HKU1,HKU1/192689/USA/2024,205,2024-04-12
XUM36734,GenBank,PV685460,,ORF1a polyprotein,Human coronavirus HKU1,HKU1/240424/USA/2024,4470,2024-04-15
XUM36735,GenBank,PV685460,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1/240424/USA/2024,7179,2024-04-15
XUM36736,GenBank,PV685460,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1/240424/USA/2024,373,2024-04-15
XUM36737,GenBank,PV685460,,spike protein,Human coronavirus HKU1,HKU1/240424/USA/2024,1356,2024-04-15
XUM36738,GenBank,PV685460,,nonstructural protein,Human coronavirus HKU1,HKU1/240424/USA/2024,109,2024-04-15
XUM36739,GenBank,PV685460,,envelope protein,Human coronavirus HKU1,HKU1/240424/USA/2024,82,2024-04-15
