Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
XTJ86209,GenBank,PP949534,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2019/9,540,2019
XTJ86210,GenBank,PP949535,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeN/2019/1,540,2019
XTJ86211,GenBank,PP949536,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2018/7,540,2018
XTJ86212,GenBank,PP949537,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2019/13,540,2019
XTJ86213,GenBank,PP949538,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2020/10,540,2020
XTJ86214,GenBank,PP949539,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2019/6,540,2019
XTJ86215,GenBank,PP949540,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/ZJ/2019/2,540,2019
XTJ86216,GenBank,PP949541,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2019/14,540,2019
XTJ86217,GenBank,PP949542,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2018/6,540,2018
XTJ86218,GenBank,PP949543,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2020/18,540,2020
XTJ86219,GenBank,PP949544,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2019/5,540,2019
XTJ86220,GenBank,PP949545,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2019/12,540,2019
XTJ86221,GenBank,PP949546,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2019/19,540,2019
XTJ86222,GenBank,PP949547,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2020/23,540,2020
XTJ86223,GenBank,PP949548,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2021/23,538,2021
XTJ86224,GenBank,PP949549,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2021/24,540,2021
XTJ86225,GenBank,PP949550,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2021/29,540,2021
XTJ86226,GenBank,PP949551,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2021/26,540,2021
XTJ86227,GenBank,PP949552,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2020/12,540,2020
XTJ86228,GenBank,PP949553,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2021/25,540,2021
XTJ86229,GenBank,PP949554,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2021/24,540,2021
XTJ86230,GenBank,PP949555,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2019/13,540,2019
XTJ86231,GenBank,PP949556,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2020/18,540,2020
XTJ86232,GenBank,PP949557,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2019/11,540,2019
XTJ86233,GenBank,PP949558,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2019/12,540,2019
XTJ86234,GenBank,PP949559,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2020/16,540,2020
XTJ86235,GenBank,PP949560,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2020/17,540,2020
XTJ86236,GenBank,PP949561,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2021/11,540,2021
XTJ86237,GenBank,PP949562,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2020/19,540,2020
XTJ86238,GenBank,PP949563,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/GX/2021/1,540,2021
XTJ86239,GenBank,PP949564,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2021/32,540,2021
XTJ86240,GenBank,PP949565,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2021/30,540,2021
XTJ86241,GenBank,PP949566,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2021/31,540,2021
XTJ86242,GenBank,PP949567,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2021/11,540,2021
XTJ86243,GenBank,PP949568,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2021/12,540,2021
XTJ86244,GenBank,PP949569,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeN/2021/2,540,2021
XWV27838,GenBank,PV818074,,spike protein,Infectious bronchitis virus,IBV-NIAB-FSD-PAK-001-2025 S1,129,2025-03
XWV27839,GenBank,PV818075,,spike protein,Infectious bronchitis virus,IBV-NIAB-FSD-PAK-002-2025 S1,129,2025-02
XWV27840,GenBank,PV818076,,spike protein,Infectious bronchitis virus,IBV-NIAB-FSD-PAK-003-2025 S1,129,2025-04
XVY21045,GenBank,PV782911,,spike glycoprotein,Infectious bronchitis virus,RLQP6-PG181,151,2025
XVY21047,GenBank,PV782913,,spike glycoprotein,Infectious bronchitis virus,RLQP-F987,159,2025
XUD99391,GenBank,PV679989,,accessory protein 6b,Infectious bronchitis virus,gammaCoV/ck/China/I0737/17,74,2025-01-09
XUA29628,GenBank,PV638764,,spike glycoprotein,Infectious bronchitis virus,Egy-1,147,2025-05
XUA29629,GenBank,PV638765,,spike glycoprotein,Infectious bronchitis virus,Egy-2,147,2025-05
XUA29630,GenBank,PV638766,,spike glycoprotein,Infectious bronchitis virus,Egy-3,147,2025-05
XUA29631,GenBank,PV638767,,spike glycoprotein,Infectious bronchitis virus,Egy-4,147,2025-05
XUA29632,GenBank,PV638768,,spike glycoprotein,Infectious bronchitis virus,Egy-5,147,2025-05
XUA31605,GenBank,PV657375,,spike glycoprotein S1 subunit,Infectious bronchitis virus,HOGR01,113,2025-03
XUA31606,GenBank,PV657376,,spike glycoprotein S1 subunit,Infectious bronchitis virus,HOGR02,121,2025-03
XTP83300,GenBank,PV612457,,spike protein,Infectious bronchitis virus,NewValley-2-EGYIBV-GI23-2024,564,2025
XTP83301,GenBank,PV612458,,spike protein,Infectious bronchitis virus,BeniSeuf-1-EGYIBV-GI23-2025,564,2025
XPZ24669,GenBank,PP585473,,spike protein,Infectious bronchitis virus,MA2,152,2020-03
XPZ24670,GenBank,PP585474,,spike protein,Infectious bronchitis virus,MA3,142,2020
XTJ60455,GenBank,PV600632,,spike protein,Infectious bronchitis virus,MY/IBV/Mass/2025,114,2025-03-20
XTJ60456,GenBank,PV600633,,spike protein,Infectious bronchitis virus,MY/Mass/f/2025,114,2025-03-20
XTJ60457,GenBank,PV600634,,spike protein,Infectious bronchitis virus,MY/QX/b/2025,114,2025-03-20
XTJ60458,GenBank,PV600635,,spike protein,Infectious bronchitis virus,MY/GI-13/2025,114,2025-03-20
XTJ60461,GenBank,PV600638,,spike protein,Infectious bronchitis virus,TAJ/IBV/2024,117,2024-09-28
XSS97047,GenBank,PV600356,,ORF1a polyprotein,Infectious bronchitis virus,P3-C2/2022/SA,272,2022-12-06
XSS97048,GenBank,PV600357,,ORF1a polyprotein,Infectious bronchitis virus,P4-C6/2022/SA,191,2022-12-06
XSS97049,GenBank,PV600358,,spike protein,Infectious bronchitis virus,P4-C13/2022/SA,83,2022-12-06
BFU31759,GenBank,LC849712,,spike glycoprotein 1,Infectious bronchitis virus,,544,2023
BFU31760,GenBank,LC849713,,spike glycoprotein 1,Infectious bronchitis virus,,540,2023
BFU31761,GenBank,LC849714,,spike glycoprotein 1,Infectious bronchitis virus,,544,2023
BFU31762,GenBank,LC849715,,spike glycoprotein 1,Infectious bronchitis virus,,544,2024
BFU31763,GenBank,LC849716,,spike glycoprotein 1,Infectious bronchitis virus,,544,2024
BFU31764,GenBank,LC849717,,spike glycoprotein 1,Infectious bronchitis virus,,540,2024
XSC61414,GenBank,PV568090,,spike glycoprotein S1 subunit,Infectious bronchitis virus,,114,2025-03-20
XSC61415,GenBank,PV568091,,spike glycoprotein S1 subunit,Infectious bronchitis virus,,114,2025-03-20
XSC61416,GenBank,PV568092,,spike glycoprotein S1 subunit,Infectious bronchitis virus,,114,2025-03-20
XRL86389,GenBank,PQ510737,,polyprotein 1ab,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,6630,2008
XRL86390,GenBank,PQ510737,,spike protein,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,1165,2008
XRL86391,GenBank,PQ510737,,3a protein,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,57,2008
XRL86392,GenBank,PQ510737,,3b protein,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,62,2008
XRL86393,GenBank,PQ510737,,envelope protein,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,108,2008
XRL86394,GenBank,PQ510737,,membrane protein,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,225,2008
XRL86395,GenBank,PQ510737,,5a protein,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,65,2008
XRL86396,GenBank,PQ510737,,5b protein,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,82,2008
XRL86397,GenBank,PQ510737,,nucleocapsid protein,Infectious bronchitis virus,ck/CH/LGX/2008/03_H12,409,2008
XRL86398,GenBank,PQ510738,,polyprotein 1ab,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,6630,2009
XRL86399,GenBank,PQ510738,,spike protein,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,1155,2009
XRL86400,GenBank,PQ510738,,3a protein,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,57,2009
XRL86401,GenBank,PQ510738,,3b protein,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,62,2009
XRL86402,GenBank,PQ510738,,envelope protein,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,108,2009
XRL86403,GenBank,PQ510738,,membrane protein,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,225,2009
XRL86404,GenBank,PQ510738,,5a protein,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,65,2009
XRL86405,GenBank,PQ510738,,5b protein,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,82,2009
XRL86406,GenBank,PQ510738,,nucleocapsid protein,Infectious bronchitis virus,ck/CH/LGD/2009/01_M13,409,2009
XRL86407,GenBank,PQ510739,,polyprotein 1ab,Infectious bronchitis virus,CK/CH/GX/NN17,6630,2017
XRL86408,GenBank,PQ510739,,spike protein,Infectious bronchitis virus,CK/CH/GX/NN17,1170,2017
XRL86409,GenBank,PQ510739,,3a protein,Infectious bronchitis virus,CK/CH/GX/NN17,57,2017
XRL86410,GenBank,PQ510739,,3b protein,Infectious bronchitis virus,CK/CH/GX/NN17,62,2017
XRL86411,GenBank,PQ510739,,envelope protein,Infectious bronchitis virus,CK/CH/GX/NN17,103,2017
XRL86412,GenBank,PQ510739,,membrane protein,Infectious bronchitis virus,CK/CH/GX/NN17,226,2017
XRL86413,GenBank,PQ510739,,5a protein,Infectious bronchitis virus,CK/CH/GX/NN17,65,2017
XRL86414,GenBank,PQ510739,,5b protein,Infectious bronchitis virus,CK/CH/GX/NN17,82,2017
XRL86415,GenBank,PQ510739,,nucleocapsid protein,Infectious bronchitis virus,CK/CH/GX/NN17,408,2017
XRL86416,GenBank,PQ510740,,polyprotein 1ab,Infectious bronchitis virus,CK/CH/GX/NN23,6630,2023
XRL86417,GenBank,PQ510740,,spike protein,Infectious bronchitis virus,CK/CH/GX/NN23,1165,2023
XRL86418,GenBank,PQ510740,,3a protein,Infectious bronchitis virus,CK/CH/GX/NN23,57,2023
XRL86419,GenBank,PQ510740,,3b protein,Infectious bronchitis virus,CK/CH/GX/NN23,62,2023
XRL86420,GenBank,PQ510740,,envelope protein,Infectious bronchitis virus,CK/CH/GX/NN23,102,2023
XRL86421,GenBank,PQ510740,,membrane protein,Infectious bronchitis virus,CK/CH/GX/NN23,225,2023
XRL86422,GenBank,PQ510740,,5a protein,Infectious bronchitis virus,CK/CH/GX/NN23,65,2023
XRL86423,GenBank,PQ510740,,5b protein,Infectious bronchitis virus,CK/CH/GX/NN23,82,2023
XRL86424,GenBank,PQ510740,,nucleocapsid protein,Infectious bronchitis virus,CK/CH/GX/NN23,409,2023
XRL86425,GenBank,PQ510741,,polyprotein 1ab,Infectious bronchitis virus,GX191219,6630,2019-12-19
XRL86426,GenBank,PQ510741,,spike protein,Infectious bronchitis virus,GX191219,1165,2019-12-19
XRL86427,GenBank,PQ510741,,3a protein,Infectious bronchitis virus,GX191219,57,2019-12-19
XRL86428,GenBank,PQ510741,,3b protein,Infectious bronchitis virus,GX191219,64,2019-12-19
XRL86429,GenBank,PQ510741,,envelope protein,Infectious bronchitis virus,GX191219,109,2019-12-19
XRL86430,GenBank,PQ510741,,membrane protein,Infectious bronchitis virus,GX191219,225,2019-12-19
XRL86431,GenBank,PQ510741,,5a protein,Infectious bronchitis virus,GX191219,65,2019-12-19
XRL86432,GenBank,PQ510741,,5b protein,Infectious bronchitis virus,GX191219,82,2019-12-19
XRL86433,GenBank,PQ510741,,nucleocapsid protein,Infectious bronchitis virus,GX191219,409,2019-12-19
XRL86434,GenBank,PQ510742,,polyprotein 1ab,Infectious bronchitis virus,CK/CH/GX/YL21,6630,2021
XRL86435,GenBank,PQ510742,,spike protein,Infectious bronchitis virus,CK/CH/GX/YL21,1165,2021
XRL86436,GenBank,PQ510742,,3a protein,Infectious bronchitis virus,CK/CH/GX/YL21,57,2021
XRL86437,GenBank,PQ510742,,3b protein,Infectious bronchitis virus,CK/CH/GX/YL21,62,2021
XRL86438,GenBank,PQ510742,,envelope protein,Infectious bronchitis virus,CK/CH/GX/YL21,108,2021
XRL86439,GenBank,PQ510742,,membrane protein,Infectious bronchitis virus,CK/CH/GX/YL21,225,2021
XRL86440,GenBank,PQ510742,,5a protein,Infectious bronchitis virus,CK/CH/GX/YL21,65,2021
XRL86441,GenBank,PQ510742,,5b protein,Infectious bronchitis virus,CK/CH/GX/YL21,82,2021
XRL86442,GenBank,PQ510742,,nucleocapsid protein,Infectious bronchitis virus,CK/CH/GX/YL21,409,2021
XRL86443,GenBank,PQ510743,,polyprotein 1ab,Infectious bronchitis virus,CK/CH/GX/ZS19,6125,2019
XRL86444,GenBank,PQ510743,,spike protein,Infectious bronchitis virus,CK/CH/GX/ZS19,1160,2019
XRL86445,GenBank,PQ510743,,3a protein,Infectious bronchitis virus,CK/CH/GX/ZS19,57,2019
XRL86446,GenBank,PQ510743,,3b protein,Infectious bronchitis virus,CK/CH/GX/ZS19,62,2019
XRL86447,GenBank,PQ510743,,envelope protein,Infectious bronchitis virus,CK/CH/GX/ZS19,108,2019
XRL86448,GenBank,PQ510743,,membrane protein,Infectious bronchitis virus,CK/CH/GX/ZS19,225,2019
XRL86449,GenBank,PQ510743,,5a protein,Infectious bronchitis virus,CK/CH/GX/ZS19,65,2019
XRL86450,GenBank,PQ510743,,5b protein,Infectious bronchitis virus,CK/CH/GX/ZS19,82,2019
XRL86451,GenBank,PQ510743,,nucleocapsid protein,Infectious bronchitis virus,CK/CH/GX/ZS19,409,2019
XRL86452,GenBank,PQ510744,,polyprotein 1ab,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,6630,2008
XRL86453,GenBank,PQ510744,,spike protein,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,1155,2008
XRL86454,GenBank,PQ510744,,3a protein,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,57,2008
XRL86455,GenBank,PQ510744,,3b protein,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,72,2008
XRL86456,GenBank,PQ510744,,envelope protein,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,109,2008
XRL86457,GenBank,PQ510744,,membrane protein,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,226,2008
XRL86458,GenBank,PQ510744,,5a protein,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,65,2008
XRL86459,GenBank,PQ510744,,5b protein,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,82,2008
XRL86460,GenBank,PQ510744,,nucleocapsid protein,Infectious bronchitis virus,ck/CH/LHN/2008/02_M14,409,2008
XRL86461,GenBank,PQ510745,,polyprotein 1ab,Infectious bronchitis virus,CK/CH/HeN/LH20,6630,2020
XRL86462,GenBank,PQ510745,,spike protein,Infectious bronchitis virus,CK/CH/HeN/LH20,1171,2020
XRL86463,GenBank,PQ510745,,3a protein,Infectious bronchitis virus,CK/CH/HeN/LH20,57,2020
XRL86464,GenBank,PQ510745,,3b protein,Infectious bronchitis virus,CK/CH/HeN/LH20,62,2020
XRL86465,GenBank,PQ510745,,envelope protein,Infectious bronchitis virus,CK/CH/HeN/LH20,103,2020
XRL86466,GenBank,PQ510745,,membrane protein,Infectious bronchitis virus,CK/CH/HeN/LH20,226,2020
XRL86467,GenBank,PQ510745,,5a protein,Infectious bronchitis virus,CK/CH/HeN/LH20,65,2020
XRL86468,GenBank,PQ510745,,5b protein,Infectious bronchitis virus,CK/CH/HeN/LH20,82,2020
XRL86469,GenBank,PQ510745,,nucleocapsid protein,Infectious bronchitis virus,CK/CH/HeN/LH20,409,2020
XRL86470,GenBank,PQ510746,,polyprotein 1ab,Infectious bronchitis virus,CK/CH/HuN/NX21,6630,2021
XRL86471,GenBank,PQ510746,,spike protein,Infectious bronchitis virus,CK/CH/HuN/NX21,1165,2021
XRL86472,GenBank,PQ510746,,3a protein,Infectious bronchitis virus,CK/CH/HuN/NX21,57,2021
XRL86473,GenBank,PQ510746,,3b protein,Infectious bronchitis virus,CK/CH/HuN/NX21,62,2021
XRL86474,GenBank,PQ510746,,envelope protein,Infectious bronchitis virus,CK/CH/HuN/NX21,108,2021
XRL86475,GenBank,PQ510746,,membrane protein,Infectious bronchitis virus,CK/CH/HuN/NX21,225,2021
XRL86476,GenBank,PQ510746,,5a protein,Infectious bronchitis virus,CK/CH/HuN/NX21,65,2021
XRL86477,GenBank,PQ510746,,5b protein,Infectious bronchitis virus,CK/CH/HuN/NX21,82,2021
XRL86478,GenBank,PQ510746,,nucleocapsid protein,Infectious bronchitis virus,CK/CH/HuN/NX21,409,2021
