Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Species,Length,Protein
YP_009944303,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,598,nsp13
YP_009944304,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,524,nsp14
YP_009944305,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,343,nsp15
YP_009944306,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,303,nsp16
YP_009047202,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,7078,1AB polyprotein
YP_009047203,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,4391,1A polyprotein
YP_009047204,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,1353,spike protein
YP_009047205,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,103,NS3 protein
YP_009047206,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,109,NS4A protein
YP_009047207,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,246,NS4B protein
YP_009047208,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,224,NS5 protein
YP_009047209,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,82,envelope protein
YP_009047210,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,219,membrane protein
YP_009047211,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,413,nucleocapsid protein
YP_009047212,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,112,ORF8b protein
YP_009047213,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,193,nsp1 protein
YP_009047214,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,660,nsp2 protein
YP_009047215,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,1887,nsp3 protein
YP_009047216,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,507,nsp4 protein
YP_009047217,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,306,nsp5 protein
YP_009047218,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,292,nsp6 protein
YP_009047219,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,83,nsp7 protein
YP_009047220,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,199,nsp8 protein
YP_009047221,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,110,nsp9 protein
YP_009047222,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,140,nsp10 protein
YP_009047223,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,933,nsp12 protein
YP_009047224,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,598,nsp13 protein
YP_009047225,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,524,nsp14 protein
YP_009047226,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,343,nsp15 protein
YP_009047227,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,303,nsp16 protein
YP_009047228,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,14,nsp11 protein
YP_009047229,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,193,nsp1 protein
YP_009047230,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,660,nsp2 protein
YP_009047231,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,1887,nsp3 protein
YP_009047232,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,507,nsp4 protein
YP_009047233,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,306,nsp5 protein
YP_009047234,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,292,nsp6 protein
YP_009047235,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,83,nsp7 protein
YP_009047236,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,199,nsp8 protein
YP_009047237,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,110,nsp9 protein
YP_009047238,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,Middle East respiratory syndrome-related coronavirus,140,nsp10 protein
YP_007188577,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab polyprotein
YP_007188578,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,4391,ORF1a polyprotein
YP_007188579,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,1353,spike protein
YP_007188580,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,103,NS3A protein
YP_007188581,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,109,NS3B protein
YP_007188582,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,246,NS3C protein
YP_007188583,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,224,NS3D protein
YP_007188584,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,82,envelope protein
YP_007188585,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,219,membrane protein
YP_007188586,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,411,nucleocapsid protein
XUM79107,Middle East respiratory syndrome-related coronavirus,GenBank,,PV719792,Betacoronavirus cameli,212,spike glycoprotein
XUM79108,Middle East respiratory syndrome-related coronavirus,GenBank,,PV719793,Betacoronavirus cameli,172,spike glycoprotein
WWZ68787,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,7078,ORF1b protein
WWZ68788,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,4391,ORF1a protein
WWZ68789,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,1353,S protein
WWZ68790,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,103,NS3A protein
WWZ68791,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,109,NS3B protein
WWZ68792,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,246,NS3C protein
WWZ68793,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,224,NS3D protein
WWZ68794,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,82,E protein
WWZ68795,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,219,M protein
WWZ68796,Middle East respiratory syndrome-related coronavirus,GenBank,,PP086048,Betacoronavirus cameli,413,N protein
WWV93342,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,7078,ORF1ab
WWV93343,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,4391,ORF1a
WWV93344,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,1353,S protein
WWV93345,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,103,ORF3
WWV93346,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,109,ORF4a
WWV93347,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,246,ORF4b
WWV93348,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,224,ORF5
WWV93349,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,82,E protein
WWV93350,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,219,M protein
WWV93351,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,413,N protein
WWV93352,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987487,Betacoronavirus cameli,143,ORF8b
WWV93353,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,7078,ORF1ab
WWV93354,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,4391,ORF1a
WWV93355,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,1353,S protein
WWV93356,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,103,ORF3
WWV93357,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,109,ORF4a
WWV93358,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,246,ORF4b
WWV93359,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,224,ORF5
WWV93360,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,82,E protein
WWV93361,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,219,M protein
WWV93362,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,413,N protein
WWV93363,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987488,Betacoronavirus cameli,143,ORF8b
WWV93364,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,7078,ORF1ab
WWV93365,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,4391,ORF1a
WWV93366,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,1353,S protein
WWV93367,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,103,ORF3
WWV93368,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,109,ORF4a
WWV93369,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,246,ORF4b
WWV93370,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,224,ORF5
WWV93371,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,82,E protein
WWV93372,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,219,M protein
WWV93373,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,413,N protein
WWV93374,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987489,Betacoronavirus cameli,143,ORF8b
WWV93375,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,7078,ORF1ab
WWV93376,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,4391,ORF1a
WWV93377,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,1353,S protein
WWV93378,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,103,ORF3
WWV93379,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,109,ORF4a
WWV93380,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,246,ORF4b
WWV93381,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,224,ORF5
WWV93382,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,82,E protein
WWV93383,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,219,M protein
WWV93384,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,413,N protein
WWV93385,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987490,Betacoronavirus cameli,143,ORF8b
WWV93386,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,7078,ORF1ab
WWV93387,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,4391,ORF1a
WWV93388,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,1353,S protein
WWV93389,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,103,ORF3
WWV93390,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,109,ORF4a
WWV93391,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,246,ORF4b
WWV93392,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,224,ORF5
WWV93393,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,82,E protein
WWV93394,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,219,M protein
WWV93395,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,413,N protein
WWV93396,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987491,Betacoronavirus cameli,143,ORF8b
WWV93397,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,7078,ORF1ab
WWV93398,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,4391,ORF1a
WWV93399,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,1353,S protein
WWV93400,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,103,ORF3
WWV93401,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,109,ORF4a
WWV93402,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,246,ORF4b
WWV93403,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,224,ORF5
WWV93404,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,82,E protein
WWV93405,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,219,M protein
WWV93406,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,413,N protein
WWV93407,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987492,Betacoronavirus cameli,143,ORF8b
WWV93408,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,7078,ORF1ab
WWV93409,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,4391,ORF1a
WWV93410,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,1353,S protein
WWV93411,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,103,ORF3
WWV93412,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,109,ORF4a
WWV93413,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,246,ORF4b
WWV93414,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,224,ORF5
WWV93415,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,82,E protein
WWV93416,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,219,M protein
WWV93417,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,413,N protein
WWV93418,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987493,Betacoronavirus cameli,143,ORF8b
WWV93419,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,7078,ORF1ab
WWV93420,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,4391,ORF1a
WWV93421,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,1353,S protein
WWV93422,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,103,ORF3
WWV93423,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,109,ORF4a
WWV93424,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,246,ORF4b
WWV93425,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,224,ORF5
WWV93426,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,82,E protein
WWV93427,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,219,M protein
WWV93428,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,413,N protein
WWV93429,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987494,Betacoronavirus cameli,143,ORF8b
WWV93430,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,7078,ORF1ab
WWV93431,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,4391,ORF1a
WWV93432,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,1353,S protein
WWV93433,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,103,ORF3
WWV93434,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,109,ORF4a
WWV93435,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,246,ORF4b
WWV93436,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,224,ORF5
WWV93437,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,82,E protein
WWV93438,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,219,M protein
WWV93439,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,413,N protein
WWV93440,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987495,Betacoronavirus cameli,143,ORF8b
WWV93441,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,7078,ORF1ab
WWV93442,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,4391,ORF1a
WWV93443,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,1353,S protein
WWV93444,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,103,ORF3
WWV93445,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,109,ORF4a
WWV93446,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,246,ORF4b
WWV93447,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,224,ORF5
WWV93448,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,82,E protein
WWV93449,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,219,M protein
WWV93450,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,413,N protein
WWV93451,Middle East respiratory syndrome-related coronavirus,GenBank,,OR987496,Betacoronavirus cameli,143,ORF8b
XNJ62307,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,7078,polyprotein orf1ab
XNJ62308,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,4391,polyprotein orf1a
XNJ62309,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,1353,spike protein
XNJ62310,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,103,ORF3 protein
XNJ62311,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,109,ORF4a protein
XNJ62312,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,246,ORF4b protein
XNJ62313,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,224,ORF5 protein
XNJ62314,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,82,envelope protein
XNJ62315,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,219,membrane protein
XNJ62316,Middle East respiratory syndrome-related coronavirus,GenBank,,PV000776,Betacoronavirus cameli,413,nucleocapsid protein
XCG98107,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,7078,orf1ab polyprotein
XCG98108,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,4391,orf1a polyprotein
XCG98109,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,1353,S protein
XCG98110,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,103,orf3 protein
XCG98111,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,109,orf4a protein
XCG98112,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,246,orf4b protein
XCG98113,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,224,orf5 protein
XCG98114,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,82,E protein
XCG98115,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,219,M protein
XCG98116,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,413,N protein
XCG98117,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952162,Betacoronavirus cameli,143,orf8b protein
XCG98118,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952163,Betacoronavirus cameli,7078,orf1ab polyprotein
XCG98119,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952163,Betacoronavirus cameli,4391,orf1a polyprotein
XCG98120,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952163,Betacoronavirus cameli,1351,S protein
XCG98121,Middle East respiratory syndrome-related coronavirus,GenBank,,PP952163,Betacoronavirus cameli,103,orf3 protein
