Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
XTP86180,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,101,ORF7a,2012
XTP86181,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,213,ORF7b,2012
QTF66025,Canine coronavirus 2,GenBank,,MW505904,,Alphacoronavirus 1,382,nucleocapsid,2008
QTF66026,Canine coronavirus 2,GenBank,,MW505905,,Alphacoronavirus 1,101,7a,2008
AWN00650,Canine coronavirus 2,GenBank,,MF095847,,Alphacoronavirus 1,1454,spike,2001
AWN00651,Canine coronavirus 2,GenBank,,MF095847,,Alphacoronavirus 1,99,3a,2001
AWN00652,Canine coronavirus 2,GenBank,,MF095847,,Alphacoronavirus 1,244,3c,2001
AWN00653,Canine coronavirus 2,GenBank,,MF095847,,Alphacoronavirus 1,82,envelope,2001
AWN00654,Canine coronavirus 2,GenBank,,MF095847,,Alphacoronavirus 1,262,matrix,2001
AWN00655,Canine coronavirus 2,GenBank,,MF095847,,Alphacoronavirus 1,382,nucleocapsid,2001
AWN00656,Canine coronavirus 2,GenBank,,MF095848,,Alphacoronavirus 1,1453,spike,2004
AWN00657,Canine coronavirus 2,GenBank,,MF095848,,Alphacoronavirus 1,99,3a,2004
AWN00658,Canine coronavirus 2,GenBank,,MF095848,,Alphacoronavirus 1,244,3c,2004
AWN00659,Canine coronavirus 2,GenBank,,MF095848,,Alphacoronavirus 1,82,envelope,2004
AWN00660,Canine coronavirus 2,GenBank,,MF095848,,Alphacoronavirus 1,261,matrix,2004
AWN00661,Canine coronavirus 2,GenBank,,MF095848,,Alphacoronavirus 1,382,nucleocapsid,2004
AWN00662,Canine coronavirus 2,GenBank,,MF095848,,Alphacoronavirus 1,101,7a,2004
AWN00663,Canine coronavirus 2,GenBank,,MF095849,,Alphacoronavirus 1,1452,spike,2007
AWN00664,Canine coronavirus 2,GenBank,,MF095849,,Alphacoronavirus 1,99,3a,2007
AWN00665,Canine coronavirus 2,GenBank,,MF095849,,Alphacoronavirus 1,71,3b,2007
AWN00666,Canine coronavirus 2,GenBank,,MF095849,,Alphacoronavirus 1,244,3c,2007
AWN00667,Canine coronavirus 2,GenBank,,MF095849,,Alphacoronavirus 1,82,envelope,2007
AWN00668,Canine coronavirus 2,GenBank,,MF095849,,Alphacoronavirus 1,262,matrix,2007
AWN00669,Canine coronavirus 2,GenBank,,MF095849,,Alphacoronavirus 1,382,nucleocapsid,2007
AWN00670,Canine coronavirus 2,GenBank,,MF095849,,Alphacoronavirus 1,101,7a,2007
AWN00671,Canine coronavirus 2,GenBank,,MF095850,,Alphacoronavirus 1,1452,spike,2007
AWN00672,Canine coronavirus 2,GenBank,,MF095850,,Alphacoronavirus 1,99,3a,2007
AWN00673,Canine coronavirus 2,GenBank,,MF095850,,Alphacoronavirus 1,71,3b,2007
AWN00674,Canine coronavirus 2,GenBank,,MF095850,,Alphacoronavirus 1,244,3c,2007
AWN00675,Canine coronavirus 2,GenBank,,MF095850,,Alphacoronavirus 1,82,envelope,2007
AWN00676,Canine coronavirus 2,GenBank,,MF095850,,Alphacoronavirus 1,262,matrix,2007
AWN00677,Canine coronavirus 2,GenBank,,MF095850,,Alphacoronavirus 1,382,nucleocapsid,2007
AWN00678,Canine coronavirus 2,GenBank,,MF095850,,Alphacoronavirus 1,101,7a,2007
AWN00679,Canine coronavirus 2,GenBank,,MF095851,,Alphacoronavirus 1,1454,spike,2011
AWN00680,Canine coronavirus 2,GenBank,,MF095851,,Alphacoronavirus 1,99,3a,2011
AWN00681,Canine coronavirus 2,GenBank,,MF095851,,Alphacoronavirus 1,244,3c,2011
AWN00682,Canine coronavirus 2,GenBank,,MF095851,,Alphacoronavirus 1,82,envelope,2011
AWN00683,Canine coronavirus 2,GenBank,,MF095851,,Alphacoronavirus 1,262,matrix,2011
AWN00684,Canine coronavirus 2,GenBank,,MF095851,,Alphacoronavirus 1,382,nucleocapsid,2011
AWN00685,Canine coronavirus 2,GenBank,,MF095851,,Alphacoronavirus 1,101,7a,2011
AWN00686,Canine coronavirus 2,GenBank,,MF095851,,Alphacoronavirus 1,213,7b,2011
AWN00687,Canine coronavirus 2,GenBank,,MF095852,,Alphacoronavirus 1,1454,spike,2011
AWN00688,Canine coronavirus 2,GenBank,,MF095852,,Alphacoronavirus 1,99,3a,2011
AWN00689,Canine coronavirus 2,GenBank,,MF095852,,Alphacoronavirus 1,244,3c,2011
AWN00690,Canine coronavirus 2,GenBank,,MF095852,,Alphacoronavirus 1,82,envelope,2011
AWN00691,Canine coronavirus 2,GenBank,,MF095852,,Alphacoronavirus 1,262,matrix,2011
AWN00692,Canine coronavirus 2,GenBank,,MF095852,,Alphacoronavirus 1,382,nucleocapsid,2011
AWN00693,Canine coronavirus 2,GenBank,,MF095852,,Alphacoronavirus 1,101,7a,2011
AWN00694,Canine coronavirus 2,GenBank,,MF095852,,Alphacoronavirus 1,213,7b,2011
AWN00695,Canine coronavirus 2,GenBank,,MF095853,,Alphacoronavirus 1,1454,spike,2012
AWN00696,Canine coronavirus 2,GenBank,,MF095853,,Alphacoronavirus 1,99,3a,2012
AWN00697,Canine coronavirus 2,GenBank,,MF095853,,Alphacoronavirus 1,244,3c,2012
AWN00698,Canine coronavirus 2,GenBank,,MF095853,,Alphacoronavirus 1,82,envelope,2012
AWN00699,Canine coronavirus 2,GenBank,,MF095853,,Alphacoronavirus 1,262,matrix,2012
AWN00700,Canine coronavirus 2,GenBank,,MF095853,,Alphacoronavirus 1,382,nucleocapsid,2012
AWN00701,Canine coronavirus 2,GenBank,,MF095853,,Alphacoronavirus 1,101,7a,2012
AWN00702,Canine coronavirus 2,GenBank,,MF095853,,Alphacoronavirus 1,213,7b,2012
AWN00703,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,1454,spike,2007
AWN00704,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,99,3a,2007
AWN00705,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,71,3b,2007
AWN00706,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,244,3c,2007
AWN00707,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,82,envelope,2007
AWN00708,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,262,matrix,2007
AWN00709,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,382,nucleocapsid,2007
AWN00710,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,101,7a,2007
AWN00711,Canine coronavirus 2,GenBank,,MF095854,,Alphacoronavirus 1,213,7b,2007
AWN00712,Canine coronavirus 2,GenBank,,MF095855,,Alphacoronavirus 1,1454,spike,2011
AWN00713,Canine coronavirus 2,GenBank,,MF095855,,Alphacoronavirus 1,99,3a,2011
AWN00714,Canine coronavirus 2,GenBank,,MF095855,,Alphacoronavirus 1,244,3c,2011
AWN00715,Canine coronavirus 2,GenBank,,MF095855,,Alphacoronavirus 1,82,envelope,2011
AWN00716,Canine coronavirus 2,GenBank,,MF095855,,Alphacoronavirus 1,262,matrix,2011
AWN00717,Canine coronavirus 2,GenBank,,MF095855,,Alphacoronavirus 1,382,nucleocapsid,2011
AWN00718,Canine coronavirus 2,GenBank,,MF095855,,Alphacoronavirus 1,101,7a,2011
AWN00719,Canine coronavirus 2,GenBank,,MF095855,,Alphacoronavirus 1,213,7b,2011
