Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
XRH68632,GenBank,PV484781,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23518/2025,77,2025-02-08
XRH68633,GenBank,PV484781,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23518/2025,226,2025-02-08
XRH68634,GenBank,PV484781,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23518/2025,377,2025-02-08
XRH68636,GenBank,PV484783,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23508/2025,6724,2025-02-06
XRH68637,GenBank,PV484783,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23508/2025,1355,2025-02-06
XRH68638,GenBank,PV484783,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23508/2025,225,2025-02-06
XRH68639,GenBank,PV484783,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23508/2025,77,2025-02-06
XRH68640,GenBank,PV484783,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23508/2025,226,2025-02-06
XRH68641,GenBank,PV484783,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23508/2025,377,2025-02-06
XRH68655,GenBank,PV484789,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23545/2025,6724,2025-02-12
XRH68656,GenBank,PV484789,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23545/2025,1355,2025-02-12
XRH68657,GenBank,PV484789,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23545/2025,225,2025-02-12
XRH68658,GenBank,PV484789,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23545/2025,77,2025-02-12
XRH68659,GenBank,PV484789,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23545/2025,226,2025-02-12
XRH68660,GenBank,PV484789,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23545/2025,377,2025-02-12
XQO94919,GenBank,PQ587210,,RNA-dependent RNA polymerase,Human coronavirus NL63,HCoV_NL63_S13/SH/2022,927,2022-09-02
XQO94920,GenBank,PQ587211,,spike protein,Human coronavirus NL63,HCoV_NL63_S13/SH/2022,1355,2022-09-02
XQO94921,GenBank,PQ587212,,protein 3,Human coronavirus NL63,HCoV_NL63_S13/SH/2022,225,2022-09-02
XQO94922,GenBank,PQ587213,,envelope protein,Human coronavirus NL63,HCoV_NL63_S13/SH/2022,77,2022-09-02
XQO94923,GenBank,PQ587214,,membrane protein,Human coronavirus NL63,HCoV_NL63_S13/SH/2022,226,2022-09-02
XQO94924,GenBank,PQ587215,,nucleocapsid protein,Human coronavirus NL63,HCoV_NL63_S13/SH/2022,377,2022-09-02
XQO94936,GenBank,PQ625861,,ORF1ab polyprotein,Human coronavirus NL63,KTRM92,6729,2023-06-14
XQO94937,GenBank,PQ625861,,orf1a polyprotein,Human coronavirus NL63,KTRM92,4060,2023-06-14
XQO94938,GenBank,PQ625861,,spike protein,Human coronavirus NL63,KTRM92,1295,2023-06-14
XQO94939,GenBank,PQ625861,,envelope protein,Human coronavirus NL63,KTRM92,77,2023-06-14
XQO94940,GenBank,PQ625861,,membrane protein,Human coronavirus NL63,KTRM92,226,2023-06-14
XQO94941,GenBank,PQ625861,,nucleocapsid protein,Human coronavirus NL63,KTRM92,377,2023-06-14
XPR31455,GenBank,PV260471,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23061/2025,6724,2025-01-08
XPR31456,GenBank,PV260471,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23061/2025,1355,2025-01-08
XPR31457,GenBank,PV260471,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23061/2025,225,2025-01-08
XPR31458,GenBank,PV260471,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23061/2025,77,2025-01-08
XPR31459,GenBank,PV260471,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23061/2025,226,2025-01-08
XPR31460,GenBank,PV260471,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23061/2025,377,2025-01-08
XPR31461,GenBank,PV260472,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23151/2025,6724,2025-01-24
XPR31462,GenBank,PV260472,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23151/2025,1355,2025-01-24
XPR31463,GenBank,PV260472,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23151/2025,225,2025-01-24
XPR31464,GenBank,PV260472,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23151/2025,77,2025-01-24
XPR31465,GenBank,PV260472,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23151/2025,226,2025-01-24
XPR31466,GenBank,PV260472,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23151/2025,377,2025-01-24
XPR31467,GenBank,PV260473,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23026/2025,6724,2025-01-03
XPR31468,GenBank,PV260473,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23026/2025,1355,2025-01-03
XPR31469,GenBank,PV260473,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23026/2025,225,2025-01-03
XPR31470,GenBank,PV260473,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23026/2025,77,2025-01-03
XPR31471,GenBank,PV260473,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23026/2025,226,2025-01-03
XPR31472,GenBank,PV260473,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23026/2025,377,2025-01-03
XPR31473,GenBank,PV260474,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23000/2024,6724,2024-12-30
XPR31474,GenBank,PV260474,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23000/2024,1355,2024-12-30
XPR31475,GenBank,PV260474,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23000/2024,225,2024-12-30
XPR31476,GenBank,PV260474,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23000/2024,77,2024-12-30
XPR31477,GenBank,PV260474,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23000/2024,226,2024-12-30
XPR31478,GenBank,PV260474,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23000/2024,377,2024-12-30
XPR31479,GenBank,PV260475,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23162/2025,6724,2025-01-25
XPR31480,GenBank,PV260475,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23162/2025,1355,2025-01-25
XPR31481,GenBank,PV260475,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23162/2025,225,2025-01-25
XPR31482,GenBank,PV260475,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23162/2025,77,2025-01-25
XPR31483,GenBank,PV260475,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23162/2025,226,2025-01-25
XPR31484,GenBank,PV260475,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23162/2025,377,2025-01-25
XPR31485,GenBank,PV260476,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23064/2025,6724,2025-01-09
XPR31486,GenBank,PV260476,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23064/2025,1356,2025-01-09
XPR31487,GenBank,PV260476,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23064/2025,225,2025-01-09
XPR31488,GenBank,PV260476,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23064/2025,77,2025-01-09
XPR31489,GenBank,PV260476,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23064/2025,226,2025-01-09
XPR31490,GenBank,PV260476,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23064/2025,377,2025-01-09
XPR31491,GenBank,PV260477,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23008/2024,6724,2024-12-31
XPR31492,GenBank,PV260477,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23008/2024,1355,2024-12-31
XPR31493,GenBank,PV260477,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23008/2024,225,2024-12-31
XPR31494,GenBank,PV260477,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23008/2024,77,2024-12-31
XPR31495,GenBank,PV260477,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23008/2024,226,2024-12-31
XPR31496,GenBank,PV260477,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23008/2024,377,2024-12-31
XPR31497,GenBank,PV260478,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21716/2024,6724,2024-08-18
XPR31498,GenBank,PV260478,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21716/2024,1355,2024-08-18
XPR31499,GenBank,PV260478,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21716/2024,225,2024-08-18
XPR31500,GenBank,PV260478,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21716/2024,77,2024-08-18
XPR31501,GenBank,PV260478,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21716/2024,226,2024-08-18
XPR31502,GenBank,PV260478,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21716/2024,377,2024-08-18
XPR31503,GenBank,PV260479,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-16636/2023,6724,2023-12-10
XPR31504,GenBank,PV260479,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-16636/2023,1355,2023-12-10
XPR31505,GenBank,PV260479,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-16636/2023,225,2023-12-10
XPR31506,GenBank,PV260479,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-16636/2023,77,2023-12-10
XPR31507,GenBank,PV260479,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-16636/2023,226,2023-12-10
XPR31508,GenBank,PV260479,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-16636/2023,377,2023-12-10
XPR31509,GenBank,PV260480,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22692/2024,6724,2024-12-11
XPR31510,GenBank,PV260480,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22692/2024,1356,2024-12-11
XPR31511,GenBank,PV260480,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22692/2024,225,2024-12-11
XPR31512,GenBank,PV260480,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22692/2024,77,2024-12-11
XPR31513,GenBank,PV260480,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22692/2024,226,2024-12-11
XPR31514,GenBank,PV260480,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22692/2024,377,2024-12-11
XPR31515,GenBank,PV260481,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22607/2024,6724,2024-11-27
XPR31516,GenBank,PV260481,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22607/2024,1355,2024-11-27
XPR31517,GenBank,PV260481,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22607/2024,225,2024-11-27
XPR31518,GenBank,PV260481,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22607/2024,77,2024-11-27
XPR31519,GenBank,PV260481,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22607/2024,226,2024-11-27
XPR31520,GenBank,PV260481,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22607/2024,377,2024-11-27
XPR31521,GenBank,PV260482,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22938/2024,6724,2024-12-19
XPR31522,GenBank,PV260482,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22938/2024,1356,2024-12-19
XPR31523,GenBank,PV260482,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22938/2024,225,2024-12-19
XPR31524,GenBank,PV260482,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22938/2024,63,2024-12-19
XPR31525,GenBank,PV260482,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22938/2024,223,2024-12-19
XPR31526,GenBank,PV260482,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22938/2024,377,2024-12-19
XPR31527,GenBank,PV260483,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22536/2024,6724,2024-11-16
XPR31528,GenBank,PV260483,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22536/2024,1312,2024-11-16
XPR31529,GenBank,PV260483,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22536/2024,197,2024-11-16
XPR31530,GenBank,PV260483,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22536/2024,76,2024-11-16
XPR31531,GenBank,PV260483,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22536/2024,218,2024-11-16
XPR31532,GenBank,PV260483,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22536/2024,377,2024-11-16
XPR31533,GenBank,PV260484,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21892/2024,6724,2024-11-13
XPR31534,GenBank,PV260484,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21892/2024,1355,2024-11-13
XPR31535,GenBank,PV260484,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21892/2024,225,2024-11-13
XPR31536,GenBank,PV260484,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21892/2024,77,2024-11-13
XPR31537,GenBank,PV260484,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21892/2024,226,2024-11-13
XPR31538,GenBank,PV260484,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-21892/2024,377,2024-11-13
XPR31539,GenBank,PV260485,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22995/2024,6724,2024-12-29
XPR31540,GenBank,PV260485,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-22995/2024,1355,2024-12-29
