Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
UVD39585,GenBank,ON453891,,ORF1ab polyprotein,Equine coronavirus,CH-CVP3,7117,2021
UVD39586,GenBank,ON453891,,NS2 acessory protein,Equine coronavirus,CH-CVP3,278,2021
UVD39587,GenBank,ON453891,,hemagglutinin-esterase,Equine coronavirus,CH-CVP3,423,2021
UVD39588,GenBank,ON453891,,spike protein,Equine coronavirus,CH-CVP3,1363,2021
UVD39589,GenBank,ON453891,,12.7 kDa accessory protein,Equine coronavirus,CH-CVP3,109,2021
UVD39590,GenBank,ON453891,,small envelope protein,Equine coronavirus,CH-CVP3,84,2021
UVD39591,GenBank,ON453891,,membrane protein,Equine coronavirus,CH-CVP3,230,2021
UVD39592,GenBank,ON453891,,nucleocapsid protein,Equine coronavirus,CH-CVP3,446,2021
UVD39593,GenBank,ON453891,,I protein,Equine coronavirus,CH-CVP3,206,2021
UOI88116,GenBank,OM937885,,ORF1ab polyprotein,Equine coronavirus,,7126,2020
UOI88117,GenBank,OM937885,,ORF1a polyprotein,Equine coronavirus,,4427,2020
UOI88118,GenBank,OM937885,,NS2 accessory protein,Equine coronavirus,,193,2020
UOI88119,GenBank,OM937885,,hemagglutinin-esterase protein,Equine coronavirus,,423,2020
UOI88120,GenBank,OM937885,,spike protein,Equine coronavirus,,1363,2020
UOI88121,GenBank,OM937885,,12.7 kDa accessory protein,Equine coronavirus,,109,2020
UOI88122,GenBank,OM937885,,small envelope protein,Equine coronavirus,,84,2020
UOI88123,GenBank,OM937885,,membrane protein,Equine coronavirus,,230,2020
UOI88124,GenBank,OM937885,,nucleocapsid protein,Equine coronavirus,,446,2020
UOI88125,GenBank,OM937885,,I protein,Equine coronavirus,,206,2020
UGN73920,GenBank,OL770366,,ORF1ab polyprotein,Equine coronavirus,,7126,2021
UGN73921,GenBank,OL770366,,ORF1a polyprotein,Equine coronavirus,,4427,2021
UGN73922,GenBank,OL770366,,NS2 accessory protein,Equine coronavirus,,193,2021
UGN73923,GenBank,OL770366,,hemagglutinin-esterase protein,Equine coronavirus,,423,2021
UGN73924,GenBank,OL770366,,spike protein,Equine coronavirus,,1363,2021
UGN73925,GenBank,OL770366,,12.7 kDa accessory protein,Equine coronavirus,,109,2021
UGN73926,GenBank,OL770366,,small envelope protein,Equine coronavirus,,84,2021
UGN73927,GenBank,OL770366,,membrane protein,Equine coronavirus,,230,2021
UGN73928,GenBank,OL770366,,nucleocapsid protein,Equine coronavirus,,446,2021
UGN73929,GenBank,OL770366,,I protein,Equine coronavirus,,206,2021
BCM88151,GenBank,LC592689,,ORF1ab polyprotein,Equine coronavirus,,7117,2020
BCM88152,GenBank,LC592689,,ORF1a polyprotein,Equine coronavirus,,4418,2020
BCM88153,GenBank,LC592689,,NS2 accessory protein,Equine coronavirus,,278,2020
BCM88154,GenBank,LC592689,,hemagglutinin-esterase protein,Equine coronavirus,,423,2020
BCM88155,GenBank,LC592689,,spike protein,Equine coronavirus,,1363,2020
BCM88156,GenBank,LC592689,,12.7 kDa accessory protein,Equine coronavirus,,109,2020
BCM88157,GenBank,LC592689,,small envelope protein,Equine coronavirus,,84,2020
BCM88158,GenBank,LC592689,,membrane protein,Equine coronavirus,,230,2020
BCM88159,GenBank,LC592689,,nucleocapsid protein,Equine coronavirus,,446,2020
BCM88160,GenBank,LC592689,,I protein,Equine coronavirus,,206,2020
QJP04105,GenBank,MK674155,,nucleocapsid protein,Equine coronavirus,AUT-393/18-Bgld,446,2018-02
QJQ82242,GenBank,MT086505,,nucleocapsid protein,Equine coronavirus,AUT-300X/13-W,446,2013
QJQ82243,GenBank,MT086506,,nucleocapsid protein,Equine coronavirus,AUT-546/18-Noe,446,2018-03
QJQ82244,GenBank,MT086507,,nucleocapsid protein,Equine coronavirus,AUT-241/19-Noe,446,2019-02
BBD43532,GenBank,LC149485,set:LC149485,Nucleocapsid protein,Equine coronavirus,,446,2011-11
BBD43533,GenBank,LC149486,set:LC149486,Nucleocapsid protein,Equine coronavirus,,446,2013-04
BBD43534,GenBank,LC149487,set:LC149487,Spike protein,Equine coronavirus,,217,2011-11
BBD43535,GenBank,LC149488,set:LC149488,Spike protein,Equine coronavirus,,217,2013-04
BBD43536,GenBank,LC149489,set:LC149489,spike protein,Equine coronavirus,,2,2011-11
BBD43537,GenBank,LC149489,set:LC149489,12.7 kDa accessory protein,Equine coronavirus,,109,2011-11
BBD43538,GenBank,LC149490,set:LC149490,spike protein,Equine coronavirus,,2,2013-04
BBD43539,GenBank,LC149490,set:LC149490,12.7 kDa accessory protein,Equine coronavirus,,109,2013-04
ASW33902,GenBank,KY458229,set:KY458229,ORF1ab polyprotein,Equine coronavirus,SA1382,306,2015-02-23
ASW33903,GenBank,KY458230,set:KY458230,ORF1ab polyprotein,Equine coronavirus,SA1364,306,2015-02-23
ASW33904,GenBank,KY458231,set:KY458231,ORF1ab polyprotein,Equine coronavirus,SA1360,306,2015-02-23
ASW33905,GenBank,KY458232,set:KY458232,ORF1ab polyprotein,Equine coronavirus,SA1362,306,2015-02-23
BAS53429,GenBank,LC054263,set:LC054263,nucleocapside protein,Equine coronavirus,,446,2012-04
BAS53430,GenBank,LC054264,set:LC054264,nucleocapside protein,Equine coronavirus,,446,2012-04
BAS18842,GenBank,LC061272,set:LC061272,ORF1ab polyprotein,Equine coronavirus,,7120,2009
BAS18843,GenBank,LC061272,set:LC061272,ORF1a polyprotein,Equine coronavirus,,4421,2009
BAS18844,GenBank,LC061272,set:LC061272,NS2 accessory protein,Equine coronavirus,,278,2009
BAS18845,GenBank,LC061272,set:LC061272,hemagglutinin-esterase protein,Equine coronavirus,,423,2009
BAS18846,GenBank,LC061272,set:LC061272,spike protein,Equine coronavirus,,1363,2009
BAS18847,GenBank,LC061272,set:LC061272,12.7 kDa accessory protein,Equine coronavirus,,109,2009
BAS18848,GenBank,LC061272,set:LC061272,small envelope protein,Equine coronavirus,,84,2009
BAS18849,GenBank,LC061272,set:LC061272,membrane protein,Equine coronavirus,,230,2009
BAS18850,GenBank,LC061272,set:LC061272,nucleocapsid protein,Equine coronavirus,,446,2009
BAS18851,GenBank,LC061272,set:LC061272,I protein,Equine coronavirus,,206,2009
BAS18852,GenBank,LC061273,set:LC061273,ORF1ab polyprotein,Equine coronavirus,,7117,2012
BAS18853,GenBank,LC061273,set:LC061273,ORF1a polyprotein,Equine coronavirus,,4418,2012
BAS18854,GenBank,LC061273,set:LC061273,NS2 accessory protein,Equine coronavirus,,194,2012
BAS18855,GenBank,LC061273,set:LC061273,hemagglutinin-esterase protein,Equine coronavirus,,423,2012
BAS18856,GenBank,LC061273,set:LC061273,spike protein,Equine coronavirus,,1363,2012
BAS18857,GenBank,LC061273,set:LC061273,12.7 kDa accessory protein,Equine coronavirus,,109,2012
BAS18858,GenBank,LC061273,set:LC061273,small envelope protein,Equine coronavirus,,84,2012
BAS18859,GenBank,LC061273,set:LC061273,membrane protein,Equine coronavirus,,230,2012
BAS18860,GenBank,LC061273,set:LC061273,nucleocapsid protein,Equine coronavirus,,446,2012
BAS18861,GenBank,LC061273,set:LC061273,I protein,Equine coronavirus,,206,2012
BAS18862,GenBank,LC061274,set:LC061274,ORF1ab polyprotein,Equine coronavirus,,7117,2012
BAS18863,GenBank,LC061274,set:LC061274,ORF1a polyprotein,Equine coronavirus,,4418,2012
BAS18864,GenBank,LC061274,set:LC061274,NS2 accessory protein,Equine coronavirus,,194,2012
BAS18865,GenBank,LC061274,set:LC061274,hemagglutinin-esterase protein,Equine coronavirus,,423,2012
BAS18866,GenBank,LC061274,set:LC061274,spike protein,Equine coronavirus,,1363,2012
BAS18867,GenBank,LC061274,set:LC061274,12.7 kDa accessory protein,Equine coronavirus,,109,2012
BAS18868,GenBank,LC061274,set:LC061274,small envelope protein,Equine coronavirus,,84,2012
BAS18869,GenBank,LC061274,set:LC061274,membrane protein,Equine coronavirus,,230,2012
BAS18870,GenBank,LC061274,set:LC061274,nucleocapsid protein,Equine coronavirus,,446,2012
BAS18871,GenBank,LC061274,set:LC061274,I protein,Equine coronavirus,,206,2012
BAN18702,GenBank,AB775893,set:AB775893,nucleocapsid protein,Equine coronavirus,,446,
BAN18703,GenBank,AB775894,set:AB775894,spike protein,Equine coronavirus,,1363,
BAN18704,GenBank,AB775894,set:AB775894,12.7 kDa putative non-structural protein,Equine coronavirus,,109,
AFY14162,GenBank,KC178696,set:KC178696,M protein,Equine coronavirus,ECoV_FRA_2012/3,191,2012
AFY14163,GenBank,KC178697,set:KC178697,M protein,Equine coronavirus,ECoV_FRA_2012/2,194,2012
AFY14164,GenBank,KC178698,set:KC178698,M protein,Equine coronavirus,ECoV_FRA_2012/1,198,2012
AFY14165,GenBank,KC178699,set:KC178699,M protein,Equine coronavirus,ECoV_FRA_2011/2,180,2011
AFY14166,GenBank,KC178700,set:KC178700,M protein,Equine coronavirus,ECoV_FRA_2011/1,180,2011
AFY14167,GenBank,KC178701,set:KC178701,S1 protein,Equine coronavirus,ECoV_FRA_2012/3,202,2012
AFY14168,GenBank,KC178702,set:KC178702,S1 protein,Equine coronavirus,ECoV_FRA_2012/2,201,2012
AFY14169,GenBank,KC178703,set:KC178703,S1 protein,Equine coronavirus,ECoV_FRA_2012/1,179,2012
AFY14170,GenBank,KC178704,set:KC178704,S1 protein,Equine coronavirus,ECoV_FRA_2011/2,211,2011
AFY14171,GenBank,KC178705,set:KC178705,S1 protein,Equine coronavirus,ECoV_FRA_2011/1,190,2011
BAM15655,GenBank,AB671298,set:AB671298,nucleocapsid protein,Equine coronavirus,,446,2004-12
BAM15656,GenBank,AB671299,set:AB671299,spike protein,Equine coronavirus,,1363,2004-12
BAJ52884,GenBank,AB555559,set:AB555559,nucleocapsid protein,Equine coronavirus,,446,
BAJ52885,GenBank,AB555560,set:AB555560,spike protein,Equine coronavirus,,1363,
BAJ52886,GenBank,AB555560,set:AB555560,12.7 kDa putative non-structural protein,Equine coronavirus,,109,
BAJ25760,GenBank,AB599772,set:AB599772,N protein,Equine coronavirus,,103,2004-12
ABP87986,GenBank,EF446615,set:EF446615,ORF1ab polyprotein,Equine coronavirus,,7128,
ABP87987,GenBank,EF446615,set:EF446615,ORF1a polyprotein,Equine coronavirus,,4429,
ABP87988,GenBank,EF446615,set:EF446615,NS2 accessory protein,Equine coronavirus,,278,
ABP87989,GenBank,EF446615,set:EF446615,hemagglutinin-esterase protein,Equine coronavirus,,423,
ABP87990,GenBank,EF446615,set:EF446615,spike protein,Equine coronavirus,,1363,
ABP87991,GenBank,EF446615,set:EF446615,4.7 kDa accessory protein,Equine coronavirus,,40,
ABP87992,GenBank,EF446615,set:EF446615,12.7 kDa accessory protein,Equine coronavirus,,109,
ABP87993,GenBank,EF446615,set:EF446615,small envelope protein,Equine coronavirus,,84,
ABP87994,GenBank,EF446615,set:EF446615,membrane protein,Equine coronavirus,,230,
ABP87995,GenBank,EF446615,set:EF446615,nucleocapsid protein,Equine coronavirus,,446,
ABP87996,GenBank,EF446615,set:EF446615,I protein,Equine coronavirus,,206,
AAQ67204,GenBank,AY316300,set:AY316300,hemagglutinin-esterase protein,Equine coronavirus NC99,,423,
AAQ67205,GenBank,AY316300,set:AY316300,spike protein,Equine coronavirus NC99,,1363,
AAQ67206,GenBank,AY316300,set:AY316300,5.3 kDa nonstructural protein,Equine coronavirus NC99,,46,
AAQ67207,GenBank,AY316300,set:AY316300,12.7 kDa protein,Equine coronavirus NC99,,109,
AAQ67208,GenBank,AY316300,set:AY316300,small envelope protein,Equine coronavirus NC99,,84,
AAQ67209,GenBank,AY316300,set:AY316300,triple spanning membrane protein,Equine coronavirus NC99,,230,
Q9DQX6,GenBank,,,Nucleoprotein,Equine coronavirus NC99,,446,
AAM95939,GenBank,AF523846,set:AF523846,p28,Equine coronavirus NC99,NC99,244,
AAG39339,GenBank,AF251144,set:AF251144,nucleocapsid protein,Equine coronavirus,,446,
